Timestamp,['1cf2343d-2e7779d6 0086-MARRIOTT LIBRARY Power Meter 3 KWH Received']
2017-11-01T00:00:00-06:00,1309 kWh
2017-11-02T00:00:00-06:00,1250 kWh
2017-11-03T00:00:00-06:00,1080 kWh
2017-11-04T00:00:00-06:00,989 kWh
2017-11-05T00:00:00-06:00,1010 kWh
2017-11-06T00:00:00-07:00,1212 kWh
2017-11-07T00:00:00-07:00,1244 kWh
2017-11-08T00:00:00-07:00,1260 kWh
2017-11-09T00:00:00-07:00,1242 kWh
2017-11-10T00:00:00-07:00,1178 kWh
2017-11-11T00:00:00-07:00,1025 kWh
2017-11-12T00:00:00-07:00,1005 kWh
2017-11-13T00:00:00-07:00,1199 kWh
2017-11-14T00:00:00-07:00,1195 kWh
2017-11-15T00:00:00-07:00,1245 kWh
2017-11-16T00:00:00-07:00,1190 kWh
2017-11-17T00:00:00-07:00,1153 kWh
2017-11-18T00:00:00-07:00,1042 kWh
2017-11-19T00:00:00-07:00,1026 kWh
2017-11-20T00:00:00-07:00,1192 kWh
2017-11-21T00:00:00-07:00,1167 kWh
2017-11-22T00:00:00-07:00,1154 kWh
2017-11-23T00:00:00-07:00,938 kWh
2017-11-24T00:00:00-07:00,933 kWh
2017-11-25T00:00:00-07:00,1015 kWh
2017-11-26T00:00:00-07:00,1020 kWh
2017-11-27T00:00:00-07:00,1242 kWh
2017-11-28T00:00:00-07:00,1259 kWh
2017-11-29T00:00:00-07:00,1287 kWh
2017-11-30T00:00:00-07:00,1233 kWh
2017-12-01T00:00:00-07:00,1208 kWh
2017-12-02T00:00:00-07:00,1080 kWh
2017-12-03T00:00:00-07:00,1039 kWh
2017-12-04T00:00:00-07:00,1278 kWh
2017-12-05T00:00:00-07:00,1316 kWh
2017-12-06T00:00:00-07:00,1321 kWh
2017-12-07T00:00:00-07:00,1318 kWh
2017-12-08T00:00:00-07:00,1191 kWh
2017-12-09T00:00:00-07:00,1099 kWh
2017-12-10T00:00:00-07:00,1088 kWh
2017-12-11T00:00:00-07:00,1230 kWh
2017-12-12T00:00:00-07:00,1220 kWh
2017-12-13T00:00:00-07:00,1212 kWh
2017-12-14T00:00:00-07:00,1230 kWh
2017-12-15T00:00:00-07:00,1131 kWh
2017-12-16T00:00:00-07:00,992 kWh
2017-12-17T00:00:00-07:00,951 kWh
2017-12-18T00:00:00-07:00,1162 kWh
2017-12-19T00:00:00-07:00,1102 kWh
2017-12-20T00:00:00-07:00,1088 kWh
2017-12-21T00:00:00-07:00,1078 kWh
2017-12-22T00:00:00-07:00,1066 kWh
2017-12-23T00:00:00-07:00,953 kWh
2017-12-24T00:00:00-07:00,954 kWh
2017-12-25T00:00:00-07:00,952 kWh
2017-12-26T00:00:00-07:00,951 kWh
2017-12-27T00:00:00-07:00,949 kWh
2017-12-28T00:00:00-07:00,946 kWh
2017-12-29T00:00:00-07:00,948 kWh
2017-12-30T00:00:00-07:00,948 kWh
2017-12-31T00:00:00-07:00,956 kWh
