Timestamp,['1ee9af99-071a9129 0053-OLPIN UNION Power Meter (53-1) Current B']
2017-10-13T00:00:00-06:00,55.45243112246195 A
2017-10-14T00:00:00-06:00,52.848509192466736 A
2017-10-15T00:00:00-06:00,49.447397351264954 A
2017-10-16T00:00:00-06:00,58.25367967287699 A
2017-10-17T00:00:00-06:00,57.88974312941233 A
2017-10-18T00:00:00-06:00,59.06383001804352 A
2017-10-19T00:00:00-06:00,59.00798773765564 A
2017-10-20T00:00:00-06:00,58.68568011124929 A
2017-10-21T00:00:00-06:00,53.83573170502981 A
2017-10-22T00:00:00-06:00,51.472325126330055 A
2017-10-23T00:00:00-06:00,58.21438185373942 A
2017-10-24T00:00:00-06:00,57.7581228017807 A
2017-10-25T00:00:00-06:00,58.13095335165659 A
2017-10-26T00:00:00-06:00,58.390713691711426 A
2017-10-27T00:00:00-06:00,60.19828347365061 A
2017-10-28T00:00:00-06:00,53.313196976979576 A
2017-10-29T00:00:00-06:00,48.99626485506693 A
2017-10-30T00:00:00-06:00,56.30803072452545 A
2017-10-31T00:00:00-06:00,55.89818831284841 A
2017-11-01T00:00:00-06:00,57.23119874795278 A
2017-11-02T00:00:00-06:00,54.932244459788 A
2017-11-03T00:00:00-06:00,55.646101554234825 A
2017-11-04T00:00:00-06:00,51.619021574656166 A
2017-11-05T00:00:00-06:00,49.9072403717041 A
2017-11-06T00:00:00-07:00,56.30795737107595 A
2017-11-07T00:00:00-07:00,56.819753527641296 A
2017-11-08T00:00:00-07:00,56.31454078356425 A
2017-11-09T00:00:00-07:00,56.41224459807078 A
2017-11-10T00:00:00-07:00,57.66824324925741 A
2017-11-11T00:00:00-07:00,52.3616015513738 A
2017-11-12T00:00:00-07:00,47.88844013214111 A
2017-11-13T00:00:00-07:00,55.8882927497228 A
2017-11-14T00:00:00-07:00,56.697272181510925 A
2017-11-15T00:00:00-07:00,57.278536001841225 A
2017-11-16T00:00:00-07:00,55.9884606997172 A
2017-11-17T00:00:00-07:00,56.49027725060781 A
2017-11-18T00:00:00-07:00,51.49671391646067 A
2017-11-19T00:00:00-07:00,48.48201632499695 A
2017-11-20T00:00:00-07:00,55.78840319315592 A
2017-11-21T00:00:00-07:00,56.76015738646189 A
2017-11-22T00:00:00-07:00,56.92617817719778 A
2017-11-23T00:00:00-07:00,46.12167624632517 A
2017-11-24T00:00:00-07:00,47.92718811829885 A
2017-11-25T00:00:00-07:00,47.11539228757223 A
2017-11-26T00:00:00-07:00,45.27439212799072 A
2017-11-27T00:00:00-07:00,54.272623896598816 A
2017-11-28T00:00:00-07:00,55.57603311538696 A
2017-11-29T00:00:00-07:00,56.55588936805725 A
2017-11-30T00:00:00-07:00,55.08997639020284 A
2017-12-01T00:00:00-07:00,54.52948280175527 A
2017-12-02T00:00:00-07:00,49.64163053035736 A
2017-12-03T00:00:00-07:00,47.047475139300026 A
2017-12-04T00:00:00-07:00,54.427564104398094 A
2017-12-05T00:00:00-07:00,55.17297132809957 A
2017-12-06T00:00:00-07:00,55.80429212252299 A
2017-12-07T00:00:00-07:00,54.762908021608986 A
2017-12-08T00:00:00-07:00,55.32870753606161 A
2017-12-09T00:00:00-07:00,51.23196562131246 A
2017-12-10T00:00:00-07:00,48.78608353932699 A
2017-12-11T00:00:00-07:00,53.526638309160866 A
2017-12-12T00:00:00-07:00,53.55807797114054 A
2017-12-13T00:00:00-07:00,53.513564705848694 A
2017-12-14T00:00:00-07:00,55.45690008004507 A
2017-12-15T00:00:00-07:00,52.13819646835327 A
2017-12-16T00:00:00-07:00,49.400993863741554 A
2017-12-17T00:00:00-07:00,45.720563213030495 A
2017-12-18T00:00:00-07:00,52.48515611053795 A
2017-12-19T00:00:00-07:00,53.741544564565025 A
2017-12-20T00:00:00-07:00,53.41614158948263 A
2017-12-21T00:00:00-07:00,51.52573557694753 A
2017-12-22T00:00:00-07:00,49.97597348690033 A
2017-12-23T00:00:00-07:00,42.916454792022705 A
2017-12-24T00:00:00-07:00,42.72221151987711 A
2017-12-25T00:00:00-07:00,41.91792301336924 A
2017-12-26T00:00:00-07:00,43.45913883050283 A
2017-12-27T00:00:00-07:00,48.75806744893392 A
2017-12-28T00:00:00-07:00,48.33516788482666 A
2017-12-29T00:00:00-07:00,43.363750179608665 A
2017-12-30T00:00:00-07:00,42.076306104660034 A
2017-12-31T00:00:00-07:00,43.01710001627604 A
