Timestamp,"['1cf8d79a-b6d88143 0064-MERRILL ENGINEERING BLDG Power Meter (300154, 064-802) Current B']"
2017-08-30T00:00:00-06:00,6.734415690104167 A
2017-08-31T00:00:00-06:00,6.548787434895833 A
2017-09-01T00:00:00-06:00,6.703287760416667 A
2017-09-02T00:00:00-06:00,6.101888020833333 A
2017-09-03T00:00:00-06:00,5.996378580729167 A
2017-09-04T00:00:00-06:00,5.8975830078125 A
2017-09-05T00:00:00-06:00,6.721232096354167 A
2017-09-06T00:00:00-06:00,6.889514802631579 A
2017-09-07T00:00:00-06:00,6.8695068359375 A
2017-09-08T00:00:00-06:00,6.833837365591398 A
2017-09-09T00:00:00-06:00,6.129475911458333 A
2017-09-10T00:00:00-06:00,6.024373372395833 A
2017-09-11T00:00:00-06:00,6.731119791666667 A
2017-09-12T00:00:00-06:00,6.938883463541667 A
2017-09-13T00:00:00-06:00,7.115275065104167 A
2017-09-14T00:00:00-06:00,6.7293701171875 A
2017-09-15T00:00:00-06:00,6.681559244791667 A
2017-09-16T00:00:00-06:00,5.9564208984375 A
2017-09-17T00:00:00-06:00,6.093668619791667 A
2017-09-18T00:00:00-06:00,6.8045654296875 A
2017-09-19T00:00:00-06:00,6.953450520833333 A
2017-09-20T00:00:00-06:00,7.079508463541667 A
2017-09-21T00:00:00-06:00,7.336873372395833 A
2017-09-22T00:00:00-06:00,6.986572265625 A
2017-09-23T00:00:00-06:00,6.242838541666667 A
2017-09-24T00:00:00-06:00,6.265909830729167 A
2017-09-25T00:00:00-06:00,6.992350260416667 A
2017-09-26T00:00:00-06:00,7.071451822916667 A
2017-09-27T00:00:00-06:00,6.974568684895833 A
2017-09-28T00:00:00-06:00,7.1707763671875 A
2017-09-29T00:00:00-06:00,6.867390950520833 A
2017-09-30T00:00:00-06:00,5.966959635416667 A
2017-10-01T00:00:00-06:00,5.8597412109375 A
2017-10-02T00:00:00-06:00,6.701497395833333 A
2017-10-03T00:00:00-06:00,6.810139973958333 A
2017-10-04T00:00:00-06:00,6.7884521484375 A
2017-10-05T00:00:00-06:00,6.9791259765625 A
2017-10-06T00:00:00-06:00,6.749552408854167 A
2017-10-07T00:00:00-06:00,6.3453369140625 A
2017-10-08T00:00:00-06:00,6.198323567708333 A
2017-10-09T00:00:00-06:00,6.615152994791667 A
2017-10-10T00:00:00-06:00,6.795450846354167 A
2017-10-11T00:00:00-06:00,6.702107747395833 A
2017-10-12T00:00:00-06:00,6.951944986979167 A
2017-10-13T00:00:00-06:00,6.656656901041667 A
2017-10-14T00:00:00-06:00,6.099405924479167 A
2017-10-15T00:00:00-06:00,6.137247721354167 A
2017-10-16T00:00:00-06:00,7.044962565104167 A
2017-10-17T00:00:00-06:00,7.176310221354167 A
2017-10-18T00:00:00-06:00,7.1539306640625 A
2017-10-19T00:00:00-06:00,7.162353515625 A
2017-10-20T00:00:00-06:00,6.824300130208333 A
2017-10-21T00:00:00-06:00,5.973592122395833 A
2017-10-22T00:00:00-06:00,6.079386393229167 A
2017-10-23T00:00:00-06:00,7.067301432291667 A
2017-10-24T00:00:00-06:00,7.6090087890625 A
2017-10-25T00:00:00-06:00,7.287190755208333 A
2017-10-26T00:00:00-06:00,7.223958333333333 A
2017-10-27T00:00:00-06:00,6.984781901041667 A
2017-10-28T00:00:00-06:00,6.293904622395833 A
2017-10-29T00:00:00-06:00,6.231608072916667 A
2017-10-30T00:00:00-06:00,7.118896484375 A
2017-10-31T00:00:00-06:00,6.710652669270833 A
2017-11-01T00:00:00-06:00,7.322998046875 A
2017-11-02T00:00:00-06:00,7.070597330729167 A
2017-11-03T00:00:00-06:00,7.168538411458333 A
2017-11-04T00:00:00-06:00,6.192545572916667 A
2017-11-05T00:00:00-06:00,6.4980078125 A
2017-11-06T00:00:00-07:00,7.4256591796875 A
2017-11-07T00:00:00-07:00,7.370279947916667 A
2017-11-08T00:00:00-07:00,7.26416015625 A
2017-11-09T00:00:00-07:00,7.801595052083333 A
2017-11-10T00:00:00-07:00,8.063924153645834 A
2017-11-11T00:00:00-07:00,6.821207682291667 A
2017-11-12T00:00:00-07:00,6.664998372395833 A
2017-11-13T00:00:00-07:00,7.776896158854167 A
2017-11-14T00:00:00-07:00,7.716837565104167 A
2017-11-15T00:00:00-07:00,7.816243489583333 A
2017-11-16T00:00:00-07:00,7.8094482421875 A
2017-11-17T00:00:00-07:00,7.398356119791667 A
2017-11-18T00:00:00-07:00,6.260213216145833 A
2017-11-19T00:00:00-07:00,6.17919921875 A
2017-11-20T00:00:00-07:00,7.513834635416667 A
2017-11-21T00:00:00-07:00,7.4892578125 A
2017-11-22T00:00:00-07:00,7.685750325520833 A
2017-11-23T00:00:00-07:00,6.764851888020833 A
2017-11-24T00:00:00-07:00,6.735026041666667 A
2017-11-25T00:00:00-07:00,6.53466796875 A
2017-11-26T00:00:00-07:00,6.378865559895833 A
2017-11-27T00:00:00-07:00,7.602579752604167 A
2017-11-28T00:00:00-07:00,7.908447265625 A
2017-11-29T00:00:00-07:00,7.423299153645833 A
2017-11-30T00:00:00-07:00,7.6483154296875 A
2017-12-01T00:00:00-07:00,7.491739908854167 A
2017-12-02T00:00:00-07:00,6.348836263020833 A
2017-12-03T00:00:00-07:00,6.437337239583333 A
2017-12-04T00:00:00-07:00,7.594563802083333 A
2017-12-05T00:00:00-07:00,7.553629557291667 A
2017-12-06T00:00:00-07:00,7.430745442708333 A
2017-12-07T00:00:00-07:00,7.303670247395833 A
2017-12-08T00:00:00-07:00,7.2569580078125 A
2017-12-09T00:00:00-07:00,6.061604817708333 A
2017-12-10T00:00:00-07:00,6.1019287109375 A
2017-12-11T00:00:00-07:00,6.843058268229167 A
2017-12-12T00:00:00-07:00,6.95361328125 A
2017-12-13T00:00:00-07:00,6.835367838541667 A
2017-12-14T00:00:00-07:00,6.738199869791667 A
2017-12-15T00:00:00-07:00,6.891031901041667 A
2017-12-16T00:00:00-07:00,5.771402994791667 A
2017-12-17T00:00:00-07:00,6.060221354166667 A
2017-12-18T00:00:00-07:00,6.826751373626373 A
2017-12-19T00:00:00-07:00,7.1171875 A
2017-12-20T00:00:00-07:00,7.338826497395833 A
2017-12-21T00:00:00-07:00,7.235310872395833 A
2017-12-22T00:00:00-07:00,7.0849609375 A
2017-12-23T00:00:00-07:00,6.3436279296875 A
2017-12-24T00:00:00-07:00,6.3935546875 A
2017-12-25T00:00:00-07:00,6.268880208333333 A
2017-12-26T00:00:00-07:00,6.3896484375 A
2017-12-27T00:00:00-07:00,6.204630533854167 A
2017-12-28T00:00:00-07:00,6.579752604166667 A
2017-12-29T00:00:00-07:00,6.417277018229167 A
2017-12-30T00:00:00-07:00,6.279744466145833 A
2017-12-31T00:00:00-07:00,6.373250325520833 A
