Timestamp,['1ce63d7d-1ec2ea15 0028-MARRIOTT CENTER FOR DANCE Power Meter Current C']
2017-08-13T00:00:00-06:00,193.52780516942343 A
2017-08-14T00:00:00-06:00,218.06315485636392 A
2017-08-15T00:00:00-06:00,215.66706450780234 A
2017-08-16T00:00:00-06:00,225.13770882288614 A
2017-08-17T00:00:00-06:00,221.24836460749307 A
2017-08-18T00:00:00-06:00,239.07143036524454 A
2017-08-19T00:00:00-06:00,236.5170423189799 A
2017-08-20T00:00:00-06:00,224.74026409784952 A
2017-08-21T00:00:00-06:00,268.78798786799115 A
2017-08-22T00:00:00-06:00,267.6801474889119 A
2017-08-23T00:00:00-06:00,282.08436552683514 A
2017-08-24T00:00:00-06:00,289.44502941767377 A
2017-08-25T00:00:00-06:00,268.7594744364421 A
2017-08-26T00:00:00-06:00,225.73795954386392 A
2017-08-27T00:00:00-06:00,212.2433582941691 A
2017-08-28T00:00:00-06:00,289.8832165111195 A
2017-08-29T00:00:00-06:00,301.05098313551684 A
2017-08-30T00:00:00-06:00,287.98447704315186 A
2017-08-31T00:00:00-06:00,284.82884136835736 A
2017-09-01T00:00:00-06:00,281.94232114156085 A
2017-09-02T00:00:00-06:00,214.32735379536948 A
2017-09-03T00:00:00-06:00,192.63593435287476 A
2017-09-04T00:00:00-06:00,209.09754085540771 A
2017-09-05T00:00:00-06:00,304.1699097951253 A
2017-09-06T00:00:00-06:00,308.95672210057575 A
2017-09-07T00:00:00-06:00,298.77695687611896 A
2017-09-08T00:00:00-06:00,284.97038036844003 A
2017-09-09T00:00:00-06:00,263.6489847501119 A
2017-09-10T00:00:00-06:00,214.9207213719686 A
2017-09-11T00:00:00-06:00,295.41986656188965 A
2017-09-12T00:00:00-06:00,312.68649133046466 A
2017-09-13T00:00:00-06:00,306.4864155451457 A
2017-09-14T00:00:00-06:00,301.01083930333454 A
2017-09-15T00:00:00-06:00,286.15060408910114 A
2017-09-16T00:00:00-06:00,252.26306947072348 A
2017-09-17T00:00:00-06:00,233.69830814997354 A
