Timestamp,Museum of Natural History Temp,Museum of Natural History Humidity,0011-BROWNING BLDG Power Meter 300033 Current C,"0011-BROWNING BLDG Power Meter 300033 Watts, 3-Ph total",0011-BROWNING BLDG Power Meter 300033 Current B,0011-BROWNING BLDG Power Meter 300033 Current A,"0011-BROWNING BLDG Power Meter 300033 W-hours, Received"
2017-04-01T16:30:00-06:00 Denver,56.13800048828125°F,47.12%,,,,,
2017-04-01T16:35:00-06:00 Denver,55.7599983215332°F,47.54%,,,,,
2017-04-01T16:40:00-06:00 Denver,55.81399917602539°F,47.26%,,,,,
2017-04-01T16:45:00-06:00 Denver,56.22800064086914°F,49.09%,,,,,
2017-04-01T16:50:00-06:00 Denver,56.37200164794922°F,48.17%,,,,,
2017-04-01T16:55:00-06:00 Denver,55.90399932861328°F,47.80%,,,,,
2017-04-01T17:00:00-06:00 Denver,55.79600143432617°F,47.56%,,,,,
2017-04-01T17:05:00-06:00 Denver,55.832000732421875°F,46.86%,,,,,
2017-04-01T17:10:00-06:00 Denver,55.95800018310547°F,46.81%,,,,,
2017-04-01T17:15:00-06:00 Denver,56.534000396728516°F,47.56%,,,,,
2017-04-01T17:20:00-06:00 Denver,56.15599822998047°F,47.87%,,,,,
2017-04-01T17:25:00-06:00 Denver,56.22800064086914°F,48.07%,,,,,
2017-04-01T17:30:00-06:00 Denver,55.34600067138672°F,48.79%,,,,,
2017-04-01T17:35:00-06:00 Denver,55.20199966430664°F,48.38%,,,,,
2017-04-01T17:40:00-06:00 Denver,55.4900016784668°F,48.35%,,,,,
2017-04-01T17:45:00-06:00 Denver,55.99399948120117°F,47.41%,,,,,
2017-04-01T17:50:00-06:00 Denver,55.7239990234375°F,46.83%,,,,,
2017-04-01T17:55:00-06:00 Denver,55.507999420166016°F,47.23%,,,,,
2017-04-01T18:00:00-06:00 Denver,55.61600112915039°F,43.47%,,,,,
2017-04-01T18:05:00-06:00 Denver,55.922000885009766°F,44.39%,,,,,
2017-04-01T18:10:00-06:00 Denver,55.7599983215332°F,44.66%,,,,,
2017-04-01T18:15:00-06:00 Denver,54.91400146484375°F,50.42%,,,,,
2017-04-01T18:20:00-06:00 Denver,55.38199996948242°F,49.30%,,,,,
2017-04-01T18:25:00-06:00 Denver,55.27399826049805°F,48.02%,,,,,
