Timestamp,['1e8432ce-6ad141f3 0110-ECCLES STUDENT LIFE CNTR Power Meter (HLM2) Real power']
2017-09-03T00:00:00-06:00,18.96644401550293 kW
2017-09-04T00:00:00-06:00,19.816850662231445 kW
2017-09-05T00:00:00-06:00,22.40119743347168 kW
2017-09-06T00:00:00-06:00,18.285978317260742 kW
2017-09-07T00:00:00-06:00,18.044483184814453 kW
2017-09-08T00:00:00-06:00,17.938060760498047 kW
2017-09-09T00:00:00-06:00,17.40000343322754 kW
2017-09-10T00:00:00-06:00,17.82577133178711 kW
2017-09-11T00:00:00-06:00,18.372365951538086 kW
2017-09-12T00:00:00-06:00,20.87550163269043 kW
2017-09-13T00:00:00-06:00,18.260875701904297 kW
2017-09-14T00:00:00-06:00,17.643150329589844 kW
2017-09-15T00:00:00-06:00,18.098854064941406 kW
2017-09-16T00:00:00-06:00,17.835880279541016 kW
2017-09-17T00:00:00-06:00,18.571352005004883 kW
2017-09-18T00:00:00-06:00,18.514244079589844 kW
2017-09-19T00:00:00-06:00,18.51692771911621 kW
2017-09-20T00:00:00-06:00,17.14738655090332 kW
2017-09-21T00:00:00-06:00,17.433578491210938 kW
2017-09-22T00:00:00-06:00,16.695899963378906 kW
2017-09-23T00:00:00-06:00,16.87319564819336 kW
2017-09-24T00:00:00-06:00,15.461181640625 kW
2017-09-25T00:00:00-06:00,16.806018829345703 kW
2017-09-26T00:00:00-06:00,17.84861183166504 kW
2017-09-27T00:00:00-06:00,17.29737091064453 kW
2017-09-28T00:00:00-06:00,16.725324630737305 kW
2017-09-29T00:00:00-06:00,17.0330867767334 kW
2017-09-30T00:00:00-06:00,16.74639892578125 kW
2017-10-01T00:00:00-06:00,17.205188751220703 kW
2017-10-02T00:00:00-06:00,17.264236450195312 kW
2017-10-03T00:00:00-06:00,17.442224502563477 kW
2017-10-04T00:00:00-06:00,19.302663803100586 kW
2017-10-05T00:00:00-06:00,17.3362979888916 kW
2017-10-06T00:00:00-06:00,18.36846923828125 kW
2017-10-07T00:00:00-06:00,16.750776290893555 kW
2017-10-08T00:00:00-06:00,17.557493209838867 kW
2017-10-09T00:00:00-06:00,16.877666473388672 kW
2017-10-10T00:00:00-06:00,16.706336975097656 kW
2017-10-11T00:00:00-06:00,16.72329330444336 kW
2017-10-12T00:00:00-06:00,16.88315200805664 kW
2017-10-13T00:00:00-06:00,17.319704055786133 kW
2017-10-14T00:00:00-06:00,17.062105178833008 kW
2017-10-15T00:00:00-06:00,17.71688461303711 kW
2017-10-16T00:00:00-06:00,17.8077392578125 kW
2017-10-17T00:00:00-06:00,17.46757698059082 kW
2017-10-18T00:00:00-06:00,17.58199691772461 kW
2017-10-19T00:00:00-06:00,17.52604103088379 kW
2017-10-20T00:00:00-06:00,17.33704376220703 kW
2017-10-21T00:00:00-06:00,17.02597999572754 kW
2017-10-22T00:00:00-06:00,16.42853546142578 kW
2017-10-23T00:00:00-06:00,17.669357299804688 kW
2017-10-24T00:00:00-06:00,17.33933448791504 kW
2017-10-25T00:00:00-06:00,16.96310806274414 kW
2017-10-26T00:00:00-06:00,17.535314559936523 kW
2017-10-27T00:00:00-06:00,17.33814239501953 kW
2017-10-28T00:00:00-06:00,16.611034393310547 kW
2017-10-29T00:00:00-06:00,16.672710418701172 kW
2017-10-30T00:00:00-06:00,17.275306701660156 kW
2017-10-31T00:00:00-06:00,17.367691040039062 kW
2017-11-01T00:00:00-06:00,17.352514266967773 kW
2017-11-02T00:00:00-06:00,17.251232147216797 kW
2017-11-03T00:00:00-06:00,17.664501190185547 kW
2017-11-04T00:00:00-06:00,17.496501922607422 kW
2017-11-05T00:00:00-06:00,17.00182342529297 kW
2017-11-06T00:00:00-07:00,16.240055084228516 kW
2017-11-07T00:00:00-07:00,14.903496742248535 kW
2017-11-08T00:00:00-07:00,13.721920013427734 kW
2017-11-09T00:00:00-07:00,16.790937423706055 kW
2017-11-10T00:00:00-07:00,16.58089256286621 kW
2017-11-11T00:00:00-07:00,16.896644592285156 kW
2017-11-12T00:00:00-07:00,16.140148162841797 kW
2017-11-13T00:00:00-07:00,16.650035858154297 kW
2017-11-14T00:00:00-07:00,16.783740997314453 kW
2017-11-15T00:00:00-07:00,17.130420684814453 kW
2017-11-16T00:00:00-07:00,17.24127960205078 kW
2017-11-17T00:00:00-07:00,16.736343383789062 kW
2017-11-18T00:00:00-07:00,15.263833999633789 kW
2017-11-19T00:00:00-07:00,16.72613525390625 kW
2017-11-20T00:00:00-07:00,16.21582794189453 kW
2017-11-21T00:00:00-07:00,16.69894790649414 kW
2017-11-22T00:00:00-07:00,16.995769500732422 kW
2017-11-23T00:00:00-07:00,3.047908067703247 kW
2017-11-24T00:00:00-07:00,3.2022809982299805 kW
2017-11-25T00:00:00-07:00,16.733083724975586 kW
2017-11-26T00:00:00-07:00,16.559389114379883 kW
2017-11-27T00:00:00-07:00,16.39293670654297 kW
2017-11-28T00:00:00-07:00,16.072675704956055 kW
2017-11-29T00:00:00-07:00,14.510612487792969 kW
2017-11-30T00:00:00-07:00,16.941646575927734 kW
2017-12-01T00:00:00-07:00,16.967853546142578 kW
2017-12-02T00:00:00-07:00,17.01215362548828 kW
2017-12-03T00:00:00-07:00,16.775705337524414 kW
2017-12-04T00:00:00-07:00,16.47388458251953 kW
2017-12-05T00:00:00-07:00,16.204364776611328 kW
2017-12-06T00:00:00-07:00,14.361321449279785 kW
2017-12-07T00:00:00-07:00,15.243398666381836 kW
2017-12-08T00:00:00-07:00,14.326484680175781 kW
2017-12-09T00:00:00-07:00,16.421295166015625 kW
2017-12-10T00:00:00-07:00,14.423196792602539 kW
2017-12-11T00:00:00-07:00,14.985054969787598 kW
2017-12-12T00:00:00-07:00,13.63333511352539 kW
2017-12-13T00:00:00-07:00,17.034393310546875 kW
2017-12-14T00:00:00-07:00,16.84123992919922 kW
2017-12-15T00:00:00-07:00,16.59491539001465 kW
2017-12-16T00:00:00-07:00,15.793895721435547 kW
2017-12-17T00:00:00-07:00,14.72718334197998 kW
2017-12-18T00:00:00-07:00,15.135990142822266 kW
2017-12-19T00:00:00-07:00,16.41864585876465 kW
2017-12-20T00:00:00-07:00,16.424602508544922 kW
2017-12-21T00:00:00-07:00,16.773256301879883 kW
2017-12-22T00:00:00-07:00,15.422903060913086 kW
2017-12-23T00:00:00-07:00,16.995824813842773 kW
2017-12-24T00:00:00-07:00,12.692436218261719 kW
2017-12-25T00:00:00-07:00,13.052431106567383 kW
2017-12-26T00:00:00-07:00,14.964727401733398 kW
2017-12-27T00:00:00-07:00,17.078170776367188 kW
2017-12-28T00:00:00-07:00,16.664230346679688 kW
2017-12-29T00:00:00-07:00,15.58082389831543 kW
2017-12-30T00:00:00-07:00,15.552379608154297 kW
2017-12-31T00:00:00-07:00,15.791738510131836 kW
