Timestamp,['1cca7546-e1f685ca 0062-WARNOCK ENGR BLDG Power Meter 316607 Current A']
2017-11-27T00:00:00-07:00,424.9479166666667 A
2017-11-28T00:00:00-07:00,416.5 A
2017-11-29T00:00:00-07:00,405.6875 A
2017-11-30T00:00:00-07:00,403.9375 A
2017-12-01T00:00:00-07:00,410.6458333333333 A
2017-12-02T00:00:00-07:00,394.84375 A
2017-12-03T00:00:00-07:00,397.1145833333333 A
2017-12-04T00:00:00-07:00,407.8333333333333 A
2017-12-05T00:00:00-07:00,408.3229166666667 A
2017-12-06T00:00:00-07:00,410.0104166666667 A
2017-12-07T00:00:00-07:00,410.2395833333333 A
2017-12-08T00:00:00-07:00,403.3645833333333 A
2017-12-09T00:00:00-07:00,396.5104166666667 A
2017-12-10T00:00:00-07:00,395.5104166666667 A
2017-12-11T00:00:00-07:00,418.96875 A
2017-12-12T00:00:00-07:00,414.3854166666667 A
2017-12-13T00:00:00-07:00,410.2291666666667 A
2017-12-14T00:00:00-07:00,402.2083333333333 A
2017-12-15T00:00:00-07:00,410.1354166666667 A
2017-12-16T00:00:00-07:00,392.7395833333333 A
2017-12-17T00:00:00-07:00,384.125 A
2017-12-18T00:00:00-07:00,402.2637362637363 A
2017-12-19T00:00:00-07:00,408.8645833333333 A
2017-12-20T00:00:00-07:00,412.875 A
2017-12-21T00:00:00-07:00,398.8229166666667 A
2017-12-22T00:00:00-07:00,391.5729166666667 A
2017-12-23T00:00:00-07:00,385.8125 A
2017-12-24T00:00:00-07:00,374.3958333333333 A
2017-12-25T00:00:00-07:00,367.75 A
2017-12-26T00:00:00-07:00,359.6458333333333 A
2017-12-27T00:00:00-07:00,400.4895833333333 A
2017-12-28T00:00:00-07:00,400.5208333333333 A
2017-12-29T00:00:00-07:00,395.4895833333333 A
2017-12-30T00:00:00-07:00,387.0208333333333 A
2017-12-31T00:00:00-07:00,376.1145833333333 A
