Timestamp,['1cac2825-0e96303f 0077-CHRISTENSEN CNTR Power Meter (300172) Current A']
2017-11-28T00:00:00-07:00,101.52777648766836 A
2017-11-29T00:00:00-07:00,103.61511920558081 A
2017-11-30T00:00:00-07:00,103.56237638791403 A
2017-12-01T00:00:00-07:00,96.99187107351091 A
2017-12-02T00:00:00-07:00,93.42401729689703 A
2017-12-03T00:00:00-07:00,88.22277729776171 A
2017-12-04T00:00:00-07:00,104.13425501187642 A
2017-12-05T00:00:00-07:00,107.59455678462982 A
2017-12-06T00:00:00-07:00,109.60073595311907 A
2017-12-07T00:00:00-07:00,115.184401512146 A
2017-12-08T00:00:00-07:00,95.74360611968571 A
2017-12-09T00:00:00-07:00,93.54054687288073 A
2017-12-10T00:00:00-07:00,99.4759017335044 A
2017-12-11T00:00:00-07:00,116.71896886560651 A
2017-12-12T00:00:00-07:00,100.93718558947245 A
2017-12-13T00:00:00-07:00,110.78965573045943 A
2017-12-14T00:00:00-07:00,113.67422097524008 A
2017-12-15T00:00:00-07:00,97.21399211618635 A
2017-12-16T00:00:00-07:00,93.57289567788442 A
2017-12-17T00:00:00-07:00,89.16587868001726 A
2017-12-18T00:00:00-07:00,101.48341737737648 A
2017-12-19T00:00:00-07:00,89.1597601307763 A
2017-12-20T00:00:00-07:00,94.2362238380644 A
2017-12-21T00:00:00-07:00,92.10981299877167 A
2017-12-22T00:00:00-07:00,82.24639058378008 A
2017-12-23T00:00:00-07:00,71.9552766164144 A
2017-12-24T00:00:00-07:00,70.30646378729078 A
2017-12-25T00:00:00-07:00,76.25726525915994 A
2017-12-26T00:00:00-07:00,73.92592987616857 A
2017-12-27T00:00:00-07:00,73.38049602243635 A
2017-12-28T00:00:00-07:00,68.14795916742749 A
2017-12-29T00:00:00-07:00,60.70081010791991 A
2017-12-30T00:00:00-07:00,60.4240894847446 A
2017-12-31T00:00:00-07:00,63.1048632423083 A
