Timestamp,['1f7d6d12-0d501b34 0372-KENNECOTT MECH ENG BLDG Power Meter 300345 Current A']
2017-10-16T00:00:00-06:00,210.48958333333334 A
2017-10-17T00:00:00-06:00,226.5703125 A
2017-10-18T00:00:00-06:00,213.47135416666666 A
2017-10-19T00:00:00-06:00,216.46223958333334 A
2017-10-20T00:00:00-06:00,212.6953125 A
2017-10-21T00:00:00-06:00,182.99609375 A
2017-10-22T00:00:00-06:00,185.625 A
2017-10-23T00:00:00-06:00,215.35807291666666 A
2017-10-24T00:00:00-06:00,208.38802083333334 A
2017-10-25T00:00:00-06:00,213.65104166666666 A
2017-10-26T00:00:00-06:00,211.0625 A
2017-10-27T00:00:00-06:00,201.83463541666666 A
2017-10-28T00:00:00-06:00,169.57942708333334 A
2017-10-29T00:00:00-06:00,162.04557291666666 A
2017-10-30T00:00:00-06:00,200.4921875 A
2017-10-31T00:00:00-06:00,195.16666666666666 A
2017-11-01T00:00:00-06:00,217.26041666666666 A
2017-11-02T00:00:00-06:00,232.81380208333334 A
2017-11-03T00:00:00-06:00,211.16536458333334 A
2017-11-04T00:00:00-06:00,171.84765625 A
2017-11-05T00:00:00-06:00,182.025 A
2017-11-06T00:00:00-07:00,210.09375 A
2017-11-07T00:00:00-07:00,214.90104166666666 A
2017-11-08T00:00:00-07:00,214.02473958333334 A
2017-11-09T00:00:00-07:00,211.39453125 A
2017-11-10T00:00:00-07:00,206.18359375 A
2017-11-11T00:00:00-07:00,181.24479166666666 A
2017-11-12T00:00:00-07:00,191.82942708333334 A
2017-11-13T00:00:00-07:00,208.13671875 A
2017-11-14T00:00:00-07:00,204.5078125 A
2017-11-15T00:00:00-07:00,208.95442708333334 A
2017-11-16T00:00:00-07:00,210.640625 A
2017-11-17T00:00:00-07:00,210.78515625 A
2017-11-18T00:00:00-07:00,184.63020833333334 A
2017-11-19T00:00:00-07:00,183.82682291666666 A
2017-11-20T00:00:00-07:00,211.13541666666666 A
2017-11-21T00:00:00-07:00,211.32552083333334 A
2017-11-22T00:00:00-07:00,206.52083333333334 A
2017-11-23T00:00:00-07:00,171.59114583333334 A
2017-11-24T00:00:00-07:00,177.89322916666666 A
2017-11-25T00:00:00-07:00,176.91145833333334 A
2017-11-26T00:00:00-07:00,182.12109375 A
2017-11-27T00:00:00-07:00,211.81119791666666 A
2017-11-28T00:00:00-07:00,208.45963541666666 A
2017-11-29T00:00:00-07:00,212.32421875 A
2017-11-30T00:00:00-07:00,211.70703125 A
2017-12-01T00:00:00-07:00,212.97265625 A
2017-12-02T00:00:00-07:00,185.93229166666666 A
2017-12-03T00:00:00-07:00,183.91015625 A
2017-12-04T00:00:00-07:00,217.3046875 A
2017-12-05T00:00:00-07:00,217.29036458333334 A
2017-12-06T00:00:00-07:00,219.98177083333334 A
2017-12-07T00:00:00-07:00,221.22786458333334 A
2017-12-08T00:00:00-07:00,217.27213541666666 A
2017-12-09T00:00:00-07:00,190.61848958333334 A
2017-12-10T00:00:00-07:00,192.73958333333334 A
2017-12-11T00:00:00-07:00,223.35677083333334 A
2017-12-12T00:00:00-07:00,222.75520833333334 A
2017-12-13T00:00:00-07:00,219.09895833333334 A
2017-12-14T00:00:00-07:00,219.84895833333334 A
2017-12-15T00:00:00-07:00,210.26692708333334 A
2017-12-16T00:00:00-07:00,174.89192708333334 A
2017-12-17T00:00:00-07:00,177.49088541666666 A
2017-12-18T00:00:00-07:00,182.2445652173913 A
2017-12-19T00:00:00-07:00,163.34375 A
2017-12-20T00:00:00-07:00,168.43098958333334 A
2017-12-21T00:00:00-07:00,163.44921875 A
2017-12-22T00:00:00-07:00,156.49479166666666 A
2017-12-23T00:00:00-07:00,133.75911458333334 A
2017-12-24T00:00:00-07:00,132.69791666666666 A
2017-12-25T00:00:00-07:00,129.796875 A
2017-12-26T00:00:00-07:00,141.85677083333334 A
2017-12-27T00:00:00-07:00,149.50911458333334 A
2017-12-28T00:00:00-07:00,152.21484375 A
2017-12-29T00:00:00-07:00,141.09114583333334 A
2017-12-30T00:00:00-07:00,126.74348958333333 A
2017-12-31T00:00:00-07:00,132.7421875 A
