Timestamp,['1e71be51-f4c46ef6 0040-STUDENT SERVICES BLDG Power Meter (300089) Current A']
2017-10-16T00:00:00-06:00,428.45178445180255 A
2017-10-17T00:00:00-06:00,463.85133330027264 A
2017-10-18T00:00:00-06:00,482.9419600168864 A
2017-10-19T00:00:00-06:00,501.2240568796794 A
2017-10-20T00:00:00-06:00,473.7177982330322 A
2017-10-21T00:00:00-06:00,340.73406473795575 A
2017-10-22T00:00:00-06:00,431.48901716868085 A
2017-10-23T00:00:00-06:00,475.8627274831136 A
2017-10-24T00:00:00-06:00,440.1916853586833 A
2017-10-25T00:00:00-06:00,460.68550268809 A
2017-10-26T00:00:00-06:00,392.6226917902629 A
2017-10-27T00:00:00-06:00,380.3959747950236 A
2017-10-28T00:00:00-06:00,349.4876365661621 A
2017-10-29T00:00:00-06:00,352.8812936147054 A
2017-10-30T00:00:00-06:00,382.32797622680664 A
2017-10-31T00:00:00-06:00,380.6942958831787 A
2017-11-01T00:00:00-06:00,386.9449984232585 A
2017-11-02T00:00:00-06:00,389.56052525838214 A
2017-11-03T00:00:00-06:00,384.2949047088623 A
2017-11-04T00:00:00-06:00,349.65611203511554 A
2017-11-05T00:00:00-06:00,336.0654693603516 A
2017-11-06T00:00:00-07:00,373.7425308227539 A
2017-11-07T00:00:00-07:00,374.6235736211141 A
2017-11-08T00:00:00-07:00,378.1123323440552 A
2017-11-09T00:00:00-07:00,378.2134443918864 A
2017-11-10T00:00:00-07:00,373.1286776860555 A
2017-11-11T00:00:00-07:00,337.2904561360677 A
2017-11-12T00:00:00-07:00,336.1875352859497 A
2017-11-13T00:00:00-07:00,377.0619481404622 A
2017-11-14T00:00:00-07:00,378.60829798380536 A
2017-11-15T00:00:00-07:00,380.1990963617961 A
2017-11-16T00:00:00-07:00,386.2144422531128 A
2017-11-17T00:00:00-07:00,369.59150409698486 A
2017-11-18T00:00:00-07:00,218.62082942326865 A
2017-11-19T00:00:00-07:00,155.65913931528726 A
2017-11-20T00:00:00-07:00,197.42503126462302 A
2017-11-21T00:00:00-07:00,196.34464875857034 A
2017-11-22T00:00:00-07:00,191.3591521581014 A
2017-11-23T00:00:00-07:00,168.47643113136292 A
2017-11-24T00:00:00-07:00,166.74235033988953 A
2017-11-25T00:00:00-07:00,159.40168770154318 A
2017-11-26T00:00:00-07:00,161.91347773869833 A
2017-11-27T00:00:00-07:00,197.43437457084656 A
2017-11-28T00:00:00-07:00,197.3737794558207 A
2017-11-29T00:00:00-07:00,276.887629032135 A
2017-11-30T00:00:00-07:00,379.6581516265869 A
2017-12-01T00:00:00-07:00,369.3947868347168 A
2017-12-02T00:00:00-07:00,337.23982493082684 A
