Timestamp,['1ee9af9c-a39337f4 0053-OLPIN UNION Power Meter (53-1) Current C']
2017-11-21T00:00:00-07:00,60.979726910591125 A
2017-11-22T00:00:00-07:00,60.954600850741066 A
2017-11-23T00:00:00-07:00,49.36950103441874 A
2017-11-24T00:00:00-07:00,51.21134833494822 A
2017-11-25T00:00:00-07:00,50.61411348978678 A
2017-11-26T00:00:00-07:00,49.13385466734568 A
2017-11-27T00:00:00-07:00,58.871175607045494 A
2017-11-28T00:00:00-07:00,60.403488636016846 A
2017-11-29T00:00:00-07:00,60.48903969923655 A
2017-11-30T00:00:00-07:00,58.86072254180908 A
2017-12-01T00:00:00-07:00,58.53686412175497 A
2017-12-02T00:00:00-07:00,54.68427288532257 A
2017-12-03T00:00:00-07:00,52.24575940767924 A
2017-12-04T00:00:00-07:00,59.081936717033386 A
2017-12-05T00:00:00-07:00,59.15552453200022 A
2017-12-06T00:00:00-07:00,60.432002584139504 A
2017-12-07T00:00:00-07:00,59.853330294291176 A
2017-12-08T00:00:00-07:00,60.88358108202616 A
2017-12-09T00:00:00-07:00,55.69228061040243 A
2017-12-10T00:00:00-07:00,53.86726955572764 A
2017-12-11T00:00:00-07:00,59.03323630491892 A
2017-12-12T00:00:00-07:00,59.39826695124308 A
2017-12-13T00:00:00-07:00,58.825679302215576 A
2017-12-14T00:00:00-07:00,60.35644777615865 A
2017-12-15T00:00:00-07:00,57.352303703626 A
2017-12-16T00:00:00-07:00,53.90991918245951 A
2017-12-17T00:00:00-07:00,50.261372884114586 A
2017-12-18T00:00:00-07:00,57.95285505889564 A
2017-12-19T00:00:00-07:00,59.32618578275045 A
2017-12-20T00:00:00-07:00,58.94458210468292 A
2017-12-21T00:00:00-07:00,56.12476817766825 A
2017-12-22T00:00:00-07:00,54.884146769841514 A
2017-12-23T00:00:00-07:00,46.024532437324524 A
2017-12-24T00:00:00-07:00,45.88995440800985 A
2017-12-25T00:00:00-07:00,45.10856958230337 A
2017-12-26T00:00:00-07:00,47.95660003026327 A
2017-12-27T00:00:00-07:00,52.38056274255117 A
2017-12-28T00:00:00-07:00,52.5102436542511 A
2017-12-29T00:00:00-07:00,47.378746708234154 A
2017-12-30T00:00:00-07:00,46.158222715059914 A
2017-12-31T00:00:00-07:00,47.13901480038961 A
