Timestamp,['1cac6209-e8c0af9e 0009-WIDTSOE BLDG Power Meter 1(300028) VOLT C-N']
2017-10-18T00:00:00-06:00,283.16498485996317 V
2017-10-19T00:00:00-06:00,282.5259907893363 V
2017-10-20T00:00:00-06:00,283.1941798342656 V
2017-10-21T00:00:00-06:00,283.77358416427734 V
2017-10-22T00:00:00-06:00,283.45363368418276 V
2017-10-23T00:00:00-06:00,283.6850103099694 V
2017-10-24T00:00:00-06:00,283.5737488687413 V
2017-10-25T00:00:00-06:00,283.41776303185355 V
2017-10-26T00:00:00-06:00,283.8176466384526 V
2017-10-27T00:00:00-06:00,283.9272931585425 V
2017-10-28T00:00:00-06:00,283.57050711911324 V
2017-10-29T00:00:00-06:00,283.3925314837189 V
2017-10-30T00:00:00-06:00,283.9793428716412 V
2017-10-31T00:00:00-06:00,283.8837402986225 V
2017-11-01T00:00:00-06:00,283.04345396448 V
2017-11-02T00:00:00-06:00,282.7700027583939 V
2017-11-03T00:00:00-06:00,283.5089219464641 V
2017-11-04T00:00:00-06:00,283.9731152301068 V
2017-11-05T00:00:00-06:00,283.69494439458396 V
2017-11-06T00:00:00-07:00,283.6019450412707 V
2017-11-07T00:00:00-07:00,283.61191877534117 V
2017-11-08T00:00:00-07:00,283.6339971251407 V
2017-11-09T00:00:00-07:00,283.78908410939306 V
2017-11-10T00:00:00-07:00,283.7857486809746 V
2017-11-11T00:00:00-07:00,283.56953840310865 V
2017-11-12T00:00:00-07:00,283.7829040223686 V
2017-11-13T00:00:00-07:00,283.74674811730017 V
2017-11-14T00:00:00-07:00,284.2145106122999 V
2017-11-15T00:00:00-07:00,283.7455722565574 V
2017-11-16T00:00:00-07:00,283.522904640606 V
2017-11-17T00:00:00-07:00,283.823893893668 V
2017-11-18T00:00:00-07:00,284.23269925153994 V
2017-11-19T00:00:00-07:00,284.3683139069986 V
2017-11-20T00:00:00-07:00,283.89510405139237 V
2017-11-21T00:00:00-07:00,283.8826677827708 V
2017-11-22T00:00:00-07:00,283.42425718787376 V
2017-11-23T00:00:00-07:00,283.8438883377698 V
2017-11-24T00:00:00-07:00,283.77944850120224 V
2017-11-25T00:00:00-07:00,283.82208661570655 V
2017-11-26T00:00:00-07:00,283.4073699629934 V
2017-11-27T00:00:00-07:00,283.13880582161136 V
2017-11-28T00:00:00-07:00,284.00213987371893 V
2017-11-29T00:00:00-07:00,284.08310970872725 V
2017-11-30T00:00:00-07:00,284.190182046957 V
