Timestamp,['1f4f32b1-68ea807b Power Meter (4160V) 316611 Current C']
2017-09-04T00:00:00-06:00,59.53333333333333 A
2017-09-05T00:00:00-06:00,73.9047619047619 A
2017-09-06T00:00:00-06:00,71.88888888888889 A
2017-09-07T00:00:00-06:00,60.2 A
2017-09-08T00:00:00-06:00,49.75 A
2017-09-09T00:00:00-06:00,50.333333333333336 A
2017-09-10T00:00:00-06:00,37.714285714285715 A
2017-09-11T00:00:00-06:00,41 A
2017-09-12T00:00:00-06:00,65 A
2017-09-13T00:00:00-06:00,55.470588235294116 A
2017-09-14T00:00:00-06:00,49.5 A
2017-09-15T00:00:00-06:00,33.333333333333336 A
2017-09-16T00:00:00-06:00,27.181818181818183 A
2017-09-17T00:00:00-06:00,35.63636363636363 A
2017-09-18T00:00:00-06:00,48.42857142857143 A
2017-09-19T00:00:00-06:00,33.5 A
2017-09-20T00:00:00-06:00,28.142857142857142 A
2017-09-21T00:00:00-06:00,16.5 A
2017-09-22T00:00:00-06:00,0 A
2017-09-23T00:00:00-06:00,3.4444444444444446 A
2017-09-24T00:00:00-06:00,5.083333333333333 A
2017-09-25T00:00:00-06:00,16.928571428571427 A
2017-09-26T00:00:00-06:00,22.4 A
2017-09-27T00:00:00-06:00,50 A
2017-09-28T00:00:00-06:00,28.6 A
2017-09-29T00:00:00-06:00,32.72727272727273 A
2017-09-30T00:00:00-06:00,13.75 A
2017-10-01T00:00:00-06:00,24.166666666666668 A
2017-10-02T00:00:00-06:00,0 A
2017-10-03T00:00:00-06:00,19.444444444444443 A
2017-10-04T00:00:00-06:00,29.5 A
2017-10-05T00:00:00-06:00,17.5 A
2017-10-06T00:00:00-06:00,22.666666666666668 A
2017-10-07T00:00:00-06:00,18.11111111111111 A
2017-10-08T00:00:00-06:00,10.833333333333334 A
2017-10-09T00:00:00-06:00,0 A
2017-10-10T00:00:00-06:00,31.86111111111111 A
2017-10-11T00:00:00-06:00,27.742424242424242 A
2017-10-12T00:00:00-06:00,14.170731707317072 A
2017-10-13T00:00:00-06:00,15.287234042553191 A
2017-10-14T00:00:00-06:00,6.010416666666667 A
2017-10-15T00:00:00-06:00,0.6458333333333334 A
2017-10-16T00:00:00-06:00,16.166666666666668 A
