Timestamp,['1fe6f971-7895b934 Power Meter 085220 (300186) Current A']
2017-10-31T00:00:00-06:00,87.39368406596937 A
2017-11-01T00:00:00-06:00,90.30315800717003 A
2017-11-02T00:00:00-06:00,88.79677393103158 A
2017-11-03T00:00:00-06:00,86.2731179678312 A
2017-11-04T00:00:00-06:00,78.75698909964613 A
2017-11-05T00:00:00-06:00,79.54200004577636 A
2017-11-06T00:00:00-07:00,91.67395838101704 A
2017-11-07T00:00:00-07:00,87.96041631698608 A
2017-11-08T00:00:00-07:00,84.20957435445582 A
2017-11-09T00:00:00-07:00,88.72291684150696 A
2017-11-10T00:00:00-07:00,90.05157888312088 A
2017-11-11T00:00:00-07:00,77.88333368301392 A
2017-11-12T00:00:00-07:00,78.44210542377672 A
2017-11-13T00:00:00-07:00,83.52000001606189 A
2017-11-14T00:00:00-07:00,87.1458334128062 A
2017-11-15T00:00:00-07:00,87.2979170481364 A
2017-11-16T00:00:00-07:00,88.03333282470703 A
2017-11-17T00:00:00-07:00,91.47395849227905 A
2017-11-18T00:00:00-07:00,79.03854155540466 A
2017-11-19T00:00:00-07:00,81.53437463442485 A
2017-11-20T00:00:00-07:00,91.95104193687439 A
2017-11-21T00:00:00-07:00,88.60729169845581 A
2017-11-22T00:00:00-07:00,84.45937514305115 A
2017-11-23T00:00:00-07:00,79.70937490463257 A
2017-11-24T00:00:00-07:00,80.75578918457032 A
2017-11-25T00:00:00-07:00,84.0239581267039 A
2017-11-26T00:00:00-07:00,83.57083360354106 A
2017-11-27T00:00:00-07:00,89.95000020662944 A
2017-11-28T00:00:00-07:00,90.47499982515971 A
2017-11-29T00:00:00-07:00,86.54210494192023 A
2017-11-30T00:00:00-07:00,86.04631580553557 A
2017-12-01T00:00:00-07:00,86.56458338101704 A
2017-12-02T00:00:00-07:00,81.42291680971782 A
2017-12-03T00:00:00-07:00,81.12210508647718 A
2017-12-04T00:00:00-07:00,90.22000001606189 A
2017-12-05T00:00:00-07:00,89.38541714350383 A
2017-12-06T00:00:00-07:00,87.69479195276897 A
2017-12-07T00:00:00-07:00,91.95833317438762 A
2017-12-08T00:00:00-07:00,87.3177084128062 A
2017-12-09T00:00:00-07:00,75.96979133288066 A
2017-12-10T00:00:00-07:00,77.2666666507721 A
2017-12-11T00:00:00-07:00,89.13645815849304 A
2017-12-12T00:00:00-07:00,90.14791647593181 A
2017-12-13T00:00:00-07:00,87.76145839691162 A
2017-12-14T00:00:00-07:00,87.5812505086263 A
2017-12-15T00:00:00-07:00,87.70833357175191 A
2017-12-16T00:00:00-07:00,78.84895865122478 A
2017-12-17T00:00:00-07:00,80.16562501589458 A
2017-12-18T00:00:00-07:00,93.53846162230104 A
2017-12-19T00:00:00-07:00,93.81250031789143 A
2017-12-20T00:00:00-07:00,85.20208311080933 A
2017-12-21T00:00:00-07:00,83.38958303133647 A
2017-12-22T00:00:00-07:00,85.66145825386047 A
2017-12-23T00:00:00-07:00,77.41249966621399 A
2017-12-24T00:00:00-07:00,77.69999988873799 A
2017-12-25T00:00:00-07:00,76.65208292007446 A
2017-12-26T00:00:00-07:00,79.22500006357829 A
2017-12-27T00:00:00-07:00,82.43020844459534 A
2017-12-28T00:00:00-07:00,84.33229215939839 A
2017-12-29T00:00:00-07:00,74.78229173024495 A
2017-12-30T00:00:00-07:00,73.44062487284343 A
2017-12-31T00:00:00-07:00,74.15625 A
