Timestamp,['1cda76a6-a88b0f80 0014-TALMAGE BLDG Power Meter Current A']
2017-10-09T00:00:00-06:00,128.87548821767172 A
2017-10-10T00:00:00-06:00,138.03368240992228 A
2017-10-11T00:00:00-06:00,145.21951678593953 A
2017-10-12T00:00:00-06:00,126.78125259611342 A
2017-10-13T00:00:00-06:00,133.1673633787367 A
2017-10-14T00:00:00-06:00,121.2875017060174 A
2017-10-15T00:00:00-06:00,119.14583539962769 A
2017-10-16T00:00:00-06:00,143.4127110587226 A
2017-10-17T00:00:00-06:00,154.15743260913425 A
2017-10-18T00:00:00-06:00,167.44507208930122 A
2017-10-19T00:00:00-06:00,164.17896161609227 A
2017-10-20T00:00:00-06:00,148.3427114115821 A
2017-10-21T00:00:00-06:00,119.16819615893894 A
2017-10-22T00:00:00-06:00,133.25208590825397 A
2017-10-23T00:00:00-06:00,150.28750228881836 A
2017-10-24T00:00:00-06:00,151.53278041415746 A
2017-10-25T00:00:00-06:00,153.28944691022238 A
2017-10-26T00:00:00-06:00,142.80750211609734 A
2017-10-27T00:00:00-06:00,138.04791962305706 A
2017-10-28T00:00:00-06:00,136.56423843171862 A
2017-10-29T00:00:00-06:00,142.68201674355402 A
2017-10-30T00:00:00-06:00,142.72750256326464 A
2017-10-31T00:00:00-06:00,128.82430712381998 A
2017-11-01T00:00:00-06:00,152.74736331303913 A
2017-11-02T00:00:00-06:00,160.8552804099189 A
2017-11-03T00:00:00-06:00,163.29097503026327 A
2017-11-04T00:00:00-06:00,123.3392374197642 A
2017-11-05T00:00:00-06:00,122.12100163777669 A
2017-11-06T00:00:00-07:00,141.5447936852773 A
2017-11-07T00:00:00-07:00,143.579516781701 A
2017-11-08T00:00:00-07:00,143.23819703525967 A
2017-11-09T00:00:00-07:00,144.49375253253513 A
2017-11-10T00:00:00-07:00,132.36409982045492 A
2017-11-11T00:00:00-07:00,119.36902955373128 A
2017-11-12T00:00:00-07:00,118.99083511564467 A
2017-11-13T00:00:00-07:00,137.35583584043715 A
2017-11-14T00:00:00-07:00,138.21257145139907 A
2017-11-15T00:00:00-07:00,145.96653056674535 A
2017-11-16T00:00:00-07:00,157.89923874007332 A
2017-11-17T00:00:00-07:00,125.92902987268236 A
2017-11-18T00:00:00-07:00,116.15868202845256 A
2017-11-19T00:00:00-07:00,113.36583513153924 A
2017-11-20T00:00:00-07:00,126.92402977413602 A
2017-11-21T00:00:00-07:00,139.51250240537854 A
2017-11-22T00:00:00-07:00,138.37403037812976 A
2017-11-23T00:00:00-07:00,134.37264088524714 A
2017-11-24T00:00:00-07:00,127.83035018179152 A
2017-11-25T00:00:00-07:00,119.6456269952986 A
2017-11-26T00:00:00-07:00,126.70444660186767 A
2017-11-27T00:00:00-07:00,143.64528037707012 A
2017-11-28T00:00:00-07:00,134.06347516907587 A
2017-11-29T00:00:00-07:00,130.45812657674153 A
2017-11-30T00:00:00-07:00,131.4590806568768 A
2017-12-01T00:00:00-07:00,131.26260274548528 A
2017-12-02T00:00:00-07:00,113.5795847521888 A
2017-12-03T00:00:00-07:00,118.64014055464003 A
2017-12-04T00:00:00-07:00,122.16666935284933 A
2017-12-05T00:00:00-07:00,108.98652912775675 A
2017-12-06T00:00:00-07:00,109.86166845957437 A
2017-12-07T00:00:00-07:00,105.67361289130316 A
2017-12-08T00:00:00-07:00,106.53750162124634 A
2017-12-09T00:00:00-07:00,92.6783348083496 A
2017-12-10T00:00:00-07:00,91.944723616706 A
2017-12-11T00:00:00-07:00,105.23166811201307 A
2017-12-12T00:00:00-07:00,108.08472354676988 A
2017-12-13T00:00:00-07:00,102.36264068815443 A
2017-12-14T00:00:00-07:00,105.36791808870103 A
2017-12-15T00:00:00-07:00,100.44764034483168 A
2017-12-16T00:00:00-07:00,94.06264015833537 A
2017-12-17T00:00:00-07:00,93.98055726157294 A
2017-12-18T00:00:00-07:00,99.68531916906052 A
2017-12-19T00:00:00-07:00,100.12055717044406 A
2017-12-20T00:00:00-07:00,102.7895850552453 A
2017-12-21T00:00:00-07:00,100.981390370263 A
2017-12-22T00:00:00-07:00,96.87666815651788 A
2017-12-23T00:00:00-07:00,92.68139028549194 A
2017-12-24T00:00:00-07:00,93.01000146865844 A
2017-12-25T00:00:00-07:00,93.69180704222785 A
2017-12-26T00:00:00-07:00,92.3768071015676 A
2017-12-27T00:00:00-07:00,97.1735429710812 A
2017-12-28T00:00:00-07:00,96.20583509339227 A
2017-12-29T00:00:00-07:00,92.05729312896729 A
2017-12-30T00:00:00-07:00,93.23229338328044 A
2017-12-31T00:00:00-07:00,93.73055712381999 A
