Timestamp,['1f4f36d7-3eef5bf2 Power Meter (LV) 316609 Real Power Total']
2017-12-21T00:00:00-07:00,216 kW
2017-12-22T00:00:00-07:00,202 kW
2017-12-23T00:00:00-07:00,160 kW
2017-12-24T00:00:00-07:00,162 kW
2017-12-25T00:00:00-07:00,164 kW
2017-12-26T00:00:00-07:00,188 kW
2017-12-27T00:00:00-07:00,178 kW
2017-12-28T00:00:00-07:00,203 kW
2017-12-29T00:00:00-07:00,179 kW
2017-12-30T00:00:00-07:00,167 kW
2017-12-31T00:00:00-07:00,164 kW
