Timestamp,['1ef4686a-44c65569 0070-QUINNEY COLLEGE OF LAW Power Meter 313199 Current A']
2017-12-20T00:00:00-07:00,164.81489515304565 A
2017-12-21T00:00:00-07:00,194.13761297861734 A
2017-12-22T00:00:00-07:00,183.95717215538025 A
2017-12-23T00:00:00-07:00,183.92767477035522 A
2017-12-24T00:00:00-07:00,134.56694706281027 A
2017-12-25T00:00:00-07:00,166.35111363728842 A
2017-12-26T00:00:00-07:00,172.62474616368613 A
2017-12-27T00:00:00-07:00,191.4854680697123 A
2017-12-28T00:00:00-07:00,188.72649955749512 A
2017-12-29T00:00:00-07:00,174.93020764986673 A
2017-12-30T00:00:00-07:00,126.57492280006409 A
2017-12-31T00:00:00-07:00,150.7888820966085 A
