Timestamp,['1fa24747-c514fa25 0002-VOICE & OPERA CNTR Power Meter (301411) Current A']
2017-08-12T00:00:00-06:00,4.3207839615643024 A
2017-08-13T00:00:00-06:00,5.093845285475254 A
2017-08-14T00:00:00-06:00,12.202458783984184 A
2017-08-15T00:00:00-06:00,9.898776789506277 A
2017-08-16T00:00:00-06:00,12.274832006543875 A
2017-08-17T00:00:00-06:00,10.911253864566484 A
2017-08-18T00:00:00-06:00,13.753174317379793 A
2017-08-19T00:00:00-06:00,3.422377947717905 A
2017-08-20T00:00:00-06:00,4.272492388884227 A
2017-08-21T00:00:00-06:00,14.584886314968267 A
2017-08-22T00:00:00-06:00,13.048300007979075 A
2017-08-23T00:00:00-06:00,13.087208605060974 A
2017-08-24T00:00:00-06:00,11.955094767113527 A
2017-08-25T00:00:00-06:00,14.237070751686892 A
2017-08-26T00:00:00-06:00,3.6832359867791333 A
2017-08-27T00:00:00-06:00,4.657585733880599 A
2017-08-28T00:00:00-06:00,17.678046746568366 A
2017-08-29T00:00:00-06:00,15.961239990367684 A
2017-08-30T00:00:00-06:00,15.638120247672001 A
2017-08-31T00:00:00-06:00,9.941490632792314 A
2017-09-01T00:00:00-06:00,13.684460466106733 A
2017-09-02T00:00:00-06:00,4.702529129882653 A
2017-09-03T00:00:00-06:00,6.390693227450053 A
2017-09-04T00:00:00-06:00,15.617927893996239 A
2017-09-05T00:00:00-06:00,15.395486266662678 A
2017-09-06T00:00:00-06:00,14.664609068318418 A
2017-09-07T00:00:00-06:00,11.71214272454381 A
2017-09-08T00:00:00-06:00,13.113085075895837 A
2017-09-09T00:00:00-06:00,2.190036091953516 A
2017-09-10T00:00:00-06:00,2.653489609559377 A
2017-09-11T00:00:00-06:00,15.35861195375522 A
2017-09-12T00:00:00-06:00,12.509737435728312 A
2017-09-13T00:00:00-06:00,11.075140765557686 A
2017-09-14T00:00:00-06:00,7.44080404440562 A
2017-09-15T00:00:00-06:00,9.238540602227053 A
2017-09-16T00:00:00-06:00,1.5018211640417576 A
2017-09-17T00:00:00-06:00,1.6036252255241077 A
2017-09-18T00:00:00-06:00,8.726439241319895 A
2017-09-19T00:00:00-06:00,7.800427547345559 A
2017-09-20T00:00:00-06:00,8.015099490682283 A
2017-09-21T00:00:00-06:00,5.508298301448424 A
2017-09-22T00:00:00-06:00,6.327029975752036 A
2017-09-23T00:00:00-06:00,1.3247673759857814 A
2017-09-24T00:00:00-06:00,1.5868237788478534 A
2017-09-25T00:00:00-06:00,7.253062974661589 A
2017-09-26T00:00:00-06:00,7.612758332242568 A
2017-09-27T00:00:00-06:00,6.944093367705743 A
2017-09-28T00:00:00-06:00,5.737496839215358 A
2017-09-29T00:00:00-06:00,7.48131704206268 A
2017-09-30T00:00:00-06:00,1.4998568408191204 A
2017-10-01T00:00:00-06:00,1.4999782691399257 A
2017-10-02T00:00:00-06:00,7.350409799565871 A
2017-10-03T00:00:00-06:00,7.684941753745079 A
2017-10-04T00:00:00-06:00,6.954952256133159 A
2017-10-05T00:00:00-06:00,5.289866489668687 A
2017-10-06T00:00:00-06:00,5.839371811598539 A
2017-10-07T00:00:00-06:00,1.6615397445857525 A
2017-10-08T00:00:00-06:00,1.537205547094345 A
2017-10-09T00:00:00-06:00,5.194416608661413 A
2017-10-10T00:00:00-06:00,5.37358779584368 A
2017-10-11T00:00:00-06:00,5.325770262628794 A
2017-10-12T00:00:00-06:00,5.227843328068654 A
2017-10-13T00:00:00-06:00,5.773960640033086 A
2017-10-14T00:00:00-06:00,2.4060944939653077 A
2017-10-15T00:00:00-06:00,2.913280598819256 A
