Timestamp,['1da9834c-d2a8ee4d 0032-RICE-ECCLES STADIUM POWER METER (Main Stadium) 300075 Volts C-N']
2017-10-08T00:00:00-06:00,283.25013097127277 V
2017-10-09T00:00:00-06:00,283.28857676188153 V
2017-10-10T00:00:00-06:00,283.46841591282896 V
2017-10-11T00:00:00-06:00,283.03667474044 V
2017-10-12T00:00:00-06:00,283.5218048095703 V
2017-10-13T00:00:00-06:00,283.47061671206825 V
2017-10-14T00:00:00-06:00,283.389147122701 V
2017-10-15T00:00:00-06:00,283.2904214859009 V
2017-10-16T00:00:00-06:00,283.43954785664874 V
2017-10-17T00:00:00-06:00,283.1858088175456 V
2017-10-18T00:00:00-06:00,283.15305614471436 V
2017-10-19T00:00:00-06:00,283.45529143015546 V
2017-10-20T00:00:00-06:00,283.3902915318807 V
2017-10-21T00:00:00-06:00,282.4246877034505 V
2017-10-22T00:00:00-06:00,283.48409430185956 V
2017-10-23T00:00:00-06:00,283.26325035095215 V
2017-10-24T00:00:00-06:00,283.2455994288127 V
2017-10-25T00:00:00-06:00,283.169589360555 V
2017-10-26T00:00:00-06:00,283.52283986409503 V
2017-10-27T00:00:00-06:00,283.6131223042806 V
2017-10-28T00:00:00-06:00,283.08471393585205 V
2017-10-29T00:00:00-06:00,283.384534517924 V
2017-10-30T00:00:00-06:00,283.5841124852498 V
2017-10-31T00:00:00-06:00,283.48730278015137 V
2017-11-01T00:00:00-06:00,283.296425819397 V
2017-11-02T00:00:00-06:00,283.21939690907794 V
2017-11-03T00:00:00-06:00,282.47540873865927 V
2017-11-04T00:00:00-06:00,283.33588218688965 V
2017-11-05T00:00:00-06:00,283.1055880737305 V
2017-11-06T00:00:00-07:00,283.12778994911594 V
2017-11-07T00:00:00-07:00,283.22647321985124 V
2017-11-08T00:00:00-07:00,283.025766250935 V
2017-11-09T00:00:00-07:00,282.9625129699707 V
2017-11-10T00:00:00-07:00,282.9247121810913 V
2017-11-11T00:00:00-07:00,282.1415847142537 V
2017-11-12T00:00:00-07:00,283.10755888621014 V
2017-11-13T00:00:00-07:00,283.2379341125488 V
2017-11-14T00:00:00-07:00,283.7734670639038 V
2017-11-15T00:00:00-07:00,283.34614817301434 V
2017-11-16T00:00:00-07:00,283.15153217315674 V
2017-11-17T00:00:00-07:00,282.7403891881307 V
2017-11-18T00:00:00-07:00,283.556378364563 V
2017-11-19T00:00:00-07:00,283.69401868184406 V
2017-11-20T00:00:00-07:00,283.4888388315837 V
2017-11-21T00:00:00-07:00,283.40273571014404 V
2017-11-22T00:00:00-07:00,283.1037317911784 V
2017-11-23T00:00:00-07:00,283.598858833313 V
2017-11-24T00:00:00-07:00,283.24474811553955 V
2017-11-25T00:00:00-07:00,282.535075823466 V
2017-11-26T00:00:00-07:00,283.1574869155884 V
2017-11-27T00:00:00-07:00,283.23078568776447 V
2017-11-28T00:00:00-07:00,283.5178979237874 V
2017-11-29T00:00:00-07:00,283.73421510060626 V
2017-11-30T00:00:00-07:00,284.03864002227783 V
2017-12-01T00:00:00-07:00,283.56712913513184 V
2017-12-02T00:00:00-07:00,283.50760046641034 V
2017-12-03T00:00:00-07:00,283.5679858525594 V
2017-12-04T00:00:00-07:00,283.8267246882121 V
2017-12-05T00:00:00-07:00,283.608985265096 V
2017-12-06T00:00:00-07:00,283.3550669352214 V
2017-12-07T00:00:00-07:00,283.3922773996989 V
2017-12-08T00:00:00-07:00,283.41376145680744 V
2017-12-09T00:00:00-07:00,283.9947390907689 V
2017-12-10T00:00:00-07:00,283.8989356358846 V
2017-12-11T00:00:00-07:00,283.912389755249 V
2017-12-12T00:00:00-07:00,283.5233564376831 V
2017-12-13T00:00:00-07:00,284.08417256673175 V
2017-12-14T00:00:00-07:00,283.73992284138996 V
2017-12-15T00:00:00-07:00,283.6863718032837 V
2017-12-16T00:00:00-07:00,283.6989463404605 V
2017-12-17T00:00:00-07:00,283.63797092437744 V
2017-12-18T00:00:00-07:00,283.98846712979406 V
2017-12-19T00:00:00-07:00,283.8348439534505 V
2017-12-20T00:00:00-07:00,283.7527249654134 V
2017-12-21T00:00:00-07:00,283.739990234375 V
2017-12-22T00:00:00-07:00,283.95441087086994 V
2017-12-23T00:00:00-07:00,283.4361734390259 V
2017-12-24T00:00:00-07:00,284.06975809733075 V
2017-12-25T00:00:00-07:00,283.781631787618 V
2017-12-26T00:00:00-07:00,283.86018085479736 V
2017-12-27T00:00:00-07:00,283.87976837158203 V
2017-12-28T00:00:00-07:00,283.82292461395264 V
2017-12-29T00:00:00-07:00,283.68426609039307 V
2017-12-30T00:00:00-07:00,283.4904317855835 V
2017-12-31T00:00:00-07:00,283.4928557078044 V
