Timestamp,['206e9e63-c40410ad 0046-LASSONDE STUDIOS Power Meter 316258 Current C']
2017-11-06T00:00:00-07:00,199.7498229344686 A
2017-11-07T00:00:00-07:00,198.36943038304648 A
2017-11-08T00:00:00-07:00,205.54162565867105 A
2017-11-09T00:00:00-07:00,198.02979262669882 A
2017-11-10T00:00:00-07:00,201.77702713012695 A
2017-11-11T00:00:00-07:00,199.00271066029867 A
2017-11-12T00:00:00-07:00,203.7209356625875 A
2017-11-13T00:00:00-07:00,204.168843905131 A
2017-11-14T00:00:00-07:00,200.03879022598267 A
2017-11-15T00:00:00-07:00,209.49179967244467 A
2017-11-16T00:00:00-07:00,204.98595396677652 A
2017-11-17T00:00:00-07:00,206.07471561431885 A
2017-11-18T00:00:00-07:00,194.59795665740967 A
2017-11-19T00:00:00-07:00,197.44542185465494 A
2017-11-20T00:00:00-07:00,204.28676732381186 A
2017-11-21T00:00:00-07:00,202.00251166025797 A
2017-11-22T00:00:00-07:00,177.746772925059 A
2017-11-23T00:00:00-07:00,145.7427838643392 A
2017-11-24T00:00:00-07:00,143.37646881739298 A
2017-11-25T00:00:00-07:00,151.30572160085043 A
2017-11-26T00:00:00-07:00,172.8561224937439 A
2017-11-27T00:00:00-07:00,196.92622820536295 A
2017-11-28T00:00:00-07:00,196.21496407190958 A
2017-11-29T00:00:00-07:00,204.76170825958252 A
2017-11-30T00:00:00-07:00,201.22365220387778 A
2017-12-01T00:00:00-07:00,203.3395872116089 A
2017-12-02T00:00:00-07:00,195.87728309631348 A
2017-12-03T00:00:00-07:00,200.30771350860596 A
2017-12-04T00:00:00-07:00,199.1030217806498 A
2017-12-05T00:00:00-07:00,201.67082357406616 A
2017-12-06T00:00:00-07:00,210.88928318023682 A
2017-12-07T00:00:00-07:00,205.51279497146606 A
2017-12-08T00:00:00-07:00,214.0411886114823 A
2017-12-09T00:00:00-07:00,205.0598866144816 A
2017-12-10T00:00:00-07:00,197.80976502100626 A
