Timestamp,['1ce63dce-8321eb6f 0028-MARRIOTT CENTER FOR DANCE Power Meter Volts AN']
2017-10-28T00:00:00-06:00,122.53475149472554 V
2017-10-29T00:00:00-06:00,122.67657558123271 V
2017-10-30T00:00:00-06:00,122.73445153236389 V
2017-10-31T00:00:00-06:00,122.78670835494995 V
2017-11-01T00:00:00-06:00,122.51366265614827 V
2017-11-02T00:00:00-06:00,122.53580768903096 V
2017-11-03T00:00:00-06:00,122.55036918322246 V
2017-11-04T00:00:00-06:00,122.62565207481384 V
2017-11-05T00:00:00-06:00,122.62858039855956 V
2017-11-06T00:00:00-07:00,122.49890065193176 V
2017-11-07T00:00:00-07:00,122.52547534306844 V
2017-11-08T00:00:00-07:00,122.55455279350281 V
2017-11-09T00:00:00-07:00,122.60187999407451 V
2017-11-10T00:00:00-07:00,122.55885203679402 V
2017-11-11T00:00:00-07:00,122.47735293706258 V
2017-11-12T00:00:00-07:00,122.64272316296895 V
2017-11-13T00:00:00-07:00,122.63742351531982 V
2017-11-14T00:00:00-07:00,122.82581679026286 V
2017-11-15T00:00:00-07:00,122.6159823735555 V
2017-11-16T00:00:00-07:00,122.47895272572835 V
2017-11-17T00:00:00-07:00,122.64893690745036 V
2017-11-18T00:00:00-07:00,122.71060395240784 V
2017-11-19T00:00:00-07:00,122.83048065503438 V
2017-11-20T00:00:00-07:00,122.5895648797353 V
2017-11-21T00:00:00-07:00,122.56717896461487 V
2017-11-22T00:00:00-07:00,122.54088838895161 V
2017-11-23T00:00:00-07:00,122.85361170768738 V
2017-11-24T00:00:00-07:00,122.73029160499573 V
2017-11-25T00:00:00-07:00,122.74687496821086 V
2017-11-26T00:00:00-07:00,122.84722169240315 V
2017-11-27T00:00:00-07:00,122.6172484556834 V
2017-11-28T00:00:00-07:00,122.6608391602834 V
2017-11-29T00:00:00-07:00,122.7325484752655 V
2017-11-30T00:00:00-07:00,122.80486186345418 V
2017-12-01T00:00:00-07:00,122.6162649790446 V
2017-12-02T00:00:00-07:00,122.66434264183044 V
2017-12-03T00:00:00-07:00,122.77899408340454 V
2017-12-04T00:00:00-07:00,122.77682423591614 V
2017-12-05T00:00:00-07:00,122.65125234921773 V
2017-12-06T00:00:00-07:00,122.54974643389384 V
2017-12-07T00:00:00-07:00,122.5238463083903 V
2017-12-08T00:00:00-07:00,122.52935369809468 V
2017-12-09T00:00:00-07:00,122.83685104052226 V
2017-12-10T00:00:00-07:00,122.81994970639546 V
2017-12-11T00:00:00-07:00,122.85557929674785 V
2017-12-12T00:00:00-07:00,122.61083197593689 V
2017-12-13T00:00:00-07:00,122.85235134760539 V
2017-12-14T00:00:00-07:00,122.67209982872009 V
2017-12-15T00:00:00-07:00,122.6856180826823 V
2017-12-16T00:00:00-07:00,122.61278851826985 V
2017-12-17T00:00:00-07:00,122.89259052276611 V
2017-12-18T00:00:00-07:00,122.97751835414341 V
2017-12-19T00:00:00-07:00,122.8827342192332 V
2017-12-20T00:00:00-07:00,122.81228280067444 V
2017-12-21T00:00:00-07:00,122.83932582537334 V
2017-12-22T00:00:00-07:00,122.94640493392944 V
2017-12-23T00:00:00-07:00,122.73338214556377 V
2017-12-24T00:00:00-07:00,122.97081208229065 V
2017-12-25T00:00:00-07:00,122.88633521397908 V
2017-12-26T00:00:00-07:00,122.90594577789307 V
2017-12-27T00:00:00-07:00,122.905331214269 V
2017-12-28T00:00:00-07:00,122.87994170188904 V
2017-12-29T00:00:00-07:00,122.78417619069417 V
2017-12-30T00:00:00-07:00,122.75070603688557 V
2017-12-31T00:00:00-07:00,122.77627484003703 V
