Timestamp,['1cac6eaa-c5f5c516 0011-BROWNING BLDG Power Meter 311945 VOLT C-N']
2017-10-05T00:00:00-06:00,122.97955324384901 V
2017-10-06T00:00:00-06:00,122.95594569312202 V
2017-10-07T00:00:00-06:00,122.99811613824633 V
2017-10-08T00:00:00-06:00,123.17339209980435 V
2017-10-09T00:00:00-06:00,123.05927986039056 V
2017-10-10T00:00:00-06:00,123.12038893169827 V
2017-10-11T00:00:00-06:00,122.90957800017463 V
2017-10-12T00:00:00-06:00,123.08120990329319 V
2017-10-13T00:00:00-06:00,123.04118660820855 V
2017-10-14T00:00:00-06:00,123.10508596632215 V
2017-10-15T00:00:00-06:00,123.04854208628336 V
2017-10-16T00:00:00-06:00,123.15722532802158 V
2017-10-17T00:00:00-06:00,123.01351514922248 V
2017-10-18T00:00:00-06:00,122.93595339987013 V
2017-10-19T00:00:00-06:00,123.0565917915768 V
2017-10-20T00:00:00-06:00,123.06820040278964 V
2017-10-21T00:00:00-06:00,123.06666873825921 V
2017-10-22T00:00:00-06:00,123.10192352400885 V
2017-10-23T00:00:00-06:00,123.04060179392496 V
2017-10-24T00:00:00-06:00,122.91601022614373 V
2017-10-25T00:00:00-06:00,122.91090199152629 V
2017-10-26T00:00:00-06:00,122.97462534374661 V
2017-10-27T00:00:00-06:00,123.03238054911296 V
2017-10-28T00:00:00-06:00,122.94785832828946 V
2017-10-29T00:00:00-06:00,123.05710791613676 V
2017-10-30T00:00:00-06:00,123.06536809603374 V
2017-10-31T00:00:00-06:00,123.09034634166294 V
2017-11-01T00:00:00-06:00,123.03607049518162 V
2017-11-02T00:00:00-06:00,123.0553247610728 V
2017-11-03T00:00:00-06:00,122.97869573169284 V
2017-11-04T00:00:00-06:00,123.09723439746433 V
2017-11-05T00:00:00-06:00,122.96875111463468 V
2017-11-06T00:00:00-07:00,122.91551348898146 V
2017-11-07T00:00:00-07:00,122.90539552370707 V
2017-11-08T00:00:00-07:00,122.94294737709893 V
2017-11-09T00:00:00-07:00,123.04355750083923 V
2017-11-10T00:00:00-07:00,123.10969333118862 V
2017-11-11T00:00:00-07:00,122.966070344713 V
2017-11-12T00:00:00-07:00,123.03670612970988 V
2017-11-13T00:00:00-07:00,123.06962298287286 V
2017-11-14T00:00:00-07:00,123.21073153283861 V
2017-11-15T00:00:00-07:00,123.0156645403968 V
2017-11-16T00:00:00-07:00,122.99379509819879 V
2017-11-17T00:00:00-07:00,123.11752191649543 V
2017-11-18T00:00:00-07:00,123.21249390708076 V
2017-11-19T00:00:00-07:00,123.21493637901449 V
