Timestamp,"['206e9eed-8cd5e342 0046-LASSONDE STUDIOS Power Meter 316259 Watts, 3-Ph total']"
2017-10-26T00:00:00-06:00,134.17481994628906 kW
2017-10-27T00:00:00-06:00,136.94183349609375 kW
2017-10-28T00:00:00-06:00,143.47755432128906 kW
2017-10-29T00:00:00-06:00,142.3079071044922 kW
2017-10-30T00:00:00-06:00,135.19677734375 kW
2017-10-31T00:00:00-06:00,147.1472930908203 kW
2017-11-01T00:00:00-06:00,151.79774475097656 kW
2017-11-02T00:00:00-06:00,132.90499877929688 kW
2017-11-03T00:00:00-06:00,139.548095703125 kW
2017-11-04T00:00:00-06:00,142.39060974121094 kW
2017-11-05T00:00:00-06:00,136.8101806640625 kW
2017-11-06T00:00:00-07:00,133.90696716308594 kW
2017-11-07T00:00:00-07:00,141.82142639160156 kW
2017-11-08T00:00:00-07:00,141.31578063964844 kW
2017-11-09T00:00:00-07:00,151.35362243652344 kW
2017-11-10T00:00:00-07:00,139.201904296875 kW
2017-11-11T00:00:00-07:00,154.49264526367188 kW
2017-11-12T00:00:00-07:00,141.4390869140625 kW
2017-11-13T00:00:00-07:00,146.24966430664062 kW
2017-11-14T00:00:00-07:00,157.3224334716797 kW
2017-11-15T00:00:00-07:00,167.69000244140625 kW
2017-11-16T00:00:00-07:00,170.08883666992188 kW
2017-11-17T00:00:00-07:00,134.5191192626953 kW
2017-11-18T00:00:00-07:00,103.26911926269531 kW
2017-11-19T00:00:00-07:00,108.86299133300781 kW
2017-11-20T00:00:00-07:00,148.271728515625 kW
2017-11-21T00:00:00-07:00,148.80125427246094 kW
2017-11-22T00:00:00-07:00,125.07427978515625 kW
2017-11-23T00:00:00-07:00,129.54360961914062 kW
2017-11-24T00:00:00-07:00,125.59081268310547 kW
2017-11-25T00:00:00-07:00,106.4979248046875 kW
2017-11-26T00:00:00-07:00,93.64715576171875 kW
2017-11-27T00:00:00-07:00,137.71217346191406 kW
2017-11-28T00:00:00-07:00,143.80775451660156 kW
2017-11-29T00:00:00-07:00,145.50531005859375 kW
2017-11-30T00:00:00-07:00,140.10769653320312 kW
2017-12-01T00:00:00-07:00,139.41146850585938 kW
2017-12-02T00:00:00-07:00,141.15316772460938 kW
2017-12-03T00:00:00-07:00,138.1842498779297 kW
2017-12-04T00:00:00-07:00,146.024658203125 kW
2017-12-05T00:00:00-07:00,141.4847869873047 kW
2017-12-06T00:00:00-07:00,147.93307495117188 kW
2017-12-07T00:00:00-07:00,146.79214477539062 kW
2017-12-08T00:00:00-07:00,156.12142944335938 kW
2017-12-09T00:00:00-07:00,142.93954467773438 kW
2017-12-10T00:00:00-07:00,139.6659393310547 kW
2017-12-11T00:00:00-07:00,139.35128784179688 kW
2017-12-12T00:00:00-07:00,147.4119415283203 kW
2017-12-13T00:00:00-07:00,141.8713836669922 kW
2017-12-14T00:00:00-07:00,135.55747985839844 kW
2017-12-15T00:00:00-07:00,141.0328369140625 kW
2017-12-16T00:00:00-07:00,141.4889678955078 kW
2017-12-17T00:00:00-07:00,143.9272003173828 kW
2017-12-18T00:00:00-07:00,133.66737365722656 kW
2017-12-19T00:00:00-07:00,132.0624542236328 kW
2017-12-20T00:00:00-07:00,139.40625 kW
2017-12-21T00:00:00-07:00,128.6392364501953 kW
2017-12-22T00:00:00-07:00,117.34049987792969 kW
2017-12-23T00:00:00-07:00,133.71966552734375 kW
2017-12-24T00:00:00-07:00,130.743896484375 kW
2017-12-25T00:00:00-07:00,119.151611328125 kW
2017-12-26T00:00:00-07:00,113.76437377929688 kW
2017-12-27T00:00:00-07:00,127.97636413574219 kW
2017-12-28T00:00:00-07:00,113.94882202148438 kW
2017-12-29T00:00:00-07:00,117.0678482055664 kW
2017-12-30T00:00:00-07:00,129.44873046875 kW
2017-12-31T00:00:00-07:00,123.32302856445312 kW
