Timestamp,['1cac61ad-3487261b 0009-WIDTSOE BLDG Power Meter 1(300028) KW Total']
2017-07-15T00:00:00-06:00,55.83041546312759 kW
2017-07-16T00:00:00-06:00,63.873659208008526 kW
2017-07-17T00:00:00-06:00,76.00755562221573 kW
2017-07-18T00:00:00-06:00,76.3585365949958 kW
2017-07-19T00:00:00-06:00,72.80674224513567 kW
2017-07-20T00:00:00-06:00,70.15352513104669 kW
2017-07-21T00:00:00-06:00,70.05655665503609 kW
2017-07-22T00:00:00-06:00,55.45927814601745 kW
2017-07-23T00:00:00-06:00,56.22137415177292 kW
2017-07-24T00:00:00-06:00,74.24041437089448 kW
2017-07-25T00:00:00-06:00,67.56795883753786 kW
2017-07-26T00:00:00-06:00,66.92450116623338 kW
2017-07-27T00:00:00-06:00,65.58439582652517 kW
2017-07-28T00:00:00-06:00,63.21098872496023 kW
2017-07-29T00:00:00-06:00,53.821899331697715 kW
2017-07-30T00:00:00-06:00,54.44653597790885 kW
2017-07-31T00:00:00-06:00,74.21335458343783 kW
2017-08-01T00:00:00-06:00,73.85291887872764 kW
2017-08-02T00:00:00-06:00,72.3793963609802 kW
2017-08-03T00:00:00-06:00,69.92874465755835 kW
2017-08-04T00:00:00-06:00,69.3525727280313 kW
2017-08-05T00:00:00-06:00,55.42411299807056 kW
2017-08-06T00:00:00-06:00,53.44117622485867 kW
2017-08-07T00:00:00-06:00,69.17789445261151 kW
2017-08-08T00:00:00-06:00,70.87588579468154 kW
2017-08-09T00:00:00-06:00,83.95304193514345 kW
2017-08-10T00:00:00-06:00,95.30333611313931 kW
2017-08-11T00:00:00-06:00,98.95142017948405 kW
2017-08-12T00:00:00-06:00,82.14196706295013 kW
2017-08-13T00:00:00-06:00,83.09473338193368 kW
2017-08-14T00:00:00-06:00,96.12093395653709 kW
2017-08-15T00:00:00-06:00,85.78947573946569 kW
2017-08-16T00:00:00-06:00,87.57676846506426 kW
2017-08-17T00:00:00-06:00,91.07595092124411 kW
2017-08-18T00:00:00-06:00,72.13311139455529 kW
2017-08-19T00:00:00-06:00,65.00172640751899 kW
2017-08-20T00:00:00-06:00,65.57309435343306 kW
2017-08-21T00:00:00-06:00,85.77937156455388 kW
2017-08-22T00:00:00-06:00,79.02950650299034 kW
2017-08-23T00:00:00-06:00,85.54216930191846 kW
2017-08-24T00:00:00-06:00,81.5137360057677 kW
2017-08-25T00:00:00-06:00,88.34600018617176 kW
2017-08-26T00:00:00-06:00,69.5960510637914 kW
2017-08-27T00:00:00-06:00,69.07791146503546 kW
2017-08-28T00:00:00-06:00,93.30079199411243 kW
2017-08-29T00:00:00-06:00,83.26450775394834 kW
2017-08-30T00:00:00-06:00,75.42870357913006 kW
2017-08-31T00:00:00-06:00,69.12101274647094 kW
2017-09-01T00:00:00-06:00,59.32251807926976 kW
2017-09-02T00:00:00-06:00,51.39673936948722 kW
2017-09-03T00:00:00-06:00,52.88242744217311 kW
2017-09-04T00:00:00-06:00,55.912321290881586 kW
2017-09-05T00:00:00-06:00,62.999972672948104 kW
2017-09-06T00:00:00-06:00,61.342643041654846 kW
2017-09-07T00:00:00-06:00,71.67582319134924 kW
2017-09-08T00:00:00-06:00,74.515417635739 kW
2017-09-09T00:00:00-06:00,59.76050205674999 kW
2017-09-10T00:00:00-06:00,77.59288941933049 kW
2017-09-11T00:00:00-06:00,91.8323329276177 kW
2017-09-12T00:00:00-06:00,89.27189742507754 kW
2017-09-13T00:00:00-06:00,87.45410902552037 kW
2017-09-14T00:00:00-06:00,76.21420007221116 kW
2017-09-15T00:00:00-06:00,27.147844920919983 kW
2017-09-16T00:00:00-06:00,27.645041903213205 kW
2017-09-17T00:00:00-06:00,38.639255989911355 kW
2017-09-18T00:00:00-06:00,66.52889672295348 kW
2017-09-19T00:00:00-06:00,25.147018837586614 kW
2017-09-20T00:00:00-06:00,52.636608062099505 kW
2017-09-21T00:00:00-06:00,23.72757012717143 kW
2017-09-22T00:00:00-06:00,21.85385832005076 kW
2017-09-23T00:00:00-06:00,14.451171715684506 kW
2017-09-24T00:00:00-06:00,13.833407299766938 kW
2017-09-25T00:00:00-06:00,22.83625513592251 kW
2017-09-26T00:00:00-06:00,23.508147490940733 kW
2017-09-27T00:00:00-06:00,39.28739814315684 kW
2017-09-28T00:00:00-06:00,34.90771887122478 kW
2017-09-29T00:00:00-06:00,49.40452290505179 kW
2017-09-30T00:00:00-06:00,28.630001561702397 kW
2017-10-01T00:00:00-06:00,14.870372461185408 kW
2017-10-02T00:00:00-06:00,22.317043702315395 kW
2017-10-03T00:00:00-06:00,21.504528857215686 kW
2017-10-04T00:00:00-06:00,23.786663127613306 kW
2017-10-05T00:00:00-06:00,23.894200383628966 kW
2017-10-06T00:00:00-06:00,23.054703760356826 kW
2017-10-07T00:00:00-06:00,35.16900579662236 kW
2017-10-08T00:00:00-06:00,14.991573132977452 kW
2017-10-09T00:00:00-06:00,19.59109671779253 kW
2017-10-10T00:00:00-06:00,19.842443206762827 kW
2017-10-11T00:00:00-06:00,39.93696802732019 kW
2017-10-12T00:00:00-06:00,19.95312653746868 kW
2017-10-13T00:00:00-06:00,19.24788188811803 kW
2017-10-14T00:00:00-06:00,14.376808493176016 kW
2017-10-15T00:00:00-06:00,14.137471256443746 kW
2017-10-16T00:00:00-06:00,23.00362204139991 kW
2017-10-17T00:00:00-06:00,28.73186322087492 kW
2017-10-18T00:00:00-06:00,32.26621665668704 kW
2017-10-19T00:00:00-06:00,49.0916056342036 kW
2017-10-20T00:00:00-06:00,33.31710262693751 kW
2017-10-21T00:00:00-06:00,14.854710937688752 kW
2017-10-22T00:00:00-06:00,26.86233485473525 kW
2017-10-23T00:00:00-06:00,22.978212225437193 kW
2017-10-24T00:00:00-06:00,22.79047083585351 kW
2017-10-25T00:00:00-06:00,28.984837779082657 kW
2017-10-26T00:00:00-06:00,25.094046257999192 kW
2017-10-27T00:00:00-06:00,23.15261590591184 kW
2017-10-28T00:00:00-06:00,16.05896476293054 kW
2017-10-29T00:00:00-06:00,26.831726345662787 kW
2017-10-30T00:00:00-06:00,23.411115326947616 kW
2017-10-31T00:00:00-06:00,19.63291676609608 kW
2017-11-01T00:00:00-06:00,36.95618243760533 kW
2017-11-02T00:00:00-06:00,42.1805147207114 kW
2017-11-03T00:00:00-06:00,25.781805277378485 kW
2017-11-04T00:00:00-06:00,14.858687717152977 kW
2017-11-05T00:00:00-06:00,14.245957576232486 kW
2017-11-06T00:00:00-07:00,22.150450094353207 kW
2017-11-07T00:00:00-07:00,20.25481782593111 kW
2017-11-08T00:00:00-07:00,21.235779954371658 kW
2017-11-09T00:00:00-07:00,21.186450201924206 kW
2017-11-10T00:00:00-07:00,20.030907546601842 kW
2017-11-11T00:00:00-07:00,14.323353865571576 kW
2017-11-12T00:00:00-07:00,13.74626091189957 kW
2017-11-13T00:00:00-07:00,20.815864484994485 kW
2017-11-14T00:00:00-07:00,21.030280241491635 kW
2017-11-15T00:00:00-07:00,22.419295876230347 kW
2017-11-16T00:00:00-07:00,23.16058637993204 kW
2017-11-17T00:00:00-07:00,21.94588790582285 kW
2017-11-18T00:00:00-07:00,16.51506772181505 kW
2017-11-19T00:00:00-07:00,15.719789075189167 kW
2017-11-20T00:00:00-07:00,22.074789704945367 kW
2017-11-21T00:00:00-07:00,21.680784263533564 kW
2017-11-22T00:00:00-07:00,23.998014231346325 kW
2017-11-23T00:00:00-07:00,24.40649749440174 kW
2017-11-24T00:00:00-07:00,17.874277002038742 kW
2017-11-25T00:00:00-07:00,14.376374362022785 kW
2017-11-26T00:00:00-07:00,29.033582244228416 kW
2017-11-27T00:00:00-07:00,37.22058885361301 kW
2017-11-28T00:00:00-07:00,21.188743185831438 kW
2017-11-29T00:00:00-07:00,21.83282254648432 kW
2017-11-30T00:00:00-07:00,21.7235949379426 kW
2017-12-01T00:00:00-07:00,21.033106840054188 kW
2017-12-02T00:00:00-07:00,14.3251647247429 kW
2017-12-03T00:00:00-07:00,14.407628394166629 kW
2017-12-04T00:00:00-07:00,21.81428162700599 kW
2017-12-05T00:00:00-07:00,22.119466197854976 kW
2017-12-06T00:00:00-07:00,21.80567294323887 kW
2017-12-07T00:00:00-07:00,20.916410840396512 kW
2017-12-08T00:00:00-07:00,19.52485146671535 kW
2017-12-09T00:00:00-07:00,13.526899982160991 kW
2017-12-10T00:00:00-07:00,13.858275986203443 kW
2017-12-11T00:00:00-07:00,21.57896052551494 kW
2017-12-12T00:00:00-07:00,21.675471235248803 kW
2017-12-13T00:00:00-07:00,25.42715350124573 kW
2017-12-14T00:00:00-07:00,26.40095584341773 kW
2017-12-15T00:00:00-07:00,28.444717841634045 kW
2017-12-16T00:00:00-07:00,23.726410401375183 kW
2017-12-17T00:00:00-07:00,24.66573148811306 kW
2017-12-18T00:00:00-07:00,26.100472211484554 kW
2017-12-19T00:00:00-07:00,25.952112163172824 kW
2017-12-20T00:00:00-07:00,25.785713137344086 kW
2017-12-21T00:00:00-07:00,24.674495593463934 kW
2017-12-22T00:00:00-07:00,22.191224195250765 kW
2017-12-23T00:00:00-07:00,22.319240044178766 kW
2017-12-24T00:00:00-07:00,21.582663841070982 kW
2017-12-25T00:00:00-07:00,21.612609496028323 kW
2017-12-26T00:00:00-07:00,22.766295278160687 kW
2017-12-27T00:00:00-07:00,23.0819514288284 kW
2017-12-28T00:00:00-07:00,23.29380824888193 kW
2017-12-29T00:00:00-07:00,22.885384493249447 kW
2017-12-30T00:00:00-07:00,23.428471656353345 kW
2017-12-31T00:00:00-07:00,22.107895967011096 kW
