Timestamp,['201d14f7-e3f2286a 0070-QUINNEY COLLEGE OF LAW Power Meter E-1 313200 Volts A-B']
2017-10-17T00:00:00-06:00,213.49969148635864 V
2017-10-18T00:00:00-06:00,213.465926806132 V
2017-10-19T00:00:00-06:00,213.62980270385742 V
2017-10-20T00:00:00-06:00,213.63730223973593 V
2017-10-21T00:00:00-06:00,213.71312808990479 V
2017-10-22T00:00:00-06:00,213.77776463826498 V
2017-10-23T00:00:00-06:00,213.69918632507324 V
2017-10-24T00:00:00-06:00,213.63669888178507 V
2017-10-25T00:00:00-06:00,213.62277714411417 V
2017-10-26T00:00:00-06:00,213.85775756835938 V
2017-10-27T00:00:00-06:00,213.85267702738443 V
2017-10-28T00:00:00-06:00,213.589741230011 V
2017-10-29T00:00:00-06:00,213.8196703592936 V
2017-10-30T00:00:00-06:00,213.8896573384603 V
2017-10-31T00:00:00-06:00,213.75123643875122 V
2017-11-01T00:00:00-06:00,213.6201729774475 V
2017-11-02T00:00:00-06:00,213.62772496541342 V
2017-11-03T00:00:00-06:00,213.88256963094076 V
2017-11-04T00:00:00-06:00,213.96135425567627 V
2017-11-05T00:00:00-06:00,213.73100021362305 V
2017-11-06T00:00:00-07:00,213.66977977752686 V
2017-11-07T00:00:00-07:00,213.7211044629415 V
2017-11-08T00:00:00-07:00,213.7138648033142 V
2017-11-09T00:00:00-07:00,213.9913961092631 V
2017-11-10T00:00:00-07:00,213.9719417889913 V
2017-11-11T00:00:00-07:00,213.69689639409384 V
2017-11-12T00:00:00-07:00,213.8246752421061 V
2017-11-13T00:00:00-07:00,213.90499909718832 V
2017-11-14T00:00:00-07:00,214.31346607208252 V
2017-11-15T00:00:00-07:00,213.92520427703857 V
2017-11-16T00:00:00-07:00,213.82431189219156 V
2017-11-17T00:00:00-07:00,213.97821235656738 V
2017-11-18T00:00:00-07:00,214.0686798095703 V
2017-11-19T00:00:00-07:00,214.09255584081015 V
2017-11-20T00:00:00-07:00,213.87395652135214 V
2017-11-21T00:00:00-07:00,213.9433329900106 V
