Timestamp,"['1eb2a10d-58e721b1 0074-BUSINESS CLASSROOM BLDG Power Meter (208V) Watts, 3-Ph total']"
2017-12-15T00:00:00-07:00,5.541753768920898 kW
2017-12-16T00:00:00-07:00,4.150726795196533 kW
2017-12-17T00:00:00-07:00,3.561471939086914 kW
2017-12-18T00:00:00-07:00,6.662930488586426 kW
2017-12-19T00:00:00-07:00,6.434227466583252 kW
2017-12-20T00:00:00-07:00,7.057049751281738 kW
2017-12-21T00:00:00-07:00,6.498971462249756 kW
2017-12-22T00:00:00-07:00,3.9598565101623535 kW
2017-12-23T00:00:00-07:00,3.054133653640747 kW
2017-12-24T00:00:00-07:00,3.897423267364502 kW
2017-12-25T00:00:00-07:00,2.9881205558776855 kW
2017-12-26T00:00:00-07:00,3.2490155696868896 kW
2017-12-27T00:00:00-07:00,3.867441415786743 kW
2017-12-28T00:00:00-07:00,3.9562902450561523 kW
2017-12-29T00:00:00-07:00,3.0009889602661133 kW
2017-12-30T00:00:00-07:00,3.016339063644409 kW
2017-12-31T00:00:00-07:00,3.851081609725952 kW
