Timestamp,['1cbae955-d84e370e 0038-ART BLDG Power Meter 300086 Volts CA']
2017-10-25T00:00:00-06:00,207.27058919270834 V
2017-10-26T00:00:00-06:00,207.11392386754355 V
2017-10-27T00:00:00-06:00,207.23163747787476 V
2017-10-28T00:00:00-06:00,207.17883125940958 V
2017-10-29T00:00:00-06:00,207.02162154515585 V
2017-10-30T00:00:00-06:00,207.29229990641275 V
2017-10-31T00:00:00-06:00,207.42470169067383 V
2017-11-01T00:00:00-06:00,206.88971932729086 V
2017-11-02T00:00:00-06:00,207.16575972239175 V
2017-11-03T00:00:00-06:00,207.28473567962646 V
2017-11-04T00:00:00-06:00,207.30067809422812 V
2017-11-05T00:00:00-06:00,207.43288772583008 V
2017-11-06T00:00:00-07:00,207.3822808265686 V
2017-11-07T00:00:00-07:00,207.4849354426066 V
2017-11-08T00:00:00-07:00,207.08257945378622 V
2017-11-09T00:00:00-07:00,206.9352889060974 V
2017-11-10T00:00:00-07:00,207.28001228968301 V
2017-11-11T00:00:00-07:00,207.0979035695394 V
2017-11-12T00:00:00-07:00,207.21364561716715 V
2017-11-13T00:00:00-07:00,207.21641206741333 V
2017-11-14T00:00:00-07:00,206.92067861557007 V
2017-11-15T00:00:00-07:00,206.7594779332479 V
2017-11-16T00:00:00-07:00,207.48988469441733 V
2017-11-17T00:00:00-07:00,207.1741805076599 V
2017-11-18T00:00:00-07:00,207.50003004074097 V
2017-11-19T00:00:00-07:00,207.89045778910318 V
2017-11-20T00:00:00-07:00,207.4804581006368 V
2017-11-21T00:00:00-07:00,207.022181669871 V
2017-11-22T00:00:00-07:00,207.44810104370117 V
2017-11-23T00:00:00-07:00,207.53502448399863 V
2017-11-24T00:00:00-07:00,207.6162541707357 V
2017-11-25T00:00:00-07:00,207.44089301427206 V
2017-11-26T00:00:00-07:00,207.44354025522867 V
2017-11-27T00:00:00-07:00,207.57718642552695 V
2017-11-28T00:00:00-07:00,207.11678504943848 V
2017-11-29T00:00:00-07:00,207.1824982961019 V
2017-11-30T00:00:00-07:00,207.22877820332846 V
2017-12-01T00:00:00-07:00,207.3988939921061 V
2017-12-02T00:00:00-07:00,207.34977992375693 V
2017-12-03T00:00:00-07:00,207.220805644989 V
2017-12-04T00:00:00-07:00,206.97876516977945 V
2017-12-05T00:00:00-07:00,207.21962277094522 V
2017-12-06T00:00:00-07:00,207.2013554573059 V
2017-12-07T00:00:00-07:00,207.30708599090576 V
2017-12-08T00:00:00-07:00,207.33296394348145 V
2017-12-09T00:00:00-07:00,207.57526397705078 V
2017-12-10T00:00:00-07:00,207.5872475306193 V
2017-12-11T00:00:00-07:00,207.0930724143982 V
2017-12-12T00:00:00-07:00,206.86237335205078 V
2017-12-13T00:00:00-07:00,207.06481838226318 V
2017-12-14T00:00:00-07:00,207.21693054835 V
2017-12-15T00:00:00-07:00,207.13236633936563 V
2017-12-16T00:00:00-07:00,207.18719736735025 V
2017-12-17T00:00:00-07:00,206.99484809239706 V
2017-12-18T00:00:00-07:00,207.15909289288265 V
2017-12-19T00:00:00-07:00,206.83508602778116 V
2017-12-20T00:00:00-07:00,207.19397497177124 V
2017-12-21T00:00:00-07:00,206.86557801564535 V
2017-12-22T00:00:00-07:00,206.94946829477945 V
2017-12-23T00:00:00-07:00,207.115199247996 V
2017-12-24T00:00:00-07:00,207.30161889394125 V
2017-12-25T00:00:00-07:00,207.54083665211996 V
2017-12-26T00:00:00-07:00,207.47606372833252 V
2017-12-27T00:00:00-07:00,206.94586340586343 V
2017-12-28T00:00:00-07:00,207.48015371958414 V
2017-12-29T00:00:00-07:00,207.25216484069824 V
2017-12-30T00:00:00-07:00,207.06742445627847 V
2017-12-31T00:00:00-07:00,206.93123722076416 V
