Timestamp,"['203f26c8-b7736689 0097-DUMKE GYMNASTICS CNTR Power Meter Watts, 3-Ph total']"
2017-11-04T00:00:00-06:00,25.482257843017578 kW
2017-11-05T00:00:00-06:00,37.36602020263672 kW
2017-11-06T00:00:00-07:00,38.2235221862793 kW
2017-11-07T00:00:00-07:00,41.27653121948242 kW
2017-11-08T00:00:00-07:00,36.64494323730469 kW
2017-11-09T00:00:00-07:00,40.757843017578125 kW
2017-11-10T00:00:00-07:00,43.904502868652344 kW
2017-11-11T00:00:00-07:00,25.65501594543457 kW
2017-11-12T00:00:00-07:00,36.861366271972656 kW
2017-11-13T00:00:00-07:00,41.13117599487305 kW
2017-11-14T00:00:00-07:00,42.389122009277344 kW
2017-11-15T00:00:00-07:00,37.92243194580078 kW
2017-11-16T00:00:00-07:00,41.430877685546875 kW
2017-11-17T00:00:00-07:00,42.68431854248047 kW
2017-11-18T00:00:00-07:00,28.764293670654297 kW
2017-11-19T00:00:00-07:00,38.75674057006836 kW
2017-11-20T00:00:00-07:00,43.787113189697266 kW
2017-11-21T00:00:00-07:00,47.132591247558594 kW
2017-11-22T00:00:00-07:00,45.96501922607422 kW
2017-11-23T00:00:00-07:00,32.9099006652832 kW
2017-11-24T00:00:00-07:00,46.968292236328125 kW
2017-11-25T00:00:00-07:00,47.80464172363281 kW
2017-11-26T00:00:00-07:00,42.56082534790039 kW
2017-11-27T00:00:00-07:00,49.41971206665039 kW
2017-11-28T00:00:00-07:00,48.06348419189453 kW
2017-11-29T00:00:00-07:00,46.089412689208984 kW
2017-11-30T00:00:00-07:00,50.80004119873047 kW
2017-12-01T00:00:00-07:00,51.6995735168457 kW
2017-12-02T00:00:00-07:00,43.075477600097656 kW
2017-12-03T00:00:00-07:00,47.86453628540039 kW
2017-12-04T00:00:00-07:00,50.710540771484375 kW
2017-12-05T00:00:00-07:00,50.86505889892578 kW
2017-12-06T00:00:00-07:00,47.66450119018555 kW
2017-12-07T00:00:00-07:00,50.179420471191406 kW
2017-12-08T00:00:00-07:00,48.266990661621094 kW
2017-12-09T00:00:00-07:00,44.904972076416016 kW
2017-12-10T00:00:00-07:00,36.92902755737305 kW
2017-12-11T00:00:00-07:00,45.889869689941406 kW
2017-12-12T00:00:00-07:00,45.88782501220703 kW
2017-12-13T00:00:00-07:00,36.8275032043457 kW
2017-12-14T00:00:00-07:00,39.24188232421875 kW
2017-12-15T00:00:00-07:00,40.29529571533203 kW
2017-12-16T00:00:00-07:00,28.4794979095459 kW
2017-12-17T00:00:00-07:00,34.15382385253906 kW
2017-12-18T00:00:00-07:00,37.753604888916016 kW
2017-12-19T00:00:00-07:00,38.56890106201172 kW
2017-12-20T00:00:00-07:00,36.431190490722656 kW
2017-12-21T00:00:00-07:00,34.97465133666992 kW
2017-12-22T00:00:00-07:00,35.04862594604492 kW
2017-12-23T00:00:00-07:00,30.20122718811035 kW
2017-12-24T00:00:00-07:00,29.98221206665039 kW
2017-12-25T00:00:00-07:00,36.05144500732422 kW
2017-12-26T00:00:00-07:00,41.91375732421875 kW
2017-12-27T00:00:00-07:00,50.22842788696289 kW
2017-12-28T00:00:00-07:00,54.32074737548828 kW
2017-12-29T00:00:00-07:00,47.664756774902344 kW
2017-12-30T00:00:00-07:00,56.047271728515625 kW
2017-12-31T00:00:00-07:00,33.52632522583008 kW
