Timestamp,['1fe6f7f0-18409e43 Power Meter 085220 (300186) kW tot']
2017-08-24T00:00:00-06:00,153.3000030517578 kW
2017-08-25T00:00:00-06:00,148.5 kW
2017-08-26T00:00:00-06:00,136.60000610351562 kW
2017-08-27T00:00:00-06:00,123.80000305175781 kW
2017-08-28T00:00:00-06:00,136 kW
2017-08-29T00:00:00-06:00,137.39999389648438 kW
2017-08-30T00:00:00-06:00,103.0999984741211 kW
2017-08-31T00:00:00-06:00,157.3000030517578 kW
2017-09-01T00:00:00-06:00,154.39999389648438 kW
2017-09-02T00:00:00-06:00,82.19999694824219 kW
2017-09-03T00:00:00-06:00,129.8000030517578 kW
2017-09-04T00:00:00-06:00,137 kW
2017-09-05T00:00:00-06:00,151.89999389648438 kW
2017-09-06T00:00:00-06:00,124.0999984741211 kW
2017-09-07T00:00:00-06:00,147.39999389648438 kW
2017-09-08T00:00:00-06:00,154.6999969482422 kW
2017-09-09T00:00:00-06:00,133.39999389648438 kW
2017-09-10T00:00:00-06:00,132.60000610351562 kW
2017-09-11T00:00:00-06:00,143.89999389648438 kW
2017-09-12T00:00:00-06:00,144.1999969482422 kW
2017-09-13T00:00:00-06:00,154.60000610351562 kW
2017-09-14T00:00:00-06:00,149.6999969482422 kW
2017-09-15T00:00:00-06:00,142.89999389648438 kW
2017-09-16T00:00:00-06:00,130.60000610351562 kW
2017-09-17T00:00:00-06:00,129.10000610351562 kW
2017-09-18T00:00:00-06:00,151 kW
2017-09-19T00:00:00-06:00,118.80000305175781 kW
2017-09-20T00:00:00-06:00,146.5 kW
2017-09-21T00:00:00-06:00,134.39999389648438 kW
2017-09-22T00:00:00-06:00,151.10000610351562 kW
2017-09-23T00:00:00-06:00,137.89999389648438 kW
2017-09-24T00:00:00-06:00,136.6999969482422 kW
2017-09-25T00:00:00-06:00,157.10000610351562 kW
2017-09-26T00:00:00-06:00,149.3000030517578 kW
2017-09-27T00:00:00-06:00,145.10000610351562 kW
2017-09-28T00:00:00-06:00,153.8000030517578 kW
2017-09-29T00:00:00-06:00,149.8000030517578 kW
2017-09-30T00:00:00-06:00,121.80000305175781 kW
2017-10-01T00:00:00-06:00,122.5 kW
2017-10-02T00:00:00-06:00,90.30000305175781 kW
2017-10-03T00:00:00-06:00,93.69999694824219 kW
2017-10-04T00:00:00-06:00,67.0999984741211 kW
2017-10-05T00:00:00-06:00,95.69999694824219 kW
2017-10-06T00:00:00-06:00,90.19999694824219 kW
2017-10-07T00:00:00-06:00,70.5 kW
2017-10-08T00:00:00-06:00,71.5 kW
2017-10-09T00:00:00-06:00,84.9000015258789 kW
2017-10-10T00:00:00-06:00,97.69999694824219 kW
2017-10-11T00:00:00-06:00,99.0999984741211 kW
2017-10-12T00:00:00-06:00,89 kW
2017-10-13T00:00:00-06:00,97.5999984741211 kW
2017-10-14T00:00:00-06:00,81 kW
2017-10-15T00:00:00-06:00,77.19999694824219 kW
2017-10-16T00:00:00-06:00,99.30000305175781 kW
2017-10-17T00:00:00-06:00,100.5999984741211 kW
2017-10-18T00:00:00-06:00,102.19999694824219 kW
2017-10-19T00:00:00-06:00,98.4000015258789 kW
2017-10-20T00:00:00-06:00,107 kW
2017-10-21T00:00:00-06:00,84.19999694824219 kW
2017-10-22T00:00:00-06:00,78.30000305175781 kW
2017-10-23T00:00:00-06:00,99.0999984741211 kW
2017-10-24T00:00:00-06:00,98.80000305175781 kW
2017-10-25T00:00:00-06:00,85.4000015258789 kW
2017-10-26T00:00:00-06:00,98.19999694824219 kW
2017-10-27T00:00:00-06:00,93.0999984741211 kW
2017-10-28T00:00:00-06:00,78.5999984741211 kW
2017-10-29T00:00:00-06:00,81.5 kW
2017-10-30T00:00:00-06:00,96 kW
2017-10-31T00:00:00-06:00,97.5999984741211 kW
2017-11-01T00:00:00-06:00,102.4000015258789 kW
2017-11-02T00:00:00-06:00,147.89999389648438 kW
2017-11-03T00:00:00-06:00,97.30000305175781 kW
2017-11-04T00:00:00-06:00,78.9000015258789 kW
2017-11-05T00:00:00-06:00,77.0999984741211 kW
2017-11-06T00:00:00-07:00,99.9000015258789 kW
2017-11-07T00:00:00-07:00,104.5999984741211 kW
2017-11-08T00:00:00-07:00,98.4000015258789 kW
2017-11-09T00:00:00-07:00,98 kW
2017-11-10T00:00:00-07:00,99.5999984741211 kW
