Timestamp,['1ef467c9-78558dc5 0070-QUINNEY COLLEGE OF LAW Power Meter E-1 313200 Current A']
2017-08-23T00:00:00-06:00,122.31574400266011 A
2017-08-24T00:00:00-06:00,140.28918782869974 A
2017-08-25T00:00:00-06:00,125.0529723962148 A
2017-08-26T00:00:00-06:00,87.34129174550374 A
2017-08-27T00:00:00-06:00,85.16849565505981 A
2017-08-28T00:00:00-06:00,125.26718322090481 A
2017-08-29T00:00:00-06:00,121.19788902036605 A
2017-08-30T00:00:00-06:00,128.26157188415527 A
2017-08-31T00:00:00-06:00,122.86396463712056 A
2017-09-01T00:00:00-06:00,118.2999370098114 A
2017-09-02T00:00:00-06:00,86.90251378218333 A
2017-09-03T00:00:00-06:00,85.37114338121916 A
2017-09-04T00:00:00-06:00,89.07514750957489 A
2017-09-05T00:00:00-06:00,124.93226353327434 A
2017-09-06T00:00:00-06:00,125.99264065424602 A
2017-09-07T00:00:00-06:00,121.97580925623576 A
2017-09-08T00:00:00-06:00,112.99301589162727 A
2017-09-09T00:00:00-06:00,85.9664599498113 A
2017-09-10T00:00:00-06:00,86.00422517458598 A
2017-09-11T00:00:00-06:00,113.69232201576233 A
2017-09-12T00:00:00-06:00,110.48159714539845 A
2017-09-13T00:00:00-06:00,115.8595317999522 A
2017-09-14T00:00:00-06:00,126.49942429860432 A
2017-09-15T00:00:00-06:00,117.98605712254842 A
2017-09-16T00:00:00-06:00,98.81179714202881 A
2017-09-17T00:00:00-06:00,88.74151368935902 A
2017-09-18T00:00:00-06:00,117.95991945266724 A
2017-09-19T00:00:00-06:00,128.46835001309714 A
2017-09-20T00:00:00-06:00,131.91384307543436 A
2017-09-21T00:00:00-06:00,130.66895492871603 A
2017-09-22T00:00:00-06:00,133.2994422117869 A
2017-09-23T00:00:00-06:00,100.15805554389954 A
2017-09-24T00:00:00-06:00,92.72691333293915 A
2017-09-25T00:00:00-06:00,126.15708422660828 A
2017-09-26T00:00:00-06:00,131.64079928398132 A
2017-09-27T00:00:00-06:00,128.20805795987448 A
2017-09-28T00:00:00-06:00,124.31297874450684 A
2017-09-29T00:00:00-06:00,128.835346698761 A
2017-09-30T00:00:00-06:00,89.4582136074702 A
2017-10-01T00:00:00-06:00,98.71708194414775 A
2017-10-02T00:00:00-06:00,134.12354119618735 A
2017-10-03T00:00:00-06:00,134.34019509951273 A
2017-10-04T00:00:00-06:00,127.01567896207173 A
2017-10-05T00:00:00-06:00,129.89546449979147 A
2017-10-06T00:00:00-06:00,119.35702610015869 A
2017-10-07T00:00:00-06:00,101.00059839089711 A
2017-10-08T00:00:00-06:00,98.09771943092346 A
2017-10-09T00:00:00-06:00,117.96349891026814 A
2017-10-10T00:00:00-06:00,131.69260533650717 A
2017-10-11T00:00:00-06:00,121.14841532707214 A
2017-10-12T00:00:00-06:00,123.40116961797078 A
2017-10-13T00:00:00-06:00,121.03431129455566 A
2017-10-14T00:00:00-06:00,98.43749745686848 A
2017-10-15T00:00:00-06:00,107.38072307904561 A
2017-10-16T00:00:00-06:00,134.8526680469513 A
2017-10-17T00:00:00-06:00,126.91231902440389 A
2017-10-18T00:00:00-06:00,132.57053923606873 A
