Timestamp,['1ce63d72-ac8b434c 0028-MARRIOTT CENTER FOR DANCE Power Meter Current B']
2017-10-09T00:00:00-06:00,223.02482000986734 A
2017-10-10T00:00:00-06:00,240.01407734553018 A
2017-10-11T00:00:00-06:00,210.89431428909302 A
2017-10-12T00:00:00-06:00,213.77434651056925 A
2017-10-13T00:00:00-06:00,230.2226734161377 A
2017-10-14T00:00:00-06:00,227.96307373046875 A
2017-10-15T00:00:00-06:00,194.85593843460083 A
2017-10-16T00:00:00-06:00,269.4153784116109 A
2017-10-17T00:00:00-06:00,275.5047086079915 A
2017-10-18T00:00:00-06:00,285.4150999387105 A
2017-10-19T00:00:00-06:00,277.11516793568927 A
2017-10-20T00:00:00-06:00,273.46298011144 A
2017-10-21T00:00:00-06:00,255.8591316541036 A
2017-10-22T00:00:00-06:00,219.43874343236288 A
2017-10-23T00:00:00-06:00,274.92481597264606 A
2017-10-24T00:00:00-06:00,282.3722842534383 A
2017-10-25T00:00:00-06:00,282.102511882782 A
2017-10-26T00:00:00-06:00,283.1159545580546 A
2017-10-27T00:00:00-06:00,274.1997736295064 A
2017-10-28T00:00:00-06:00,232.03183794021606 A
2017-10-29T00:00:00-06:00,218.85685793558756 A
2017-10-30T00:00:00-06:00,274.1577949523926 A
2017-10-31T00:00:00-06:00,216.27835671106973 A
2017-11-01T00:00:00-06:00,283.9377276102702 A
2017-11-02T00:00:00-06:00,275.3538037935893 A
2017-11-03T00:00:00-06:00,272.39526255925495 A
2017-11-04T00:00:00-06:00,270.95808188120526 A
2017-11-05T00:00:00-06:00,236.9970053100586 A
2017-11-06T00:00:00-07:00,285.76964632670087 A
2017-11-07T00:00:00-07:00,291.4037624994914 A
2017-11-08T00:00:00-07:00,281.9876136779785 A
2017-11-09T00:00:00-07:00,284.30551862716675 A
2017-11-10T00:00:00-07:00,292.3998433748881 A
2017-11-11T00:00:00-07:00,263.84091488520306 A
2017-11-12T00:00:00-07:00,220.9303650856018 A
2017-11-13T00:00:00-07:00,270.4949261347453 A
2017-11-14T00:00:00-07:00,276.7515754699707 A
2017-11-15T00:00:00-07:00,283.92197942733765 A
2017-11-16T00:00:00-07:00,283.9660857518514 A
2017-11-17T00:00:00-07:00,276.2386302947998 A
2017-11-18T00:00:00-07:00,261.9422909418742 A
2017-11-19T00:00:00-07:00,208.89098580678305 A
2017-11-20T00:00:00-07:00,275.5804173151652 A
2017-11-21T00:00:00-07:00,275.4230939547221 A
2017-11-22T00:00:00-07:00,230.42875003814697 A
2017-11-23T00:00:00-07:00,186.8380068143209 A
2017-11-24T00:00:00-07:00,193.49816862742105 A
2017-11-25T00:00:00-07:00,185.04472335179648 A
2017-11-26T00:00:00-07:00,190.65457979838052 A
2017-11-27T00:00:00-07:00,260.9536380767822 A
2017-11-28T00:00:00-07:00,272.6622513135274 A
2017-11-29T00:00:00-07:00,265.463280359904 A
2017-11-30T00:00:00-07:00,266.30155928929645 A
2017-12-01T00:00:00-07:00,262.54083998998004 A
2017-12-02T00:00:00-07:00,238.6973589261373 A
2017-12-03T00:00:00-07:00,213.5638256072998 A
2017-12-04T00:00:00-07:00,265.96426788965863 A
2017-12-05T00:00:00-07:00,266.96934938430786 A
2017-12-06T00:00:00-07:00,269.02899074554443 A
2017-12-07T00:00:00-07:00,262.1871983210246 A
2017-12-08T00:00:00-07:00,238.6874473889669 A
2017-12-09T00:00:00-07:00,198.84812227884927 A
2017-12-10T00:00:00-07:00,196.69454924265543 A
2017-12-11T00:00:00-07:00,209.14301427205405 A
2017-12-12T00:00:00-07:00,241.02364222208658 A
2017-12-13T00:00:00-07:00,239.66673771540323 A
2017-12-14T00:00:00-07:00,244.53078079223633 A
2017-12-15T00:00:00-07:00,220.30235894521078 A
2017-12-16T00:00:00-07:00,251.5470315615336 A
2017-12-17T00:00:00-07:00,166.96495294570923 A
2017-12-18T00:00:00-07:00,185.6967565515539 A
2017-12-19T00:00:00-07:00,182.93738714853922 A
2017-12-20T00:00:00-07:00,186.89289045333862 A
2017-12-21T00:00:00-07:00,188.40739727020264 A
2017-12-22T00:00:00-07:00,173.64335934321085 A
2017-12-23T00:00:00-07:00,171.6621740659078 A
2017-12-24T00:00:00-07:00,167.83711528778076 A
2017-12-25T00:00:00-07:00,167.58633391062418 A
2017-12-26T00:00:00-07:00,171.18988196055093 A
2017-12-27T00:00:00-07:00,172.4265602429708 A
2017-12-28T00:00:00-07:00,174.89113887151083 A
2017-12-29T00:00:00-07:00,180.19301478068033 A
2017-12-30T00:00:00-07:00,183.18665965398154 A
2017-12-31T00:00:00-07:00,178.47458442052206 A
