Timestamp,['1da98341-11a87245 0032-RICE-ECCLES STADIUM POWER METER (Main Stadium) 300075 Volts B-N']
2017-08-23T00:00:00-06:00,282.9034010569255 V
2017-08-24T00:00:00-06:00,282.7097924550374 V
2017-08-25T00:00:00-06:00,282.6966921488444 V
2017-08-26T00:00:00-06:00,282.424521446228 V
2017-08-27T00:00:00-06:00,282.5753043492635 V
2017-08-28T00:00:00-06:00,282.8116911087913 V
2017-08-29T00:00:00-06:00,282.79221801757814 V
2017-08-30T00:00:00-06:00,282.59393246968585 V
2017-08-31T00:00:00-06:00,282.0698839823405 V
2017-09-01T00:00:00-06:00,282.5304520924886 V
2017-09-02T00:00:00-06:00,282.54298337300617 V
2017-09-03T00:00:00-06:00,282.76314703623456 V
2017-09-04T00:00:00-06:00,282.4334586461385 V
2017-09-05T00:00:00-06:00,282.46528307596844 V
2017-09-06T00:00:00-06:00,282.5863974889119 V
2017-09-07T00:00:00-06:00,282.56790288289386 V
2017-09-08T00:00:00-06:00,282.7963996555494 V
2017-09-09T00:00:00-06:00,282.67701562245685 V
2017-09-10T00:00:00-06:00,282.7404193878174 V
2017-09-11T00:00:00-06:00,282.4729223251343 V
2017-09-12T00:00:00-06:00,282.7838411331177 V
2017-09-13T00:00:00-06:00,282.5636059443156 V
2017-09-14T00:00:00-06:00,282.711919148763 V
2017-09-15T00:00:00-06:00,282.7451457977295 V
2017-09-16T00:00:00-06:00,282.63086700439453 V
2017-09-17T00:00:00-06:00,282.32981872558594 V
2017-09-18T00:00:00-06:00,282.89044189453125 V
2017-09-19T00:00:00-06:00,282.5812994639079 V
2017-09-20T00:00:00-06:00,282.8581762313843 V
2017-09-21T00:00:00-06:00,283.16547807057697 V
2017-09-22T00:00:00-06:00,282.9580160776774 V
2017-09-23T00:00:00-06:00,283.06825892130536 V
2017-09-24T00:00:00-06:00,282.72196737925213 V
2017-09-25T00:00:00-06:00,283.2866612484581 V
2017-09-26T00:00:00-06:00,283.0429340998332 V
2017-09-27T00:00:00-06:00,283.17000738779706 V
2017-09-28T00:00:00-06:00,282.76155281066895 V
2017-09-29T00:00:00-06:00,282.83010896046954 V
2017-09-30T00:00:00-06:00,283.04488945007324 V
2017-10-01T00:00:00-06:00,282.7328411738078 V
2017-10-02T00:00:00-06:00,283.03140608469647 V
2017-10-03T00:00:00-06:00,283.27075481414795 V
2017-10-04T00:00:00-06:00,283.0474211374919 V
2017-10-05T00:00:00-06:00,283.3242362340291 V
2017-10-06T00:00:00-06:00,283.1546983718872 V
2017-10-07T00:00:00-06:00,282.3938503265381 V
2017-10-08T00:00:00-06:00,282.9430793126424 V
2017-10-09T00:00:00-06:00,282.930869102478 V
2017-10-10T00:00:00-06:00,283.27530389083057 V
2017-10-11T00:00:00-06:00,282.792333020662 V
2017-10-12T00:00:00-06:00,283.3445466359456 V
2017-10-13T00:00:00-06:00,283.25462839226975 V
2017-10-14T00:00:00-06:00,283.1475998560588 V
2017-10-15T00:00:00-06:00,283.02712059020996 V
2017-10-16T00:00:00-06:00,283.2294445037842 V
2017-10-17T00:00:00-06:00,283.0449409484863 V
2017-10-18T00:00:00-06:00,282.90823554992676 V
2017-10-19T00:00:00-06:00,283.1049852371216 V
2017-10-20T00:00:00-06:00,283.04985586802167 V
2017-10-21T00:00:00-06:00,282.27908356984454 V
2017-10-22T00:00:00-06:00,283.1103038787842 V
2017-10-23T00:00:00-06:00,282.94553502400714 V
2017-10-24T00:00:00-06:00,282.9600009918213 V
2017-10-25T00:00:00-06:00,282.9940020243327 V
2017-10-26T00:00:00-06:00,283.3060830434163 V
2017-10-27T00:00:00-06:00,283.3071168263753 V
2017-10-28T00:00:00-06:00,282.8067356745402 V
2017-10-29T00:00:00-06:00,283.1382586161296 V
2017-10-30T00:00:00-06:00,283.3219010035197 V
2017-10-31T00:00:00-06:00,283.2223834991455 V
2017-11-01T00:00:00-06:00,283.1518716812134 V
2017-11-02T00:00:00-06:00,283.11904271443683 V
2017-11-03T00:00:00-06:00,282.4518481839088 V
2017-11-04T00:00:00-06:00,283.07709471384686 V
2017-11-05T00:00:00-06:00,282.8374865722656 V
2017-11-06T00:00:00-07:00,282.9146304481908 V
