Timestamp,"['1ef46860-c81c5da5 0070-QUINNEY COLLEGE OF LAW Power Meter 316931 Watts, 3-Ph total']"
2017-10-30T00:00:00-06:00,49.16759490966797 kW
2017-10-31T00:00:00-06:00,44.85582733154297 kW
2017-11-01T00:00:00-06:00,55.10593032836914 kW
2017-11-02T00:00:00-06:00,51.06066131591797 kW
2017-11-03T00:00:00-06:00,52.27360534667969 kW
2017-11-04T00:00:00-06:00,44.83233642578125 kW
2017-11-05T00:00:00-06:00,39.96261215209961 kW
2017-11-06T00:00:00-07:00,57.31743240356445 kW
2017-11-07T00:00:00-07:00,56.46002197265625 kW
2017-11-08T00:00:00-07:00,59.41767120361328 kW
2017-11-09T00:00:00-07:00,57.29255676269531 kW
2017-11-10T00:00:00-07:00,50.53932189941406 kW
2017-11-11T00:00:00-07:00,44.58003616333008 kW
2017-11-12T00:00:00-07:00,39.908424377441406 kW
2017-11-13T00:00:00-07:00,58.16840744018555 kW
2017-11-14T00:00:00-07:00,55.617828369140625 kW
2017-11-15T00:00:00-07:00,57.37059020996094 kW
2017-11-16T00:00:00-07:00,62.47806167602539 kW
2017-11-17T00:00:00-07:00,61.22465896606445 kW
2017-11-18T00:00:00-07:00,44.91606140136719 kW
2017-11-19T00:00:00-07:00,34.625465393066406 kW
2017-11-20T00:00:00-07:00,57.933834075927734 kW
2017-11-21T00:00:00-07:00,53.20082092285156 kW
2017-11-22T00:00:00-07:00,44.22806167602539 kW
2017-11-23T00:00:00-07:00,37.808998107910156 kW
2017-11-24T00:00:00-07:00,40.41107177734375 kW
2017-11-25T00:00:00-07:00,36.044647216796875 kW
2017-11-26T00:00:00-07:00,33.309043884277344 kW
2017-11-27T00:00:00-07:00,60.37318801879883 kW
2017-11-28T00:00:00-07:00,56.30469512939453 kW
2017-11-29T00:00:00-07:00,53.172454833984375 kW
2017-11-30T00:00:00-07:00,56.378623962402344 kW
2017-12-01T00:00:00-07:00,57.357601165771484 kW
2017-12-02T00:00:00-07:00,47.43478012084961 kW
2017-12-03T00:00:00-07:00,49.63570022583008 kW
2017-12-04T00:00:00-07:00,58.71760940551758 kW
2017-12-05T00:00:00-07:00,59.58597946166992 kW
2017-12-06T00:00:00-07:00,53.66523742675781 kW
2017-12-07T00:00:00-07:00,54.3062629699707 kW
2017-12-08T00:00:00-07:00,55.21728515625 kW
2017-12-09T00:00:00-07:00,52.56348419189453 kW
2017-12-10T00:00:00-07:00,52.99813461303711 kW
2017-12-11T00:00:00-07:00,55.47202682495117 kW
2017-12-12T00:00:00-07:00,54.76834487915039 kW
2017-12-13T00:00:00-07:00,62.7960090637207 kW
2017-12-14T00:00:00-07:00,54.79292678833008 kW
2017-12-15T00:00:00-07:00,58.46812438964844 kW
2017-12-16T00:00:00-07:00,43.73441696166992 kW
2017-12-17T00:00:00-07:00,45.8109130859375 kW
2017-12-18T00:00:00-07:00,49.697166442871094 kW
2017-12-19T00:00:00-07:00,47.53199768066406 kW
2017-12-20T00:00:00-07:00,50.04795837402344 kW
2017-12-21T00:00:00-07:00,44.99205780029297 kW
2017-12-22T00:00:00-07:00,43.54595184326172 kW
2017-12-23T00:00:00-07:00,39.54372024536133 kW
2017-12-24T00:00:00-07:00,39.03870391845703 kW
2017-12-25T00:00:00-07:00,31.732892990112305 kW
2017-12-26T00:00:00-07:00,41.743568420410156 kW
2017-12-27T00:00:00-07:00,42.83803939819336 kW
2017-12-28T00:00:00-07:00,44.225006103515625 kW
2017-12-29T00:00:00-07:00,40.4340934753418 kW
2017-12-30T00:00:00-07:00,38.902557373046875 kW
2017-12-31T00:00:00-07:00,38.09172439575195 kW
