Timestamp,['1cd68681-b28d97ad Power Meter (4160V) 316611 Voltage A-B']
2017-08-26T00:00:00-06:00,4156.666666666667 V
2017-08-27T00:00:00-06:00,4146.4 V
2017-08-28T00:00:00-06:00,4154.3 V
2017-08-29T00:00:00-06:00,4141.454545454545 V
2017-08-30T00:00:00-06:00,4148.714285714285 V
2017-08-31T00:00:00-06:00,4154.428571428572 V
2017-09-01T00:00:00-06:00,4171.166666666667 V
2017-09-02T00:00:00-06:00,4166.75 V
2017-09-03T00:00:00-06:00,4162.454545454545 V
2017-09-04T00:00:00-06:00,4153.6 V
2017-09-05T00:00:00-06:00,4140.0952380952385 V
2017-09-06T00:00:00-06:00,4155.444444444444 V
2017-09-07T00:00:00-06:00,4159.333333333333 V
2017-09-08T00:00:00-06:00,4173.625 V
2017-09-09T00:00:00-06:00,4176.777777777777 V
2017-09-10T00:00:00-06:00,4191.428571428572 V
2017-09-11T00:00:00-06:00,4180.375 V
2017-09-12T00:00:00-06:00,4169.2 V
2017-09-13T00:00:00-06:00,4160.588235294118 V
2017-09-14T00:00:00-06:00,4180.2 V
2017-09-15T00:00:00-06:00,4193.166666666667 V
2017-09-16T00:00:00-06:00,4202.818181818182 V
2017-09-17T00:00:00-06:00,4183.636363636364 V
2017-09-18T00:00:00-06:00,4178.142857142857 V
2017-09-19T00:00:00-06:00,4185.5 V
2017-09-20T00:00:00-06:00,4199.285714285715 V
2017-09-21T00:00:00-06:00,4209 V
2017-09-22T00:00:00-06:00,4229.1 V
2017-09-23T00:00:00-06:00,4220.666666666667 V
2017-09-24T00:00:00-06:00,4218.833333333333 V
2017-09-25T00:00:00-06:00,4208.642857142857 V
2017-09-26T00:00:00-06:00,4203.4 V
2017-09-27T00:00:00-06:00,4170 V
2017-09-28T00:00:00-06:00,4198.8 V
2017-09-29T00:00:00-06:00,4191.272727272727 V
2017-09-30T00:00:00-06:00,4215.875 V
2017-10-01T00:00:00-06:00,4202.666666666667 V
