Timestamp,['1cac272a-04cde8b7 0077-CHRISTENSEN CNTR Power Meter (300172) KWH Received']
2017-05-19T00:00:00-06:00,1584.25 kWh
2017-05-20T00:00:00-06:00,1441.4375 kWh
2017-05-21T00:00:00-06:00,1480.875 kWh
2017-05-22T00:00:00-06:00,1912.75 kWh
2017-05-23T00:00:00-06:00,1960.1875 kWh
2017-05-24T00:00:00-06:00,1897.484375 kWh
2017-05-25T00:00:00-06:00,1826.578125 kWh
2017-05-26T00:00:00-06:00,1810.078125 kWh
2017-05-27T00:00:00-06:00,1721.25 kWh
2017-05-28T00:00:00-06:00,1522 kWh
2017-05-29T00:00:00-06:00,1551.046875 kWh
2017-05-30T00:00:00-06:00,1923.3125 kWh
2017-05-31T00:00:00-06:00,1865.75 kWh
2017-06-01T00:00:00-06:00,1849.921875 kWh
2017-06-02T00:00:00-06:00,1668.40625 kWh
2017-06-03T00:00:00-06:00,1545.734375 kWh
2017-06-04T00:00:00-06:00,1555 kWh
2017-06-05T00:00:00-06:00,1862.890625 kWh
2017-06-06T00:00:00-06:00,1944.984375 kWh
2017-06-07T00:00:00-06:00,1922.40625 kWh
2017-06-08T00:00:00-06:00,1929.4375 kWh
2017-06-09T00:00:00-06:00,1982.609375 kWh
2017-06-10T00:00:00-06:00,1876.921875 kWh
2017-06-11T00:00:00-06:00,1648.8125 kWh
2017-06-12T00:00:00-06:00,1938.140625 kWh
2017-06-13T00:00:00-06:00,1962.328125 kWh
2017-06-14T00:00:00-06:00,1951.75 kWh
2017-06-15T00:00:00-06:00,2003.765625 kWh
2017-06-16T00:00:00-06:00,1885.484375 kWh
2017-06-17T00:00:00-06:00,1815.640625 kWh
2017-06-18T00:00:00-06:00,1774.5 kWh
2017-06-19T00:00:00-06:00,1979.8125 kWh
2017-06-20T00:00:00-06:00,2018.984375 kWh
2017-06-21T00:00:00-06:00,2027.3125 kWh
2017-06-22T00:00:00-06:00,2004.25 kWh
2017-06-23T00:00:00-06:00,1905.6875 kWh
2017-06-24T00:00:00-06:00,1630.953125 kWh
2017-06-25T00:00:00-06:00,1545.078125 kWh
2017-06-26T00:00:00-06:00,1961.640625 kWh
2017-06-27T00:00:00-06:00,1999.4375 kWh
2017-06-28T00:00:00-06:00,1952.390625 kWh
2017-06-29T00:00:00-06:00,2008.859375 kWh
2017-06-30T00:00:00-06:00,1822.140625 kWh
2017-07-01T00:00:00-06:00,1769.015625 kWh
2017-07-02T00:00:00-06:00,1806.09375 kWh
2017-07-03T00:00:00-06:00,1896.84375 kWh
2017-07-04T00:00:00-06:00,1699.328125 kWh
2017-07-05T00:00:00-06:00,1918.0625 kWh
2017-07-06T00:00:00-06:00,1978 kWh
2017-07-07T00:00:00-06:00,1860.609375 kWh
2017-07-08T00:00:00-06:00,1861.21875 kWh
2017-07-09T00:00:00-06:00,1692.078125 kWh
2017-07-10T00:00:00-06:00,1835.953125 kWh
2017-07-11T00:00:00-06:00,2022.96875 kWh
2017-07-12T00:00:00-06:00,1941.078125 kWh
2017-07-13T00:00:00-06:00,2018.75 kWh
2017-07-14T00:00:00-06:00,1830.8125 kWh
2017-07-15T00:00:00-06:00,1781.125 kWh
2017-07-16T00:00:00-06:00,1777.015625 kWh
2017-07-17T00:00:00-06:00,1984.390625 kWh
2017-07-18T00:00:00-06:00,2100.46875 kWh
2017-07-19T00:00:00-06:00,2077.296875 kWh
2017-07-20T00:00:00-06:00,2075.828125 kWh
2017-07-21T00:00:00-06:00,1861.34375 kWh
2017-07-22T00:00:00-06:00,1703.53125 kWh
2017-07-23T00:00:00-06:00,1707.96875 kWh
2017-07-24T00:00:00-06:00,1742 kWh
2017-07-25T00:00:00-06:00,2001.96875 kWh
2017-07-26T00:00:00-06:00,2078.34375 kWh
2017-07-27T00:00:00-06:00,2011.5625 kWh
2017-07-28T00:00:00-06:00,1755.78125 kWh
2017-07-29T00:00:00-06:00,1491.1875 kWh
2017-07-30T00:00:00-06:00,1507.90625 kWh
2017-07-31T00:00:00-06:00,1906.84375 kWh
2017-08-01T00:00:00-06:00,2080.03125 kWh
2017-08-02T00:00:00-06:00,2014.4375 kWh
2017-08-03T00:00:00-06:00,1928.71875 kWh
2017-08-04T00:00:00-06:00,2015.71875 kWh
2017-08-05T00:00:00-06:00,1802.125 kWh
2017-08-06T00:00:00-06:00,1701.1875 kWh
2017-08-07T00:00:00-06:00,1957.96875 kWh
2017-08-08T00:00:00-06:00,1989.25 kWh
2017-08-09T00:00:00-06:00,1917.28125 kWh
2017-08-10T00:00:00-06:00,1842.15625 kWh
2017-08-11T00:00:00-06:00,1911.125 kWh
2017-08-12T00:00:00-06:00,1836.71875 kWh
2017-08-13T00:00:00-06:00,1840.625 kWh
2017-08-14T00:00:00-06:00,1922.75 kWh
2017-08-15T00:00:00-06:00,1852.125 kWh
2017-08-16T00:00:00-06:00,2057.28125 kWh
2017-08-17T00:00:00-06:00,1917 kWh
2017-08-18T00:00:00-06:00,2024.25 kWh
2017-08-19T00:00:00-06:00,2008.625 kWh
2017-08-20T00:00:00-06:00,1956.46875 kWh
2017-08-21T00:00:00-06:00,2099.21875 kWh
2017-08-22T00:00:00-06:00,2402.84375 kWh
2017-08-23T00:00:00-06:00,2423.78125 kWh
2017-08-24T00:00:00-06:00,2138.25 kWh
2017-08-25T00:00:00-06:00,1936.8125 kWh
2017-08-26T00:00:00-06:00,1806.875 kWh
2017-08-27T00:00:00-06:00,1751.84375 kWh
2017-08-28T00:00:00-06:00,2049.6875 kWh
2017-08-29T00:00:00-06:00,2127.375 kWh
2017-08-30T00:00:00-06:00,2215.96875 kWh
2017-08-31T00:00:00-06:00,2156.34375 kWh
2017-09-01T00:00:00-06:00,2069.53125 kWh
2017-09-02T00:00:00-06:00,2020.78125 kWh
2017-09-03T00:00:00-06:00,1870.90625 kWh
2017-09-04T00:00:00-06:00,1824.9375 kWh
2017-09-05T00:00:00-06:00,2215.375 kWh
2017-09-06T00:00:00-06:00,2117.625 kWh
2017-09-07T00:00:00-06:00,2170.71875 kWh
2017-09-08T00:00:00-06:00,1940.28125 kWh
2017-09-09T00:00:00-06:00,1747.90625 kWh
2017-09-10T00:00:00-06:00,1682.4375 kWh
