Timestamp,['1ed62988-f5791a7a 0012-SUTTON BLDG POWER METER 208V (316602) Current A']
2017-10-30T00:00:00-06:00,148.59375 A
2017-10-31T00:00:00-06:00,147.92708333333334 A
2017-11-01T00:00:00-06:00,161.71875 A
2017-11-02T00:00:00-06:00,157.27083333333334 A
2017-11-03T00:00:00-06:00,150.05208333333334 A
2017-11-04T00:00:00-06:00,134.13541666666666 A
2017-11-05T00:00:00-06:00,136.63 A
2017-11-06T00:00:00-07:00,159.72916666666666 A
2017-11-07T00:00:00-07:00,151.94791666666666 A
2017-11-08T00:00:00-07:00,155.17894736842106 A
2017-11-09T00:00:00-07:00,158.25 A
2017-11-10T00:00:00-07:00,157.46875 A
2017-11-11T00:00:00-07:00,141.71875 A
2017-11-12T00:00:00-07:00,140.01041666666666 A
2017-11-13T00:00:00-07:00,159.1875 A
2017-11-14T00:00:00-07:00,160.28125 A
2017-11-15T00:00:00-07:00,167.32291666666666 A
2017-11-16T00:00:00-07:00,163.57291666666666 A
2017-11-17T00:00:00-07:00,152.53125 A
2017-11-18T00:00:00-07:00,131.22916666666666 A
2017-11-19T00:00:00-07:00,132.13684210526316 A
2017-11-20T00:00:00-07:00,145.76041666666666 A
2017-11-21T00:00:00-07:00,154.14583333333334 A
2017-11-22T00:00:00-07:00,148.375 A
2017-11-23T00:00:00-07:00,130.69791666666666 A
2017-11-24T00:00:00-07:00,108.67708333333333 A
2017-11-25T00:00:00-07:00,95.77083333333333 A
2017-11-26T00:00:00-07:00,94.91666666666667 A
2017-11-27T00:00:00-07:00,138.94791666666666 A
2017-11-28T00:00:00-07:00,150.39583333333334 A
2017-11-29T00:00:00-07:00,147.53125 A
2017-11-30T00:00:00-07:00,143.05208333333334 A
2017-12-01T00:00:00-07:00,140.11458333333334 A
2017-12-02T00:00:00-07:00,128.69791666666666 A
2017-12-03T00:00:00-07:00,126.375 A
2017-12-04T00:00:00-07:00,147.28125 A
2017-12-05T00:00:00-07:00,149.16666666666666 A
2017-12-06T00:00:00-07:00,151.21875 A
2017-12-07T00:00:00-07:00,151.375 A
2017-12-08T00:00:00-07:00,143.4375 A
2017-12-09T00:00:00-07:00,132.73958333333334 A
2017-12-10T00:00:00-07:00,132.40625 A
2017-12-11T00:00:00-07:00,144.5625 A
2017-12-12T00:00:00-07:00,144.1578947368421 A
2017-12-13T00:00:00-07:00,147.78125 A
2017-12-14T00:00:00-07:00,145.6421052631579 A
2017-12-15T00:00:00-07:00,137.10416666666666 A
2017-12-16T00:00:00-07:00,123.53125 A
2017-12-17T00:00:00-07:00,123.20833333333333 A
2017-12-18T00:00:00-07:00,136.16129032258064 A
2017-12-19T00:00:00-07:00,145.15625 A
2017-12-20T00:00:00-07:00,148.04166666666666 A
2017-12-21T00:00:00-07:00,142.95833333333334 A
2017-12-22T00:00:00-07:00,136.60416666666666 A
2017-12-23T00:00:00-07:00,123.27083333333333 A
2017-12-24T00:00:00-07:00,102.23958333333333 A
2017-12-25T00:00:00-07:00,92.40625 A
2017-12-26T00:00:00-07:00,94.0625 A
2017-12-27T00:00:00-07:00,117.76041666666667 A
2017-12-28T00:00:00-07:00,128.67708333333334 A
2017-12-29T00:00:00-07:00,125.51041666666667 A
2017-12-30T00:00:00-07:00,122.64583333333333 A
2017-12-31T00:00:00-07:00,122.25 A
