Timestamp,['1cc972b2-eecd14d9 0051-STERLING SILL CNTR Power Meter Volts CA']
2017-07-08T00:00:00-06:00,210.91979185740152 V
2017-07-09T00:00:00-06:00,210.61979166666666 V
2017-07-10T00:00:00-06:00,210.64375003178915 V
2017-07-11T00:00:00-06:00,210.674999554952 V
2017-07-12T00:00:00-06:00,210.70729080835977 V
2017-07-13T00:00:00-06:00,210.671875 V
2017-07-14T00:00:00-06:00,210.57812547683716 V
2017-07-15T00:00:00-06:00,210.61354112625122 V
2017-07-16T00:00:00-06:00,210.5885418256124 V
2017-07-17T00:00:00-06:00,210.66458209355673 V
2017-07-18T00:00:00-06:00,210.85000006357828 V
2017-07-19T00:00:00-06:00,210.6072915395101 V
2017-07-20T00:00:00-06:00,210.59479141235352 V
2017-07-21T00:00:00-06:00,210.73958333333334 V
2017-07-22T00:00:00-06:00,210.68958314259848 V
2017-07-23T00:00:00-06:00,210.78645753860474 V
2017-07-24T00:00:00-06:00,210.75937541325888 V
2017-07-25T00:00:00-06:00,210.72291707992554 V
2017-07-26T00:00:00-06:00,210.59374968210855 V
2017-07-27T00:00:00-06:00,210.74374977747598 V
2017-07-28T00:00:00-06:00,210.70416641235352 V
2017-07-29T00:00:00-06:00,210.6739583015442 V
2017-07-30T00:00:00-06:00,210.75625022252402 V
2017-07-31T00:00:00-06:00,210.6979168256124 V
2017-08-01T00:00:00-06:00,210.71979188919067 V
2017-08-02T00:00:00-06:00,210.59791707992554 V
2017-08-03T00:00:00-06:00,210.9177082379659 V
2017-08-04T00:00:00-06:00,210.7087913764702 V
2017-08-05T00:00:00-06:00,210.83333349227905 V
2017-08-06T00:00:00-06:00,210.9395833015442 V
2017-08-07T00:00:00-06:00,210.76979160308838 V
2017-08-08T00:00:00-06:00,210.6270840962728 V
2017-08-09T00:00:00-06:00,210.73854239781699 V
2017-08-10T00:00:00-06:00,210.81702098440616 V
2017-08-11T00:00:00-06:00,210.8281251589457 V
2017-08-12T00:00:00-06:00,210.93020915985107 V
2017-08-13T00:00:00-06:00,210.8250002861023 V
2017-08-14T00:00:00-06:00,210.81145826975504 V
2017-08-15T00:00:00-06:00,210.76666641235352 V
2017-08-16T00:00:00-06:00,210.81145858764648 V
2017-08-17T00:00:00-06:00,210.84479157129923 V
2017-08-18T00:00:00-06:00,210.8458333015442 V
2017-08-19T00:00:00-06:00,210.7864581743876 V
2017-08-20T00:00:00-06:00,210.86979166666666 V
2017-08-21T00:00:00-06:00,210.8260416984558 V
2017-08-22T00:00:00-06:00,210.8385410308838 V
2017-08-23T00:00:00-06:00,210.8322917620341 V
2017-08-24T00:00:00-06:00,210.8677078882853 V
2017-08-25T00:00:00-06:00,210.68645858764648 V
2017-08-26T00:00:00-06:00,210.73854144414267 V
2017-08-27T00:00:00-06:00,210.68020900090536 V
2017-08-28T00:00:00-06:00,210.89462378717238 V
2017-08-29T00:00:00-06:00,210.85376321115803 V
2017-08-30T00:00:00-06:00,210.71562512715658 V
2017-08-31T00:00:00-06:00,210.72291660308838 V
2017-09-01T00:00:00-06:00,210.87083355585733 V
2017-09-02T00:00:00-06:00,210.7791665395101 V
2017-09-03T00:00:00-06:00,210.9343760808309 V
2017-09-04T00:00:00-06:00,210.63333241144815 V
2017-09-05T00:00:00-06:00,210.82083368301392 V
2017-09-06T00:00:00-06:00,210.73958237965903 V
2017-09-07T00:00:00-06:00,210.59166638056436 V
2017-09-08T00:00:00-06:00,210.84687423706055 V
2017-09-09T00:00:00-06:00,210.89583412806192 V
2017-09-10T00:00:00-06:00,210.84999990463257 V
2017-09-11T00:00:00-06:00,210.67395814259848 V
2017-09-12T00:00:00-06:00,210.7697917620341 V
2017-09-13T00:00:00-06:00,210.66666571299234 V
2017-09-14T00:00:00-06:00,210.9031244913737 V
2017-09-15T00:00:00-06:00,211.01875034968057 V
2017-09-16T00:00:00-06:00,211.14895741144815 V
2017-09-17T00:00:00-06:00,210.90625047683716 V
2017-09-18T00:00:00-06:00,210.85833326975504 V
