Timestamp,"['1cf8d6ec-8c4d8433 0064-MERRILL ENGINEERING BLDG Power Meter (300153, 064-801) Current A']"
2017-09-12T00:00:00-06:00,15.61181640625 A
2017-09-13T00:00:00-06:00,16.198323567708332 A
2017-09-14T00:00:00-06:00,14.9661865234375 A
2017-09-15T00:00:00-06:00,13.537272135416666 A
2017-09-16T00:00:00-06:00,12.377156575520834 A
2017-09-17T00:00:00-06:00,12.850341796875 A
2017-09-18T00:00:00-06:00,15.3719482421875 A
2017-09-19T00:00:00-06:00,13.800211588541666 A
2017-09-20T00:00:00-06:00,13.430989583333334 A
2017-09-21T00:00:00-06:00,12.566650390625 A
2017-09-22T00:00:00-06:00,12.179850260416666 A
2017-09-23T00:00:00-06:00,11.367350260416666 A
2017-09-24T00:00:00-06:00,11.3839111328125 A
2017-09-25T00:00:00-06:00,13.381266276041666 A
2017-09-26T00:00:00-06:00,14.158447265625 A
2017-09-27T00:00:00-06:00,14.915364583333334 A
2017-09-28T00:00:00-06:00,14.839152018229166 A
2017-09-29T00:00:00-06:00,15.072672526041666 A
2017-09-30T00:00:00-06:00,13.849405924479166 A
2017-10-01T00:00:00-06:00,12.6505126953125 A
2017-10-02T00:00:00-06:00,12.959269205729166 A
2017-10-03T00:00:00-06:00,13.4373779296875 A
2017-10-04T00:00:00-06:00,14.047322591145834 A
2017-10-05T00:00:00-06:00,13.445027669270834 A
2017-10-06T00:00:00-06:00,13.3212890625 A
2017-10-07T00:00:00-06:00,13.110595703125 A
2017-10-08T00:00:00-06:00,11.753702799479166 A
2017-10-09T00:00:00-06:00,12.42236328125 A
2017-10-10T00:00:00-06:00,12.939371744791666 A
2017-10-11T00:00:00-06:00,13.8863525390625 A
2017-10-12T00:00:00-06:00,12.887044270833334 A
2017-10-13T00:00:00-06:00,13.165323893229166 A
2017-10-14T00:00:00-06:00,11.960489908854166 A
2017-10-15T00:00:00-06:00,11.850911458333334 A
2017-10-16T00:00:00-06:00,13.581380208333334 A
2017-10-17T00:00:00-06:00,14.112345377604166 A
2017-10-18T00:00:00-06:00,13.7470703125 A
2017-10-19T00:00:00-06:00,14.43994140625 A
2017-10-20T00:00:00-06:00,13.6326904296875 A
2017-10-21T00:00:00-06:00,11.644856770833334 A
2017-10-22T00:00:00-06:00,12.510498046875 A
2017-10-23T00:00:00-06:00,13.497599283854166 A
2017-10-24T00:00:00-06:00,13.425537109375 A
2017-10-25T00:00:00-06:00,13.4808349609375 A
2017-10-26T00:00:00-06:00,13.512980143229166 A
2017-10-27T00:00:00-06:00,13.024820963541666 A
2017-10-28T00:00:00-06:00,12.2327880859375 A
2017-10-29T00:00:00-06:00,11.968180338541666 A
2017-10-30T00:00:00-06:00,12.125935872395834 A
2017-10-31T00:00:00-06:00,12.930013020833334 A
2017-11-01T00:00:00-06:00,14.029703776041666 A
2017-11-02T00:00:00-06:00,14.262858072916666 A
2017-11-03T00:00:00-06:00,13.8271484375 A
2017-11-04T00:00:00-06:00,12.1929931640625 A
2017-11-05T00:00:00-06:00,11.6771484375 A
2017-11-06T00:00:00-07:00,13.24609375 A
2017-11-07T00:00:00-07:00,13.227742513020834 A
2017-11-08T00:00:00-07:00,13.498575846354166 A
2017-11-09T00:00:00-07:00,13.9066162109375 A
2017-11-10T00:00:00-07:00,13.3221435546875 A
2017-11-11T00:00:00-07:00,12.2353515625 A
2017-11-12T00:00:00-07:00,12.136515299479166 A
2017-11-13T00:00:00-07:00,13.4520263671875 A
2017-11-14T00:00:00-07:00,13.6456298828125 A
2017-11-15T00:00:00-07:00,13.652140299479166 A
2017-11-16T00:00:00-07:00,14.789265950520834 A
2017-11-17T00:00:00-07:00,13.045125325520834 A
2017-11-18T00:00:00-07:00,11.872599283854166 A
2017-11-19T00:00:00-07:00,11.8189697265625 A
2017-11-20T00:00:00-07:00,13.0665283203125 A
2017-11-21T00:00:00-07:00,13.661946614583334 A
2017-11-22T00:00:00-07:00,13.880533854166666 A
2017-11-23T00:00:00-07:00,12.998942057291666 A
2017-11-24T00:00:00-07:00,12.908854166666666 A
2017-11-25T00:00:00-07:00,12.347371419270834 A
2017-11-26T00:00:00-07:00,12.778645833333334 A
2017-11-27T00:00:00-07:00,13.917317708333334 A
2017-11-28T00:00:00-07:00,12.994669596354166 A
2017-11-29T00:00:00-07:00,13.210774739583334 A
2017-11-30T00:00:00-07:00,13.128987630208334 A
2017-12-01T00:00:00-07:00,13.0888671875 A
2017-12-02T00:00:00-07:00,12.260335286458334 A
2017-12-03T00:00:00-07:00,12.574951171875 A
2017-12-04T00:00:00-07:00,13.033406575520834 A
2017-12-05T00:00:00-07:00,13.308878580729166 A
2017-12-06T00:00:00-07:00,13.244873046875 A
2017-12-07T00:00:00-07:00,13.004638671875 A
2017-12-08T00:00:00-07:00,13.122151692708334 A
2017-12-09T00:00:00-07:00,12.117919921875 A
2017-12-10T00:00:00-07:00,11.448689778645834 A
2017-12-11T00:00:00-07:00,12.675537109375 A
2017-12-12T00:00:00-07:00,12.778483072916666 A
2017-12-13T00:00:00-07:00,12.7257080078125 A
2017-12-14T00:00:00-07:00,12.076741536458334 A
2017-12-15T00:00:00-07:00,11.091837565104166 A
2017-12-16T00:00:00-07:00,10.18603515625 A
2017-12-17T00:00:00-07:00,10.103474934895834 A
2017-12-18T00:00:00-07:00,12.338527036516854 A
2017-12-19T00:00:00-07:00,13.0784912109375 A
2017-12-20T00:00:00-07:00,13.220499674479166 A
2017-12-21T00:00:00-07:00,12.433146158854166 A
2017-12-22T00:00:00-07:00,12.255208333333334 A
2017-12-23T00:00:00-07:00,11.401285807291666 A
2017-12-24T00:00:00-07:00,10.974772135416666 A
2017-12-25T00:00:00-07:00,10.840047200520834 A
2017-12-26T00:00:00-07:00,11.073160807291666 A
2017-12-27T00:00:00-07:00,11.6754150390625 A
2017-12-28T00:00:00-07:00,12.4326171875 A
2017-12-29T00:00:00-07:00,12.656575520833334 A
2017-12-30T00:00:00-07:00,12.571085611979166 A
2017-12-31T00:00:00-07:00,11.8402099609375 A
