Timestamp,['1ef4684b-d3e71c08 0070-QUINNEY COLLEGE OF LAW Power Meter 316931 Current A']
2017-07-21T00:00:00-06:00,34.27097116907438 A
2017-07-22T00:00:00-06:00,26.249189843734104 A
2017-07-23T00:00:00-06:00,27.628614087899525 A
2017-07-24T00:00:00-06:00,32.70602350433668 A
2017-07-25T00:00:00-06:00,35.50421432654063 A
2017-07-26T00:00:00-06:00,34.096798956394196 A
2017-07-27T00:00:00-06:00,33.66472085316976 A
2017-07-28T00:00:00-06:00,35.12803662816683 A
2017-07-29T00:00:00-06:00,29.568420896927517 A
2017-07-30T00:00:00-06:00,31.852080057064693 A
2017-07-31T00:00:00-06:00,33.90551573038101 A
2017-08-01T00:00:00-06:00,32.77060314019521 A
2017-08-02T00:00:00-06:00,35.84589395920435 A
2017-08-03T00:00:00-06:00,36.038397977749504 A
2017-08-04T00:00:00-06:00,37.272200133774305 A
2017-08-05T00:00:00-06:00,29.44261474410693 A
2017-08-06T00:00:00-06:00,29.210761134823162 A
2017-08-07T00:00:00-06:00,38.026015470425286 A
2017-08-08T00:00:00-06:00,36.832914600769676 A
2017-08-09T00:00:00-06:00,39.1124834616979 A
2017-08-10T00:00:00-06:00,36.97755640111071 A
2017-08-11T00:00:00-06:00,34.11152293284734 A
2017-08-12T00:00:00-06:00,29.986314952373505 A
2017-08-13T00:00:00-06:00,29.578770264983177 A
2017-08-14T00:00:00-06:00,40.07431993881861 A
2017-08-15T00:00:00-06:00,37.067588110764824 A
2017-08-16T00:00:00-06:00,36.92806392908096 A
2017-08-17T00:00:00-06:00,36.70324449737867 A
2017-08-18T00:00:00-06:00,34.18756117423376 A
2017-08-19T00:00:00-06:00,29.408202146490414 A
2017-08-20T00:00:00-06:00,31.195539717872936 A
2017-08-21T00:00:00-06:00,38.30332689483961 A
2017-08-22T00:00:00-06:00,44.03434846798579 A
2017-08-23T00:00:00-06:00,41.86868214607239 A
2017-08-24T00:00:00-06:00,39.510964065790176 A
2017-08-25T00:00:00-06:00,37.15301951766014 A
2017-08-26T00:00:00-06:00,31.23304506142934 A
2017-08-27T00:00:00-06:00,29.880409210920334 A
2017-08-28T00:00:00-06:00,38.819284262864485 A
2017-08-29T00:00:00-06:00,39.08906504928425 A
2017-08-30T00:00:00-06:00,40.57585729161898 A
2017-08-31T00:00:00-06:00,41.76437656084696 A
2017-09-01T00:00:00-06:00,35.62574627995491 A
2017-09-02T00:00:00-06:00,30.06050976117452 A
2017-09-03T00:00:00-06:00,30.5760765778391 A
2017-09-04T00:00:00-06:00,33.23062194387118 A
2017-09-05T00:00:00-06:00,41.102522830168404 A
2017-09-06T00:00:00-06:00,40.82603775461515 A
2017-09-07T00:00:00-06:00,42.48634082078934 A
2017-09-08T00:00:00-06:00,42.43375421077647 A
2017-09-09T00:00:00-06:00,33.91438593467077 A
2017-09-10T00:00:00-06:00,28.11258007089297 A
2017-09-11T00:00:00-06:00,39.41877702871958 A
2017-09-12T00:00:00-06:00,39.17879430452982 A
2017-09-13T00:00:00-06:00,44.33838399251302 A
2017-09-14T00:00:00-06:00,50.21446772416433 A
2017-09-15T00:00:00-06:00,47.304579297701515 A
2017-09-16T00:00:00-06:00,27.190630952517193 A
2017-09-17T00:00:00-06:00,29.197088539600372 A
2017-09-18T00:00:00-06:00,40.88303205370903 A
2017-09-19T00:00:00-06:00,47.79200897614161 A
2017-09-20T00:00:00-06:00,42.19703125953674 A
2017-09-21T00:00:00-06:00,49.58405363559723 A
2017-09-22T00:00:00-06:00,53.97389088074366 A
2017-09-23T00:00:00-06:00,37.16396192709605 A
2017-09-24T00:00:00-06:00,46.52818006277084 A
2017-09-25T00:00:00-06:00,49.40409451723099 A
2017-09-26T00:00:00-06:00,42.306495785713196 A
2017-09-27T00:00:00-06:00,43.2448054254055 A
2017-09-28T00:00:00-06:00,48.276097893714905 A
2017-09-29T00:00:00-06:00,40.29873784383138 A
2017-09-30T00:00:00-06:00,30.11460369825363 A
2017-10-01T00:00:00-06:00,32.46378602584203 A
2017-10-02T00:00:00-06:00,54.37625640630722 A
2017-10-03T00:00:00-06:00,51.44836809237798 A
2017-10-04T00:00:00-06:00,48.257588585217796 A
2017-10-05T00:00:00-06:00,46.465528869628905 A
2017-10-06T00:00:00-06:00,43.86650929848353 A
2017-10-07T00:00:00-06:00,30.000470221042633 A
2017-10-08T00:00:00-06:00,28.575431555509567 A
2017-10-09T00:00:00-06:00,49.58136908213297 A
2017-10-10T00:00:00-06:00,52.596513311068215 A
2017-10-11T00:00:00-06:00,45.509255627791084 A
2017-10-12T00:00:00-06:00,41.51820878187815 A
2017-10-13T00:00:00-06:00,46.82187759876251 A
2017-10-14T00:00:00-06:00,38.45056794087092 A
2017-10-15T00:00:00-06:00,41.13462916016579 A
2017-10-16T00:00:00-06:00,56.68912523984909 A
2017-10-17T00:00:00-06:00,49.467019855976105 A
2017-10-18T00:00:00-06:00,48.28209573030472 A
2017-10-19T00:00:00-06:00,46.100451827049255 A
2017-10-20T00:00:00-06:00,52.14289426803589 A
2017-10-21T00:00:00-06:00,34.04081272085508 A
2017-10-22T00:00:00-06:00,31.655142823855083 A
2017-10-23T00:00:00-06:00,47.43657116095225 A
2017-10-24T00:00:00-06:00,47.35288395484289 A
2017-10-25T00:00:00-06:00,45.707910656929016 A
2017-10-26T00:00:00-06:00,49.46387551228205 A
2017-10-27T00:00:00-06:00,42.78650897741318 A
2017-10-28T00:00:00-06:00,27.63896694779396 A
2017-10-29T00:00:00-06:00,29.085474133491516 A
2017-10-30T00:00:00-06:00,52.10980256398519 A
2017-10-31T00:00:00-06:00,42.450112998485565 A
2017-11-01T00:00:00-06:00,52.53923366467158 A
2017-11-02T00:00:00-06:00,50.25019552310308 A
2017-11-03T00:00:00-06:00,50.09160347779592 A
2017-11-04T00:00:00-06:00,45.67662471532822 A
2017-11-05T00:00:00-06:00,38.62401293754578 A
2017-11-06T00:00:00-07:00,58.26625317335129 A
2017-11-07T00:00:00-07:00,56.493441581726074 A
2017-11-08T00:00:00-07:00,56.124973158041634 A
2017-11-09T00:00:00-07:00,54.26557981967926 A
2017-11-10T00:00:00-07:00,55.91571740309397 A
2017-11-11T00:00:00-07:00,44.43729444344839 A
2017-11-12T00:00:00-07:00,43.92583049337069 A
2017-11-13T00:00:00-07:00,54.494382997353874 A
2017-11-14T00:00:00-07:00,56.406620820363365 A
2017-11-15T00:00:00-07:00,62.16635501384735 A
2017-11-16T00:00:00-07:00,65.34692500034969 A
2017-11-17T00:00:00-07:00,63.04541949431101 A
2017-11-18T00:00:00-07:00,39.39912541707357 A
2017-11-19T00:00:00-07:00,29.802630533774693 A
2017-11-20T00:00:00-07:00,63.828022599220276 A
2017-11-21T00:00:00-07:00,57.540048241615295 A
2017-11-22T00:00:00-07:00,44.48528959353765 A
2017-11-23T00:00:00-07:00,31.541217813889187 A
2017-11-24T00:00:00-07:00,35.79660813013712 A
2017-11-25T00:00:00-07:00,28.711856335401535 A
2017-11-26T00:00:00-07:00,25.799181789159775 A
2017-11-27T00:00:00-07:00,61.66259743769964 A
2017-11-28T00:00:00-07:00,59.79045947392782 A
2017-11-29T00:00:00-07:00,60.42493863900503 A
2017-11-30T00:00:00-07:00,57.77868580818176 A
2017-12-01T00:00:00-07:00,59.443909764289856 A
2017-12-02T00:00:00-07:00,50.45915905634562 A
2017-12-03T00:00:00-07:00,41.58285321791967 A
2017-12-04T00:00:00-07:00,70.1260336637497 A
2017-12-05T00:00:00-07:00,69.74400472640991 A
2017-12-06T00:00:00-07:00,68.31097388267517 A
2017-12-07T00:00:00-07:00,69.06982501347859 A
2017-12-08T00:00:00-07:00,64.49603815873463 A
2017-12-09T00:00:00-07:00,56.67270344495773 A
2017-12-10T00:00:00-07:00,54.96838963031769 A
2017-12-11T00:00:00-07:00,66.37704718112946 A
2017-12-12T00:00:00-07:00,62.78938217957815 A
2017-12-13T00:00:00-07:00,70.69831951459248 A
2017-12-14T00:00:00-07:00,63.31823627154032 A
2017-12-15T00:00:00-07:00,61.991183360417686 A
2017-12-16T00:00:00-07:00,51.89025710026423 A
2017-12-17T00:00:00-07:00,52.36655728022257 A
2017-12-18T00:00:00-07:00,56.09367672089608 A
2017-12-19T00:00:00-07:00,51.61232556899389 A
2017-12-20T00:00:00-07:00,50.13908569018046 A
2017-12-21T00:00:00-07:00,58.79351512591044 A
2017-12-22T00:00:00-07:00,53.10767535368601 A
2017-12-23T00:00:00-07:00,53.523413260777794 A
2017-12-24T00:00:00-07:00,37.03679450352987 A
2017-12-25T00:00:00-07:00,39.57411261399587 A
2017-12-26T00:00:00-07:00,46.85581636428833 A
2017-12-27T00:00:00-07:00,56.44253361225128 A
2017-12-28T00:00:00-07:00,54.218779941399895 A
2017-12-29T00:00:00-07:00,48.666157603263855 A
2017-12-30T00:00:00-07:00,32.92526570955912 A
2017-12-31T00:00:00-07:00,38.51591513554255 A
