Timestamp,['1ccd65ee-1da53bdc 0087-THATCHER BLDG Power Meter (301205) KWH Received']
2017-08-16T00:00:00-06:00,4512.4375 kWh
2017-08-17T00:00:00-06:00,4526.0625 kWh
2017-08-18T00:00:00-06:00,4523.5 kWh
2017-08-19T00:00:00-06:00,4451.8125 kWh
2017-08-20T00:00:00-06:00,4465.8125 kWh
2017-08-21T00:00:00-06:00,4595.625 kWh
2017-08-22T00:00:00-06:00,4580.875 kWh
2017-08-23T00:00:00-06:00,4538.0625 kWh
2017-08-24T00:00:00-06:00,4443.375 kWh
2017-08-25T00:00:00-06:00,4511.875 kWh
2017-08-26T00:00:00-06:00,4463.4375 kWh
2017-08-27T00:00:00-06:00,4396.6875 kWh
2017-08-28T00:00:00-06:00,4352.875 kWh
2017-08-29T00:00:00-06:00,4196.5 kWh
2017-08-30T00:00:00-06:00,4290.125 kWh
2017-08-31T00:00:00-06:00,4238.875 kWh
2017-09-01T00:00:00-06:00,4269.3125 kWh
2017-09-02T00:00:00-06:00,4102.25 kWh
2017-09-03T00:00:00-06:00,4100.4375 kWh
2017-09-04T00:00:00-06:00,4193.3125 kWh
2017-09-05T00:00:00-06:00,4293.9375 kWh
2017-09-06T00:00:00-06:00,4225.375 kWh
2017-09-07T00:00:00-06:00,4396.125 kWh
2017-09-08T00:00:00-06:00,4636.625 kWh
2017-09-09T00:00:00-06:00,4508.4375 kWh
2017-09-10T00:00:00-06:00,4477.25 kWh
2017-09-11T00:00:00-06:00,4619.125 kWh
2017-09-12T00:00:00-06:00,4606.9375 kWh
2017-09-13T00:00:00-06:00,4577.5 kWh
2017-09-14T00:00:00-06:00,4546.25 kWh
2017-09-15T00:00:00-06:00,4489.0625 kWh
2017-09-16T00:00:00-06:00,4342.125 kWh
2017-09-17T00:00:00-06:00,4319.3125 kWh
2017-09-18T00:00:00-06:00,4462.3125 kWh
2017-09-19T00:00:00-06:00,4464.5625 kWh
2017-09-20T00:00:00-06:00,4461.5 kWh
2017-09-21T00:00:00-06:00,4448.375 kWh
2017-09-22T00:00:00-06:00,4468.5625 kWh
2017-09-23T00:00:00-06:00,4378.125 kWh
2017-09-24T00:00:00-06:00,4348.9375 kWh
2017-09-25T00:00:00-06:00,4510.125 kWh
2017-09-26T00:00:00-06:00,4515.5625 kWh
2017-09-27T00:00:00-06:00,4499.0625 kWh
2017-09-28T00:00:00-06:00,4493.25 kWh
2017-09-29T00:00:00-06:00,4488.125 kWh
2017-09-30T00:00:00-06:00,4397.6875 kWh
2017-10-01T00:00:00-06:00,4930.1875 kWh
2017-10-02T00:00:00-06:00,5149.4375 kWh
2017-10-03T00:00:00-06:00,5166.375 kWh
2017-10-04T00:00:00-06:00,5151.75 kWh
2017-10-05T00:00:00-06:00,5188.5 kWh
2017-10-06T00:00:00-06:00,5162.9375 kWh
2017-10-07T00:00:00-06:00,5026.0625 kWh
2017-10-08T00:00:00-06:00,5010.6875 kWh
2017-10-09T00:00:00-06:00,5192.875 kWh
2017-10-10T00:00:00-06:00,5166.4375 kWh
2017-10-11T00:00:00-06:00,4742.1875 kWh
2017-10-12T00:00:00-06:00,4414.8125 kWh
2017-10-13T00:00:00-06:00,4668 kWh
2017-10-14T00:00:00-06:00,4025.5625 kWh
2017-10-15T00:00:00-06:00,4011.0625 kWh
2017-10-16T00:00:00-06:00,4147.1875 kWh
2017-10-17T00:00:00-06:00,4372.375 kWh
2017-10-18T00:00:00-06:00,4990.625 kWh
2017-10-19T00:00:00-06:00,5103.875 kWh
2017-10-20T00:00:00-06:00,5103.5 kWh
2017-10-21T00:00:00-06:00,5058.0625 kWh
2017-10-22T00:00:00-06:00,5046.375 kWh
2017-10-23T00:00:00-06:00,5184.75 kWh
2017-10-24T00:00:00-06:00,5173.25 kWh
2017-10-25T00:00:00-06:00,5108.5 kWh
2017-10-26T00:00:00-06:00,5084.25 kWh
2017-10-27T00:00:00-06:00,5041.6875 kWh
2017-10-28T00:00:00-06:00,4903.6875 kWh
2017-10-29T00:00:00-06:00,4861.1875 kWh
2017-10-30T00:00:00-06:00,4985.0625 kWh
2017-10-31T00:00:00-06:00,5081.375 kWh
2017-11-01T00:00:00-06:00,5135.75 kWh
2017-11-02T00:00:00-06:00,5147.375 kWh
2017-11-03T00:00:00-06:00,4992.75 kWh
2017-11-04T00:00:00-06:00,4943.5 kWh
2017-11-05T00:00:00-06:00,5130.5625 kWh
2017-11-06T00:00:00-07:00,5081.75 kWh
2017-11-07T00:00:00-07:00,5147.75 kWh
2017-11-08T00:00:00-07:00,5132.3125 kWh
2017-11-09T00:00:00-07:00,5134.1875 kWh
2017-11-10T00:00:00-07:00,5177.0625 kWh
2017-11-11T00:00:00-07:00,5132.8125 kWh
2017-11-12T00:00:00-07:00,5111.8125 kWh
2017-11-13T00:00:00-07:00,5191.4375 kWh
2017-11-14T00:00:00-07:00,5225.1875 kWh
2017-11-15T00:00:00-07:00,5101.7550048828125 kWh
2017-11-16T00:00:00-07:00,5211.7000732421875 kWh
2017-11-17T00:00:00-07:00,5276.4794921875 kWh
2017-11-18T00:00:00-07:00,5184.7802734375 kWh
2017-11-19T00:00:00-07:00,5069.19921875 kWh
2017-11-20T00:00:00-07:00,5153.55078125 kWh
2017-11-21T00:00:00-07:00,5199.30078125 kWh
2017-11-22T00:00:00-07:00,5176.09765625 kWh
2017-11-23T00:00:00-07:00,5172.140625 kWh
2017-11-24T00:00:00-07:00,5147.79296875 kWh
2017-11-25T00:00:00-07:00,5118.38671875 kWh
2017-11-26T00:00:00-07:00,5091.51953125 kWh
2017-11-27T00:00:00-07:00,5189.8515625 kWh
2017-11-28T00:00:00-07:00,5275.1171875 kWh
2017-11-29T00:00:00-07:00,5291.390625 kWh
2017-11-30T00:00:00-07:00,5301.1796875 kWh
2017-12-01T00:00:00-07:00,5264.890625 kWh
2017-12-02T00:00:00-07:00,5173.609375 kWh
2017-12-03T00:00:00-07:00,5128.921875 kWh
2017-12-04T00:00:00-07:00,5373 kWh
2017-12-05T00:00:00-07:00,5397.5625 kWh
2017-12-06T00:00:00-07:00,5357.890625 kWh
2017-12-07T00:00:00-07:00,5361.4765625 kWh
2017-12-08T00:00:00-07:00,5334.1015625 kWh
2017-12-09T00:00:00-07:00,5249.2265625 kWh
2017-12-10T00:00:00-07:00,5233.15625 kWh
2017-12-11T00:00:00-07:00,5355.28125 kWh
2017-12-12T00:00:00-07:00,5385.5 kWh
2017-12-13T00:00:00-07:00,5366.46875 kWh
2017-12-14T00:00:00-07:00,5352 kWh
2017-12-15T00:00:00-07:00,5317.203125 kWh
2017-12-16T00:00:00-07:00,5204.203125 kWh
2017-12-17T00:00:00-07:00,5228.4375 kWh
2017-12-18T00:00:00-07:00,5308.53125 kWh
2017-12-19T00:00:00-07:00,5285.578125 kWh
2017-12-20T00:00:00-07:00,5240.4375 kWh
2017-12-21T00:00:00-07:00,5327.40625 kWh
2017-12-22T00:00:00-07:00,5316.34375 kWh
2017-12-23T00:00:00-07:00,5185.5625 kWh
2017-12-24T00:00:00-07:00,5211.828125 kWh
2017-12-25T00:00:00-07:00,5240.28125 kWh
2017-12-26T00:00:00-07:00,5268.25 kWh
2017-12-27T00:00:00-07:00,5259.96875 kWh
2017-12-28T00:00:00-07:00,5256.5625 kWh
2017-12-29T00:00:00-07:00,5224.8125 kWh
2017-12-30T00:00:00-07:00,5150.4375 kWh
2017-12-31T00:00:00-07:00,5201.203125 kWh
