Timestamp,['1ef4686d-41f12ab1 0070-QUINNEY COLLEGE OF LAW Power Meter 313199 Current B']
2017-08-26T00:00:00-06:00,104.39789962768555 A
2017-08-27T00:00:00-06:00,71.20543203751247 A
2017-08-28T00:00:00-06:00,151.41061782836914 A
2017-08-29T00:00:00-06:00,154.4677695817845 A
2017-08-30T00:00:00-06:00,153.61411317189535 A
2017-08-31T00:00:00-06:00,156.74991075197855 A
2017-09-01T00:00:00-06:00,143.06936883926392 A
2017-09-02T00:00:00-06:00,105.07837893565495 A
2017-09-03T00:00:00-06:00,75.46284139532791 A
2017-09-04T00:00:00-06:00,134.25758035977682 A
2017-09-05T00:00:00-06:00,152.9584856828054 A
2017-09-06T00:00:00-06:00,159.6971162954966 A
2017-09-07T00:00:00-06:00,160.581653992335 A
2017-09-08T00:00:00-06:00,160.71667337417603 A
2017-09-09T00:00:00-06:00,125.45925760269165 A
2017-09-10T00:00:00-06:00,78.51787304878235 A
2017-09-11T00:00:00-06:00,155.27374545733133 A
2017-09-12T00:00:00-06:00,155.84062377611795 A
2017-09-13T00:00:00-06:00,167.57172282536825 A
2017-09-14T00:00:00-06:00,176.60490489006042 A
2017-09-15T00:00:00-06:00,164.97270925839743 A
2017-09-16T00:00:00-06:00,106.45690202713013 A
2017-09-17T00:00:00-06:00,82.03844861189525 A
2017-09-18T00:00:00-06:00,159.6536074479421 A
2017-09-19T00:00:00-06:00,167.05050929387411 A
2017-09-20T00:00:00-06:00,157.5559778213501 A
2017-09-21T00:00:00-06:00,170.2877141634623 A
2017-09-22T00:00:00-06:00,182.61255264282227 A
2017-09-23T00:00:00-06:00,151.65188392003378 A
2017-09-24T00:00:00-06:00,192.25451834996542 A
2017-09-25T00:00:00-06:00,176.5411960283915 A
2017-09-26T00:00:00-06:00,149.35764694213867 A
2017-09-27T00:00:00-06:00,154.0753235022227 A
2017-09-28T00:00:00-06:00,159.93840646743774 A
2017-09-29T00:00:00-06:00,148.6429673830668 A
2017-09-30T00:00:00-06:00,126.59927646319072 A
2017-10-01T00:00:00-06:00,91.50805517037709 A
2017-10-02T00:00:00-06:00,180.49162618319193 A
2017-10-03T00:00:00-06:00,169.79772973060608 A
2017-10-04T00:00:00-06:00,154.06717173258463 A
2017-10-05T00:00:00-06:00,147.46989941596985 A
2017-10-06T00:00:00-06:00,142.7197674115499 A
2017-10-07T00:00:00-06:00,106.19530540704727 A
2017-10-08T00:00:00-06:00,98.62768079837163 A
2017-10-09T00:00:00-06:00,168.12239877382913 A
2017-10-10T00:00:00-06:00,172.31077869733176 A
2017-10-11T00:00:00-06:00,148.7544525464376 A
2017-10-12T00:00:00-06:00,144.83607848485312 A
2017-10-13T00:00:00-06:00,160.05352203051248 A
2017-10-14T00:00:00-06:00,159.03400055567423 A
2017-10-15T00:00:00-06:00,149.37133103609085 A
2017-10-16T00:00:00-06:00,177.8931030432383 A
2017-10-17T00:00:00-06:00,163.0772701104482 A
2017-10-18T00:00:00-06:00,153.4669930934906 A
2017-10-19T00:00:00-06:00,160.4978145758311 A
2017-10-20T00:00:00-06:00,153.5556581815084 A
2017-10-21T00:00:00-06:00,126.33452145258586 A
2017-10-22T00:00:00-06:00,109.46779948472977 A
