Timestamp,['1e71be5d-2dc0f8e7 0040-STUDENT SERVICES BLDG Power Meter (300089) Current C']
2017-11-27T00:00:00-07:00,216.48873074849448 A
2017-11-28T00:00:00-07:00,217.25520435969034 A
2017-11-29T00:00:00-07:00,307.4875666300456 A
2017-11-30T00:00:00-07:00,429.70108350118 A
2017-12-01T00:00:00-07:00,423.774450302124 A
2017-12-02T00:00:00-07:00,386.08988030751544 A
2017-12-03T00:00:00-07:00,388.00553798675537 A
2017-12-04T00:00:00-07:00,434.08582433064777 A
2017-12-05T00:00:00-07:00,430.93530972798663 A
2017-12-06T00:00:00-07:00,434.7666079203288 A
2017-12-07T00:00:00-07:00,436.2026119232178 A
2017-12-08T00:00:00-07:00,433.64748096466064 A
2017-12-09T00:00:00-07:00,392.35652955373126 A
2017-12-10T00:00:00-07:00,391.48017088572186 A
2017-12-11T00:00:00-07:00,437.00895436604816 A
2017-12-12T00:00:00-07:00,437.1819559733073 A
2017-12-13T00:00:00-07:00,442.0365473429362 A
2017-12-14T00:00:00-07:00,438.3662220637004 A
2017-12-15T00:00:00-07:00,425.2966225941976 A
2017-12-16T00:00:00-07:00,390.27506891886395 A
2017-12-17T00:00:00-07:00,390.0575126012166 A
2017-12-18T00:00:00-07:00,431.5127688172043 A
2017-12-19T00:00:00-07:00,432.5246524810791 A
2017-12-20T00:00:00-07:00,427.38130283355713 A
2017-12-21T00:00:00-07:00,442.7008679707845 A
2017-12-22T00:00:00-07:00,428.33235931396484 A
2017-12-23T00:00:00-07:00,397.32327969868976 A
2017-12-24T00:00:00-07:00,404.8607317606608 A
2017-12-25T00:00:00-07:00,394.97441482543945 A
2017-12-26T00:00:00-07:00,395.69864209493 A
2017-12-27T00:00:00-07:00,424.0558436711629 A
2017-12-28T00:00:00-07:00,421.1820999781291 A
2017-12-29T00:00:00-07:00,391.6259822845459 A
2017-12-30T00:00:00-07:00,384.6727244059245 A
2017-12-31T00:00:00-07:00,383.15850416819256 A
