Timestamp,['1f7d6c5c-03403a9f 0372-KENNECOTT MECH ENG BLDG Power Meter 300344 Current C']
2017-09-23T00:00:00-06:00,52.71484375 A
2017-09-24T00:00:00-06:00,54.803059895833336 A
2017-09-25T00:00:00-06:00,61.490234375 A
2017-09-26T00:00:00-06:00,59.847330729166664 A
2017-09-27T00:00:00-06:00,58.894856770833336 A
2017-09-28T00:00:00-06:00,58.004557291666664 A
2017-09-29T00:00:00-06:00,57.869140625 A
2017-09-30T00:00:00-06:00,51.4013671875 A
2017-10-01T00:00:00-06:00,51.48828125 A
2017-10-02T00:00:00-06:00,61.35546875 A
2017-10-03T00:00:00-06:00,60.574544270833336 A
2017-10-04T00:00:00-06:00,60.70703125 A
2017-10-05T00:00:00-06:00,61.603515625 A
2017-10-06T00:00:00-06:00,57.093424479166664 A
2017-10-07T00:00:00-06:00,50.014322916666664 A
2017-10-08T00:00:00-06:00,50.494466145833336 A
2017-10-09T00:00:00-06:00,56.485677083333336 A
2017-10-10T00:00:00-06:00,57.356770833333336 A
2017-10-11T00:00:00-06:00,52.810221354166664 A
2017-10-12T00:00:00-06:00,55.4970703125 A
2017-10-13T00:00:00-06:00,53.723307291666664 A
2017-10-14T00:00:00-06:00,51.0869140625 A
2017-10-15T00:00:00-06:00,51.548177083333336 A
2017-10-16T00:00:00-06:00,62.283528645833336 A
2017-10-17T00:00:00-06:00,61.8203125 A
2017-10-18T00:00:00-06:00,62.198567708333336 A
2017-10-19T00:00:00-06:00,62.194010416666664 A
2017-10-20T00:00:00-06:00,61.4716796875 A
2017-10-21T00:00:00-06:00,54.667317708333336 A
2017-10-22T00:00:00-06:00,52.1533203125 A
2017-10-23T00:00:00-06:00,63.095052083333336 A
2017-10-24T00:00:00-06:00,63.47265625 A
2017-10-25T00:00:00-06:00,64.98567708333333 A
2017-10-26T00:00:00-06:00,65.10221354166667 A
2017-10-27T00:00:00-06:00,64.52018229166667 A
2017-10-28T00:00:00-06:00,57.210611979166664 A
2017-10-29T00:00:00-06:00,57.091796875 A
2017-10-30T00:00:00-06:00,67.80989583333333 A
2017-10-31T00:00:00-06:00,63.076497395833336 A
2017-11-01T00:00:00-06:00,66.96875 A
2017-11-02T00:00:00-06:00,66.31477864583333 A
2017-11-03T00:00:00-06:00,62.703125 A
2017-11-04T00:00:00-06:00,57.316080729166664 A
2017-11-05T00:00:00-06:00,55.7015625 A
2017-11-06T00:00:00-07:00,63.8681640625 A
2017-11-07T00:00:00-07:00,64.43587239583333 A
2017-11-08T00:00:00-07:00,63.9267578125 A
2017-11-09T00:00:00-07:00,62.252278645833336 A
2017-11-10T00:00:00-07:00,63.351236979166664 A
2017-11-11T00:00:00-07:00,57.793619791666664 A
2017-11-12T00:00:00-07:00,56.532877604166664 A
2017-11-13T00:00:00-07:00,64.2412109375 A
2017-11-14T00:00:00-07:00,64.26302083333333 A
2017-11-15T00:00:00-07:00,65.05794270833333 A
2017-11-16T00:00:00-07:00,65.42513020833333 A
2017-11-17T00:00:00-07:00,66.111328125 A
2017-11-18T00:00:00-07:00,56.5859375 A
2017-11-19T00:00:00-07:00,57.555338541666664 A
2017-11-20T00:00:00-07:00,64.26497395833333 A
2017-11-21T00:00:00-07:00,62.598958333333336 A
2017-11-22T00:00:00-07:00,60.408528645833336 A
2017-11-23T00:00:00-07:00,54.2939453125 A
2017-11-24T00:00:00-07:00,54.36611842105263 A
2017-11-25T00:00:00-07:00,56.019856770833336 A
2017-11-26T00:00:00-07:00,53.43359375 A
2017-11-27T00:00:00-07:00,66.33072916666667 A
2017-11-28T00:00:00-07:00,64.54947916666667 A
2017-11-29T00:00:00-07:00,64.21354166666667 A
2017-11-30T00:00:00-07:00,63.332682291666664 A
2017-12-01T00:00:00-07:00,65.751953125 A
2017-12-02T00:00:00-07:00,58.228841145833336 A
2017-12-03T00:00:00-07:00,59.535481770833336 A
2017-12-04T00:00:00-07:00,68.48502604166667 A
2017-12-05T00:00:00-07:00,65.2431640625 A
2017-12-06T00:00:00-07:00,65.9677734375 A
2017-12-07T00:00:00-07:00,66.06510416666667 A
2017-12-08T00:00:00-07:00,64.58951822916667 A
2017-12-09T00:00:00-07:00,55.840494791666664 A
2017-12-10T00:00:00-07:00,57.083658854166664 A
2017-12-11T00:00:00-07:00,62.5341796875 A
2017-12-12T00:00:00-07:00,61.546549479166664 A
2017-12-13T00:00:00-07:00,61.791015625 A
2017-12-14T00:00:00-07:00,60.462890625 A
2017-12-15T00:00:00-07:00,59.513020833333336 A
2017-12-16T00:00:00-07:00,55.2685546875 A
2017-12-17T00:00:00-07:00,54.806315104166664 A
2017-12-18T00:00:00-07:00,57.724184782608695 A
2017-12-19T00:00:00-07:00,53.763671875 A
2017-12-20T00:00:00-07:00,56.420247395833336 A
2017-12-21T00:00:00-07:00,55.877604166666664 A
2017-12-22T00:00:00-07:00,54.722981770833336 A
2017-12-23T00:00:00-07:00,52.411783854166664 A
2017-12-24T00:00:00-07:00,50.662760416666664 A
2017-12-25T00:00:00-07:00,51.398111979166664 A
2017-12-26T00:00:00-07:00,51.343098958333336 A
2017-12-27T00:00:00-07:00,53.4736328125 A
2017-12-28T00:00:00-07:00,53.939453125 A
2017-12-29T00:00:00-07:00,52.225260416666664 A
2017-12-30T00:00:00-07:00,50.216796875 A
2017-12-31T00:00:00-07:00,52.0791015625 A
