Timestamp,['1f7d6c57-1187428b 0372-KENNECOTT MECH ENG BLDG Power Meter 300344 Current B']
2017-07-10T00:00:00-06:00,54.291341145833336 A
2017-07-11T00:00:00-06:00,51.624348958333336 A
2017-07-12T00:00:00-06:00,49.39453125 A
2017-07-13T00:00:00-06:00,52.115559895833336 A
2017-07-14T00:00:00-06:00,52.024088541666664 A
2017-07-15T00:00:00-06:00,44.535807291666664 A
2017-07-16T00:00:00-06:00,44.183268229166664 A
2017-07-17T00:00:00-06:00,50.592447916666664 A
2017-07-18T00:00:00-06:00,52.337239583333336 A
2017-07-19T00:00:00-06:00,52.905598958333336 A
2017-07-20T00:00:00-06:00,52.184244791666664 A
2017-07-21T00:00:00-06:00,51.220703125 A
2017-07-22T00:00:00-06:00,45.493815104166664 A
2017-07-23T00:00:00-06:00,45.4755859375 A
2017-07-24T00:00:00-06:00,46.228515625 A
2017-07-25T00:00:00-06:00,54.614583333333336 A
2017-07-26T00:00:00-06:00,53.619466145833336 A
2017-07-27T00:00:00-06:00,51.874348958333336 A
2017-07-28T00:00:00-06:00,49.5009765625 A
2017-07-29T00:00:00-06:00,43.995442708333336 A
2017-07-30T00:00:00-06:00,45.8115234375 A
2017-07-31T00:00:00-06:00,52.412434895833336 A
2017-08-01T00:00:00-06:00,53.08984375 A
2017-08-02T00:00:00-06:00,51.1552734375 A
2017-08-03T00:00:00-06:00,50.4052734375 A
2017-08-04T00:00:00-06:00,48.78949175824176 A
2017-08-05T00:00:00-06:00,43.435546875 A
2017-08-06T00:00:00-06:00,42.333658854166664 A
2017-08-07T00:00:00-06:00,47.643229166666664 A
2017-08-08T00:00:00-06:00,47.605143229166664 A
2017-08-09T00:00:00-06:00,47.5107421875 A
2017-08-10T00:00:00-06:00,46.963430851063826 A
2017-08-11T00:00:00-06:00,48.35690789473684 A
2017-08-12T00:00:00-06:00,40.109700520833336 A
2017-08-13T00:00:00-06:00,41.108072916666664 A
2017-08-14T00:00:00-06:00,46.6845703125 A
2017-08-15T00:00:00-06:00,48.34375 A
2017-08-16T00:00:00-06:00,48.48828125 A
2017-08-17T00:00:00-06:00,49.504231770833336 A
2017-08-18T00:00:00-06:00,53.684244791666664 A
2017-08-19T00:00:00-06:00,42.947916666666664 A
2017-08-20T00:00:00-06:00,44.611002604166664 A
2017-08-21T00:00:00-06:00,55.209309895833336 A
2017-08-22T00:00:00-06:00,56.366861979166664 A
2017-08-23T00:00:00-06:00,57.363932291666664 A
2017-08-24T00:00:00-06:00,58.479817708333336 A
2017-08-25T00:00:00-06:00,58.054361979166664 A
2017-08-26T00:00:00-06:00,44.181640625 A
2017-08-27T00:00:00-06:00,44.192708333333336 A
2017-08-28T00:00:00-06:00,58.78360215053763 A
2017-08-29T00:00:00-06:00,57.09038978494624 A
2017-08-30T00:00:00-06:00,60.434244791666664 A
2017-08-31T00:00:00-06:00,58.533854166666664 A
2017-09-01T00:00:00-06:00,59.104817708333336 A
2017-09-02T00:00:00-06:00,42.498697916666664 A
2017-09-03T00:00:00-06:00,42.205078125 A
2017-09-04T00:00:00-06:00,43.413411458333336 A
2017-09-05T00:00:00-06:00,54.273763020833336 A
2017-09-06T00:00:00-06:00,57.377604166666664 A
2017-09-07T00:00:00-06:00,60.3916015625 A
2017-09-08T00:00:00-06:00,60.45427631578947 A
2017-09-09T00:00:00-06:00,51.377278645833336 A
2017-09-10T00:00:00-06:00,52.7529296875 A
2017-09-11T00:00:00-06:00,68.02018229166667 A
2017-09-12T00:00:00-06:00,59.662434895833336 A
2017-09-13T00:00:00-06:00,60.8544921875 A
2017-09-14T00:00:00-06:00,60.1796875 A
2017-09-15T00:00:00-06:00,59.570638020833336 A
2017-09-16T00:00:00-06:00,45.658854166666664 A
2017-09-17T00:00:00-06:00,47.883463541666664 A
2017-09-18T00:00:00-06:00,60.7900390625 A
2017-09-19T00:00:00-06:00,58.678059895833336 A
2017-09-20T00:00:00-06:00,64.7724609375 A
2017-09-21T00:00:00-06:00,60.7353515625 A
2017-09-22T00:00:00-06:00,64.94173177083333 A
2017-09-23T00:00:00-06:00,54.419270833333336 A
2017-09-24T00:00:00-06:00,57.365559895833336 A
2017-09-25T00:00:00-06:00,68.3984375 A
2017-09-26T00:00:00-06:00,63.750325520833336 A
2017-09-27T00:00:00-06:00,63.540364583333336 A
2017-09-28T00:00:00-06:00,56.674479166666664 A
2017-09-29T00:00:00-06:00,58.883463541666664 A
2017-09-30T00:00:00-06:00,47.546549479166664 A
2017-10-01T00:00:00-06:00,52.390950520833336 A
2017-10-02T00:00:00-06:00,65.53157552083333 A
2017-10-03T00:00:00-06:00,63.7314453125 A
2017-10-04T00:00:00-06:00,59.568033854166664 A
2017-10-05T00:00:00-06:00,62.408854166666664 A
2017-10-06T00:00:00-06:00,57.8017578125 A
2017-10-07T00:00:00-06:00,47.133138020833336 A
2017-10-08T00:00:00-06:00,50.1328125 A
2017-10-09T00:00:00-06:00,59.087890625 A
2017-10-10T00:00:00-06:00,58.297200520833336 A
2017-10-11T00:00:00-06:00,57.246419270833336 A
2017-10-12T00:00:00-06:00,53.607421875 A
