Timestamp,['203a2637-3272d936 0066-SIMMONS PIONEER MEMORIAL THEATRE Power Meter Current A']
2017-06-13T00:00:00-06:00,269.80591440200806 A
2017-06-14T00:00:00-06:00,312.255859375 A
2017-06-15T00:00:00-06:00,343.64175844192505 A
2017-06-16T00:00:00-06:00,376.63532463709515 A
2017-06-17T00:00:00-06:00,335.5614101092021 A
2017-06-18T00:00:00-06:00,298.1710680325826 A
2017-06-19T00:00:00-06:00,346.36476373672485 A
2017-06-20T00:00:00-06:00,387.5794035593669 A
2017-06-21T00:00:00-06:00,380.27716541290283 A
2017-06-22T00:00:00-06:00,348.6465220451355 A
2017-06-23T00:00:00-06:00,343.4965515136719 A
2017-06-24T00:00:00-06:00,325.1849465370178 A
2017-06-25T00:00:00-06:00,334.8797966639201 A
2017-06-26T00:00:00-06:00,375.3076858520508 A
2017-06-27T00:00:00-06:00,359.0342839558919 A
2017-06-28T00:00:00-06:00,351.7233606974284 A
2017-06-29T00:00:00-06:00,350.41570440928143 A
2017-06-30T00:00:00-06:00,345.81934356689453 A
2017-07-01T00:00:00-06:00,332.1408859888713 A
2017-07-02T00:00:00-06:00,329.90169461568195 A
2017-07-03T00:00:00-06:00,374.33998314539593 A
2017-07-04T00:00:00-06:00,352.10353231430054 A
2017-07-05T00:00:00-06:00,378.37643273671466 A
2017-07-06T00:00:00-06:00,364.3803227742513 A
2017-07-07T00:00:00-06:00,371.4112505912781 A
2017-07-08T00:00:00-06:00,353.37393347422284 A
2017-07-09T00:00:00-06:00,342.8607080777486 A
2017-07-10T00:00:00-06:00,360.16529909769696 A
2017-07-11T00:00:00-06:00,361.2389709154765 A
2017-07-12T00:00:00-06:00,356.68446016311646 A
2017-07-13T00:00:00-06:00,376.2743525505066 A
2017-07-14T00:00:00-06:00,375.7943844795227 A
2017-07-15T00:00:00-06:00,321.8330044746399 A
2017-07-16T00:00:00-06:00,307.41042248408 A
2017-07-17T00:00:00-06:00,360.4632520675659 A
2017-07-18T00:00:00-06:00,380.33584928512573 A
2017-07-19T00:00:00-06:00,360.13066641489667 A
2017-07-20T00:00:00-06:00,341.45187028249103 A
2017-07-21T00:00:00-06:00,362.0213861465454 A
2017-07-22T00:00:00-06:00,333.9217971165975 A
2017-07-23T00:00:00-06:00,333.4862440427144 A
2017-07-24T00:00:00-06:00,335.65320269266766 A
2017-07-25T00:00:00-06:00,332.30755678812665 A
2017-07-26T00:00:00-06:00,356.9610578219096 A
2017-07-27T00:00:00-06:00,351.3775668144226 A
2017-07-28T00:00:00-06:00,351.7213322321574 A
2017-07-29T00:00:00-06:00,319.03817542394 A
2017-07-30T00:00:00-06:00,318.071640809377 A
2017-07-31T00:00:00-06:00,355.97502851486206 A
2017-08-01T00:00:00-06:00,354.5440591176351 A
