Timestamp,['1cdb9d30-fce36875 0086-MARRIOTT LIBRARY Power Meter 4 Current B']
2017-09-24T00:00:00-06:00,59.952083468437195 A
2017-09-25T00:00:00-06:00,69.19166668256123 A
2017-09-26T00:00:00-06:00,68.78333342075348 A
2017-09-27T00:00:00-06:00,68.24375025431316 A
2017-09-28T00:00:00-06:00,68.38541666666667 A
2017-09-29T00:00:00-06:00,64.962499777476 A
2017-09-30T00:00:00-06:00,60.86250023047129 A
2017-10-01T00:00:00-06:00,60.21874980131785 A
2017-10-02T00:00:00-06:00,68.47708304723103 A
2017-10-03T00:00:00-06:00,70.6916663646698 A
2017-10-04T00:00:00-06:00,68.98437511920929 A
2017-10-05T00:00:00-06:00,68.78333365917206 A
2017-10-06T00:00:00-06:00,64.07604201634724 A
2017-10-07T00:00:00-06:00,59.71249989668528 A
2017-10-08T00:00:00-06:00,58.29583354791006 A
2017-10-09T00:00:00-06:00,62.819791634877525 A
2017-10-10T00:00:00-06:00,62.636458237965904 A
2017-10-11T00:00:00-06:00,61.76666645208994 A
2017-10-12T00:00:00-06:00,62.89583337306976 A
2017-10-13T00:00:00-06:00,62.52083337306976 A
2017-10-14T00:00:00-06:00,59.98020807902018 A
2017-10-15T00:00:00-06:00,59.569791754086815 A
2017-10-16T00:00:00-06:00,69.01666645208995 A
2017-10-17T00:00:00-06:00,70.16979169845581 A
2017-10-18T00:00:00-06:00,70.41458308696747 A
2017-10-19T00:00:00-06:00,68.56041709582011 A
2017-10-20T00:00:00-06:00,66.50937537352245 A
2017-10-21T00:00:00-06:00,61.307291785875954 A
2017-10-22T00:00:00-06:00,61.15833310286204 A
2017-10-23T00:00:00-06:00,71.06875006357829 A
2017-10-24T00:00:00-06:00,69.33437526226044 A
2017-10-25T00:00:00-06:00,67.99374981721242 A
2017-10-26T00:00:00-06:00,67.0052084128062 A
2017-10-27T00:00:00-06:00,64.49895838896434 A
2017-10-28T00:00:00-06:00,60.68958314259847 A
2017-10-29T00:00:00-06:00,60.62083343664805 A
2017-10-30T00:00:00-06:00,69.28020830949147 A
2017-10-31T00:00:00-06:00,64.43437512715657 A
2017-11-01T00:00:00-06:00,66.95625011126201 A
2017-11-02T00:00:00-06:00,66.07604173819225 A
2017-11-03T00:00:00-06:00,58.03124996026357 A
2017-11-04T00:00:00-06:00,55.912499944368996 A
2017-11-05T00:00:00-06:00,55.51099994659424 A
2017-11-06T00:00:00-07:00,64.41458328564961 A
2017-11-07T00:00:00-07:00,64.11458345254262 A
2017-11-08T00:00:00-07:00,64.3552079598109 A
2017-11-09T00:00:00-07:00,63.65208319822947 A
2017-11-10T00:00:00-07:00,62.32187497615814 A
2017-11-11T00:00:00-07:00,56.93958338101705 A
2017-11-12T00:00:00-07:00,57.09374992052714 A
2017-11-13T00:00:00-07:00,65.61979150772095 A
2017-11-14T00:00:00-07:00,64.79374953111012 A
2017-11-15T00:00:00-07:00,65.01354169845581 A
2017-11-16T00:00:00-07:00,63.21041655540466 A
2017-11-17T00:00:00-07:00,62.081250071525574 A
2017-11-18T00:00:00-07:00,56.96041667461395 A
2017-11-19T00:00:00-07:00,56.23333338896433 A
2017-11-20T00:00:00-07:00,64.02499961853027 A
2017-11-21T00:00:00-07:00,63.0020831823349 A
2017-11-22T00:00:00-07:00,60.89479168256124 A
2017-11-23T00:00:00-07:00,53.807291547457375 A
2017-11-24T00:00:00-07:00,53.426041642824806 A
2017-11-25T00:00:00-07:00,55.583333452542625 A
2017-11-26T00:00:00-07:00,55.50625010331472 A
2017-11-27T00:00:00-07:00,64.603125055631 A
2017-11-28T00:00:00-07:00,64.9322915871938 A
2017-11-29T00:00:00-07:00,64.86145834128062 A
2017-11-30T00:00:00-07:00,64.58229160308838 A
2017-12-01T00:00:00-07:00,63.05729146798452 A
2017-12-02T00:00:00-07:00,58.3395836353302 A
2017-12-03T00:00:00-07:00,57.30833331743876 A
2017-12-04T00:00:00-07:00,66.59270826975505 A
2017-12-05T00:00:00-07:00,67.81145826975505 A
2017-12-06T00:00:00-07:00,67.24791693687439 A
2017-12-07T00:00:00-07:00,66.10416678587596 A
2017-12-08T00:00:00-07:00,62.75520837306976 A
2017-12-09T00:00:00-07:00,59.353124936421715 A
2017-12-10T00:00:00-07:00,60.29791657129923 A
2017-12-11T00:00:00-07:00,65.99687492847443 A
2017-12-12T00:00:00-07:00,65.70312503973643 A
2017-12-13T00:00:00-07:00,64.731250166893 A
2017-12-14T00:00:00-07:00,63.86354192097982 A
2017-12-15T00:00:00-07:00,61.81666692097982 A
2017-12-16T00:00:00-07:00,56.16562501589457 A
2017-12-17T00:00:00-07:00,55.33958339691162 A
2017-12-18T00:00:00-07:00,59.182222069634335 A
2017-12-19T00:00:00-07:00,60.13958319028219 A
2017-12-20T00:00:00-07:00,58.846875031789146 A
2017-12-21T00:00:00-07:00,57.90937491257986 A
2017-12-22T00:00:00-07:00,57.155208468437195 A
2017-12-23T00:00:00-07:00,53.98229157924652 A
2017-12-24T00:00:00-07:00,53.81145838896433 A
2017-12-25T00:00:00-07:00,54.0625 A
2017-12-26T00:00:00-07:00,53.615625063578285 A
2017-12-27T00:00:00-07:00,53.280208468437195 A
2017-12-28T00:00:00-07:00,53.226041515668236 A
2017-12-29T00:00:00-07:00,53.34583330154419 A
2017-12-30T00:00:00-07:00,53.592708230018616 A
2017-12-31T00:00:00-07:00,54.139583230018616 A
