Timestamp,"['1fa62366-085de6ff 0003-GARDNER HALL Power Meter (300015) Watts, 3-Ph total']"
2017-09-16T00:00:00-06:00,55.201446533203125 kW
2017-09-17T00:00:00-06:00,54.33559036254883 kW
2017-09-18T00:00:00-06:00,55.12028503417969 kW
2017-09-19T00:00:00-06:00,67.64934539794922 kW
2017-09-20T00:00:00-06:00,69.03057098388672 kW
2017-09-21T00:00:00-06:00,68.45343017578125 kW
2017-09-22T00:00:00-06:00,66.65251159667969 kW
2017-09-23T00:00:00-06:00,45.25001525878906 kW
2017-09-24T00:00:00-06:00,49.87309265136719 kW
2017-09-25T00:00:00-06:00,67.218994140625 kW
2017-09-26T00:00:00-06:00,69.57685089111328 kW
2017-09-27T00:00:00-06:00,62.042755126953125 kW
2017-09-28T00:00:00-06:00,70.2528076171875 kW
2017-09-29T00:00:00-06:00,65.91251373291016 kW
2017-09-30T00:00:00-06:00,58.22809982299805 kW
2017-10-01T00:00:00-06:00,26.262737274169922 kW
2017-10-02T00:00:00-06:00,58.84716033935547 kW
2017-10-03T00:00:00-06:00,59.00501251220703 kW
2017-10-04T00:00:00-06:00,68.513427734375 kW
2017-10-05T00:00:00-06:00,65.19591522216797 kW
2017-10-06T00:00:00-06:00,58.35112762451172 kW
2017-10-07T00:00:00-06:00,30.62269401550293 kW
2017-10-08T00:00:00-06:00,47.877899169921875 kW
2017-10-09T00:00:00-06:00,31.57741928100586 kW
2017-10-10T00:00:00-06:00,32.66887283325195 kW
2017-10-11T00:00:00-06:00,30.146697998046875 kW
2017-10-12T00:00:00-06:00,30.833202362060547 kW
2017-10-13T00:00:00-06:00,49.389530181884766 kW
2017-10-14T00:00:00-06:00,49.888519287109375 kW
2017-10-15T00:00:00-06:00,22.097156524658203 kW
2017-10-16T00:00:00-06:00,48.520599365234375 kW
2017-10-17T00:00:00-06:00,55.558101654052734 kW
2017-10-18T00:00:00-06:00,56.56232452392578 kW
2017-10-19T00:00:00-06:00,57.34397888183594 kW
2017-10-20T00:00:00-06:00,52.768211364746094 kW
2017-10-21T00:00:00-06:00,39.52598571777344 kW
2017-10-22T00:00:00-06:00,38.57551574707031 kW
2017-10-23T00:00:00-06:00,59.84099578857422 kW
2017-10-24T00:00:00-06:00,57.5565299987793 kW
2017-10-25T00:00:00-06:00,56.261077880859375 kW
2017-10-26T00:00:00-06:00,59.042728424072266 kW
2017-10-27T00:00:00-06:00,46.84798812866211 kW
2017-10-28T00:00:00-06:00,43.912010192871094 kW
2017-10-29T00:00:00-06:00,45.83864212036133 kW
2017-10-30T00:00:00-06:00,54.60838317871094 kW
2017-10-31T00:00:00-06:00,42.16362380981445 kW
2017-11-01T00:00:00-06:00,59.812896728515625 kW
2017-11-02T00:00:00-06:00,53.189918518066406 kW
2017-11-03T00:00:00-06:00,51.1913948059082 kW
2017-11-04T00:00:00-06:00,49.57487869262695 kW
2017-11-05T00:00:00-06:00,41.955081939697266 kW
2017-11-06T00:00:00-07:00,46.26561737060547 kW
2017-11-07T00:00:00-07:00,43.07026672363281 kW
2017-11-08T00:00:00-07:00,52.678836822509766 kW
2017-11-09T00:00:00-07:00,60.31513214111328 kW
2017-11-10T00:00:00-07:00,58.795257568359375 kW
2017-11-11T00:00:00-07:00,48.68466567993164 kW
2017-11-12T00:00:00-07:00,38.86555480957031 kW
2017-11-13T00:00:00-07:00,55.643943786621094 kW
2017-11-14T00:00:00-07:00,52.08052444458008 kW
2017-11-15T00:00:00-07:00,55.38115692138672 kW
2017-11-16T00:00:00-07:00,56.4381103515625 kW
2017-11-17T00:00:00-07:00,51.591339111328125 kW
2017-11-18T00:00:00-07:00,53.688777923583984 kW
2017-11-19T00:00:00-07:00,45.61695861816406 kW
2017-11-20T00:00:00-07:00,54.70208740234375 kW
2017-11-21T00:00:00-07:00,58.337459564208984 kW
2017-11-22T00:00:00-07:00,55.523929595947266 kW
2017-11-23T00:00:00-07:00,33.253665924072266 kW
2017-11-24T00:00:00-07:00,34.87928009033203 kW
2017-11-25T00:00:00-07:00,37.481422424316406 kW
2017-11-26T00:00:00-07:00,30.550079345703125 kW
2017-11-27T00:00:00-07:00,52.853057861328125 kW
2017-11-28T00:00:00-07:00,55.56038284301758 kW
2017-11-29T00:00:00-07:00,57.430545806884766 kW
2017-11-30T00:00:00-07:00,61.625457763671875 kW
2017-12-01T00:00:00-07:00,58.69673156738281 kW
2017-12-02T00:00:00-07:00,34.9426383972168 kW
2017-12-03T00:00:00-07:00,47.018043518066406 kW
2017-12-04T00:00:00-07:00,58.1216926574707 kW
2017-12-05T00:00:00-07:00,57.995880126953125 kW
2017-12-06T00:00:00-07:00,59.26848602294922 kW
2017-12-07T00:00:00-07:00,48.88116455078125 kW
2017-12-08T00:00:00-07:00,51.75469970703125 kW
2017-12-09T00:00:00-07:00,49.955078125 kW
2017-12-10T00:00:00-07:00,41.812522888183594 kW
2017-12-11T00:00:00-07:00,55.108306884765625 kW
2017-12-12T00:00:00-07:00,56.71030807495117 kW
2017-12-13T00:00:00-07:00,54.25560760498047 kW
2017-12-14T00:00:00-07:00,49.21949768066406 kW
2017-12-15T00:00:00-07:00,52.31749725341797 kW
2017-12-16T00:00:00-07:00,42.453975677490234 kW
2017-12-17T00:00:00-07:00,45.29823684692383 kW
2017-12-18T00:00:00-07:00,47.22161102294922 kW
2017-12-19T00:00:00-07:00,50.825401306152344 kW
2017-12-20T00:00:00-07:00,51.41123962402344 kW
2017-12-21T00:00:00-07:00,50.75254821777344 kW
2017-12-22T00:00:00-07:00,36.72559356689453 kW
2017-12-23T00:00:00-07:00,36.12060546875 kW
2017-12-24T00:00:00-07:00,31.56829833984375 kW
2017-12-25T00:00:00-07:00,23.71048355102539 kW
2017-12-26T00:00:00-07:00,26.515005111694336 kW
2017-12-27T00:00:00-07:00,28.58208465576172 kW
2017-12-28T00:00:00-07:00,28.257888793945312 kW
2017-12-29T00:00:00-07:00,28.419315338134766 kW
2017-12-30T00:00:00-07:00,28.848434448242188 kW
2017-12-31T00:00:00-07:00,25.595260620117188 kW
