Timestamp,['1cc9722a-ac9e684f 0051-STERLING SILL CNTR Power Meter Volts AN']
2017-11-06T00:00:00-07:00,121.89062468210857 V
2017-11-07T00:00:00-07:00,121.90937487284343 V
2017-11-08T00:00:00-07:00,121.87916684150696 V
2017-11-09T00:00:00-07:00,121.80624993642171 V
2017-11-10T00:00:00-07:00,122.08645884195964 V
2017-11-11T00:00:00-07:00,122.0770833492279 V
2017-11-12T00:00:00-07:00,122.08020822207133 V
2017-11-13T00:00:00-07:00,121.93645819028218 V
2017-11-14T00:00:00-07:00,122.12499984105428 V
2017-11-15T00:00:00-07:00,121.94687517484029 V
2017-11-16T00:00:00-07:00,121.78333322207133 V
2017-11-17T00:00:00-07:00,121.8010413646698 V
2017-11-18T00:00:00-07:00,122.06562503178914 V
2017-11-19T00:00:00-07:00,122.07604177792867 V
2017-11-20T00:00:00-07:00,122.0427086353302 V
2017-11-21T00:00:00-07:00,122.04791649182637 V
2017-11-22T00:00:00-07:00,122.00833368301392 V
2017-11-23T00:00:00-07:00,122.02395788828532 V
2017-11-24T00:00:00-07:00,122.05208381017049 V
2017-11-25T00:00:00-07:00,122.00937525431316 V
2017-11-26T00:00:00-07:00,122.10104171435039 V
2017-11-27T00:00:00-07:00,122.0739586353302 V
2017-11-28T00:00:00-07:00,122.07916649182637 V
2017-11-29T00:00:00-07:00,121.98854192097981 V
2017-11-30T00:00:00-07:00,122.15208339691162 V
2017-12-01T00:00:00-07:00,121.96354174613953 V
2017-12-02T00:00:00-07:00,121.97604155540466 V
2017-12-03T00:00:00-07:00,122.11354160308838 V
2017-12-04T00:00:00-07:00,121.9885413646698 V
2017-12-05T00:00:00-07:00,122.04583303133647 V
2017-12-06T00:00:00-07:00,122.01770869890849 V
2017-12-07T00:00:00-07:00,122.01041674613953 V
2017-12-08T00:00:00-07:00,121.93229166666667 V
2017-12-09T00:00:00-07:00,122.01145839691162 V
2017-12-10T00:00:00-07:00,122.08645828564961 V
2017-12-11T00:00:00-07:00,122.03437487284343 V
2017-12-12T00:00:00-07:00,121.83333333333333 V
2017-12-13T00:00:00-07:00,122.07604169845581 V
2017-12-14T00:00:00-07:00,122.01874963442485 V
2017-12-15T00:00:00-07:00,122.15104150772095 V
2017-12-16T00:00:00-07:00,122.03437542915344 V
2017-12-17T00:00:00-07:00,121.9604168732961 V
2017-12-18T00:00:00-07:00,121.85913971931704 V
2017-12-19T00:00:00-07:00,122.00416644414265 V
2017-12-20T00:00:00-07:00,121.97083306312561 V
2017-12-21T00:00:00-07:00,121.96666669845581 V
2017-12-22T00:00:00-07:00,122.0656247138977 V
2017-12-23T00:00:00-07:00,121.89479184150696 V
2017-12-24T00:00:00-07:00,122.07083376248677 V
2017-12-25T00:00:00-07:00,122.20104161898296 V
2017-12-26T00:00:00-07:00,122.23124957084656 V
2017-12-27T00:00:00-07:00,121.78333361943562 V
2017-12-28T00:00:00-07:00,122.20312436421712 V
2017-12-29T00:00:00-07:00,121.984375 V
2017-12-30T00:00:00-07:00,122.14270838101704 V
2017-12-31T00:00:00-07:00,121.96458331743877 V
