Timestamp,['203f267a-7a16e62c 0097-DUMKE GYMNASTICS CNTR Power Meter Current A']
2017-10-13T00:00:00-06:00,38.590190509955086 A
2017-10-14T00:00:00-06:00,38.26525352398554 A
2017-10-15T00:00:00-06:00,39.29145338137945 A
2017-10-16T00:00:00-06:00,45.45928889513016 A
2017-10-17T00:00:00-06:00,47.892407496770225 A
2017-10-18T00:00:00-06:00,41.98745731512705 A
2017-10-19T00:00:00-06:00,45.88792596260706 A
2017-10-20T00:00:00-06:00,41.41966245571772 A
2017-10-21T00:00:00-06:00,37.26096850633621 A
2017-10-22T00:00:00-06:00,38.71558930476507 A
2017-10-23T00:00:00-06:00,43.858585596084595 A
2017-10-24T00:00:00-06:00,46.95233291387558 A
2017-10-25T00:00:00-06:00,44.386766135692596 A
2017-10-26T00:00:00-06:00,44.062124172846474 A
2017-10-27T00:00:00-06:00,42.42923641204834 A
2017-10-28T00:00:00-06:00,37.93420781691869 A
2017-10-29T00:00:00-06:00,38.61156109968821 A
2017-10-30T00:00:00-06:00,41.957387467225395 A
2017-10-31T00:00:00-06:00,40.89213174581528 A
2017-11-01T00:00:00-06:00,40.55577276150385 A
2017-11-02T00:00:00-06:00,42.79202648003896 A
2017-11-03T00:00:00-06:00,40.06646625200907 A
2017-11-04T00:00:00-06:00,35.22864192724228 A
2017-11-05T00:00:00-06:00,34.312114486694334 A
2017-11-06T00:00:00-07:00,39.47959027687708 A
2017-11-07T00:00:00-07:00,40.5388898452123 A
2017-11-08T00:00:00-07:00,36.186301271120705 A
2017-11-09T00:00:00-07:00,40.613378167152405 A
2017-11-10T00:00:00-07:00,37.99135756492615 A
2017-11-11T00:00:00-07:00,33.97521756092707 A
2017-11-12T00:00:00-07:00,34.99138991038004 A
2017-11-13T00:00:00-07:00,38.949748496214546 A
2017-11-14T00:00:00-07:00,39.763680656751 A
2017-11-15T00:00:00-07:00,36.18810876210531 A
2017-11-16T00:00:00-07:00,41.15092225869497 A
2017-11-17T00:00:00-07:00,40.302179197470345 A
2017-11-18T00:00:00-07:00,36.5803910891215 A
2017-11-19T00:00:00-07:00,32.28494129578272 A
2017-11-20T00:00:00-07:00,42.15872844060262 A
2017-11-21T00:00:00-07:00,49.84136927127838 A
2017-11-22T00:00:00-07:00,45.392998019854225 A
2017-11-23T00:00:00-07:00,42.869372407595314 A
2017-11-24T00:00:00-07:00,45.507505456606545 A
2017-11-25T00:00:00-07:00,45.26511279741923 A
2017-11-26T00:00:00-07:00,43.409547328948975 A
2017-11-27T00:00:00-07:00,48.3750346104304 A
2017-11-28T00:00:00-07:00,45.194091300169625 A
2017-11-29T00:00:00-07:00,41.118232746919 A
2017-11-30T00:00:00-07:00,55.78695511817932 A
2017-12-01T00:00:00-07:00,55.72427046298981 A
2017-12-02T00:00:00-07:00,49.4545005162557 A
2017-12-03T00:00:00-07:00,50.473668893178306 A
2017-12-04T00:00:00-07:00,54.75650294621786 A
2017-12-05T00:00:00-07:00,54.476696054140724 A
2017-12-06T00:00:00-07:00,51.49211927254995 A
2017-12-07T00:00:00-07:00,53.52552839120229 A
2017-12-08T00:00:00-07:00,51.773763497670494 A
2017-12-09T00:00:00-07:00,50.1763798793157 A
2017-12-10T00:00:00-07:00,45.335753083229065 A
2017-12-11T00:00:00-07:00,46.142428477605186 A
2017-12-12T00:00:00-07:00,45.67916224400202 A
2017-12-13T00:00:00-07:00,41.47893929481506 A
2017-12-14T00:00:00-07:00,50.496871630350746 A
2017-12-15T00:00:00-07:00,51.346717635790505 A
2017-12-16T00:00:00-07:00,48.9827553431193 A
2017-12-17T00:00:00-07:00,48.719380497932434 A
2017-12-18T00:00:00-07:00,50.641815021473874 A
2017-12-19T00:00:00-07:00,51.45680820941925 A
2017-12-20T00:00:00-07:00,50.02742516994476 A
