Timestamp,['1daaa900-9475dbe4 0037-ARCHITECTURE BLDG Power Meter (301159) Current B']
2017-09-03T00:00:00-06:00,31.300402482350666 A
2017-09-04T00:00:00-06:00,34.72456787029902 A
2017-09-05T00:00:00-06:00,45.8239692846934 A
2017-09-06T00:00:00-06:00,49.867183327674866 A
2017-09-07T00:00:00-06:00,46.0674883723259 A
2017-09-08T00:00:00-06:00,42.79826026834468 A
2017-09-09T00:00:00-06:00,32.648327469825745 A
2017-09-10T00:00:00-06:00,31.42996684710185 A
2017-09-11T00:00:00-06:00,52.27568052212397 A
2017-09-12T00:00:00-06:00,53.73715531826019 A
2017-09-13T00:00:00-06:00,50.389803330103554 A
2017-09-14T00:00:00-06:00,48.97014470895132 A
2017-09-15T00:00:00-06:00,48.146743496259056 A
2017-09-16T00:00:00-06:00,39.37771826982498 A
2017-09-17T00:00:00-06:00,33.369860887527466 A
2017-09-18T00:00:00-06:00,48.082398533821106 A
2017-09-19T00:00:00-06:00,45.636320193608604 A
2017-09-20T00:00:00-06:00,50.560352782408394 A
2017-09-21T00:00:00-06:00,48.464329282442726 A
2017-09-22T00:00:00-06:00,47.24816675980886 A
2017-09-23T00:00:00-06:00,40.85037114222845 A
2017-09-24T00:00:00-06:00,36.342467506726585 A
2017-09-25T00:00:00-06:00,53.68997418880463 A
2017-09-26T00:00:00-06:00,53.713908990224205 A
2017-09-27T00:00:00-06:00,58.21294768651327 A
2017-09-28T00:00:00-06:00,60.522058407465614 A
2017-09-29T00:00:00-06:00,51.38975258668264 A
2017-09-30T00:00:00-06:00,45.31183743476868 A
2017-10-01T00:00:00-06:00,46.77276595433553 A
2017-10-02T00:00:00-06:00,58.87212634086609 A
2017-10-03T00:00:00-06:00,56.14587525526682 A
2017-10-04T00:00:00-06:00,59.254197796185814 A
2017-10-05T00:00:00-06:00,56.29561575253805 A
2017-10-06T00:00:00-06:00,57.2045803864797 A
2017-10-07T00:00:00-06:00,43.10172430674235 A
2017-10-08T00:00:00-06:00,39.796570460001625 A
2017-10-09T00:00:00-06:00,44.65968191623688 A
2017-10-10T00:00:00-06:00,42.26720345020294 A
2017-10-11T00:00:00-06:00,40.711185455322266 A
2017-10-12T00:00:00-06:00,34.915200312932335 A
2017-10-13T00:00:00-06:00,37.96639120578766 A
2017-10-14T00:00:00-06:00,39.800466895103455 A
2017-10-15T00:00:00-06:00,41.14249726136526 A
2017-10-16T00:00:00-06:00,54.59150775273641 A
2017-10-17T00:00:00-06:00,49.98561437924703 A
2017-10-18T00:00:00-06:00,56.04832398891449 A
2017-10-19T00:00:00-06:00,58.70459679762522 A
2017-10-20T00:00:00-06:00,51.02493407328924 A
2017-10-21T00:00:00-06:00,37.797114888827004 A
2017-10-22T00:00:00-06:00,40.93409697214762 A
2017-10-23T00:00:00-06:00,54.70215356349945 A
2017-10-24T00:00:00-06:00,50.13862427075704 A
2017-10-25T00:00:00-06:00,54.27950668334961 A
2017-10-26T00:00:00-06:00,54.283666253089905 A
2017-10-27T00:00:00-06:00,54.720638354619346 A
2017-10-28T00:00:00-06:00,40.51321178235506 A
2017-10-29T00:00:00-06:00,42.93546839555105 A
2017-10-30T00:00:00-06:00,55.54417757193247 A
2017-10-31T00:00:00-06:00,44.55944796403249 A
2017-11-01T00:00:00-06:00,51.88464689254761 A
2017-11-02T00:00:00-06:00,52.53895807266235 A
2017-11-03T00:00:00-06:00,50.670385797818504 A
2017-11-04T00:00:00-06:00,39.20999479293823 A
2017-11-05T00:00:00-06:00,42.98729454040527 A
2017-11-06T00:00:00-07:00,61.133621295293175 A
2017-11-07T00:00:00-07:00,57.878998120625816 A
2017-11-08T00:00:00-07:00,56.40796947479248 A
2017-11-09T00:00:00-07:00,56.947514255841575 A
2017-11-10T00:00:00-07:00,49.87094175815582 A
2017-11-11T00:00:00-07:00,39.99720629056295 A
2017-11-12T00:00:00-07:00,35.30917682250341 A
2017-11-13T00:00:00-07:00,50.811338106791176 A
2017-11-14T00:00:00-07:00,51.109210093816124 A
2017-11-15T00:00:00-07:00,53.16206296284994 A
2017-11-16T00:00:00-07:00,56.59024894237518 A
2017-11-17T00:00:00-07:00,52.49670823415121 A
2017-11-18T00:00:00-07:00,39.0039910475413 A
2017-11-19T00:00:00-07:00,42.27643950780233 A
2017-11-20T00:00:00-07:00,55.567590634028114 A
2017-11-21T00:00:00-07:00,52.54825393358866 A
2017-11-22T00:00:00-07:00,50.489311854044594 A
2017-11-23T00:00:00-07:00,40.163443287213646 A
2017-11-24T00:00:00-07:00,36.76855858167013 A
2017-11-25T00:00:00-07:00,33.34917269150416 A
2017-11-26T00:00:00-07:00,37.47903573513031 A
2017-11-27T00:00:00-07:00,58.27060794830322 A
2017-11-28T00:00:00-07:00,55.16131776571274 A
2017-11-29T00:00:00-07:00,60.29184087117513 A
2017-11-30T00:00:00-07:00,61.958943565686546 A
2017-12-01T00:00:00-07:00,65.78225596745808 A
2017-12-02T00:00:00-07:00,55.76846293608347 A
2017-12-03T00:00:00-07:00,54.9250781138738 A
2017-12-04T00:00:00-07:00,68.29716829458873 A
2017-12-05T00:00:00-07:00,63.910453637441 A
2017-12-06T00:00:00-07:00,57.53980441888174 A
2017-12-07T00:00:00-07:00,52.5610902706782 A
2017-12-08T00:00:00-07:00,50.05628311634064 A
