Timestamp,['1f7d6cf3-51885b9e 0372-KENNECOTT MECH ENG BLDG Power Meter 300344 Real Power']
2017-08-15T00:00:00-06:00,24.54399871826172 kW
2017-08-16T00:00:00-06:00,23.967998504638672 kW
2017-08-17T00:00:00-06:00,23.583999633789062 kW
2017-08-18T00:00:00-06:00,27.071998596191406 kW
2017-08-19T00:00:00-06:00,22.62399673461914 kW
2017-08-20T00:00:00-06:00,22.047996520996094 kW
2017-08-21T00:00:00-06:00,30.687999725341797 kW
2017-08-22T00:00:00-06:00,32.73599624633789 kW
2017-08-23T00:00:00-06:00,29.599998474121094 kW
2017-08-24T00:00:00-06:00,30.33599853515625 kW
2017-08-25T00:00:00-06:00,31.135997772216797 kW
2017-08-26T00:00:00-06:00,21.983997344970703 kW
2017-08-27T00:00:00-06:00,21.983997344970703 kW
2017-08-28T00:00:00-06:00,31.487998962402344 kW
2017-08-29T00:00:00-06:00,28.6719970703125 kW
2017-08-30T00:00:00-06:00,38.271995544433594 kW
2017-08-31T00:00:00-06:00,28.255996704101562 kW
2017-09-01T00:00:00-06:00,29.79199981689453 kW
2017-09-02T00:00:00-06:00,20.095996856689453 kW
2017-09-03T00:00:00-06:00,19.935997009277344 kW
2017-09-04T00:00:00-06:00,20.28799819946289 kW
2017-09-05T00:00:00-06:00,31.551998138427734 kW
2017-09-06T00:00:00-06:00,29.79199981689453 kW
2017-09-07T00:00:00-06:00,31.455997467041016 kW
2017-09-08T00:00:00-06:00,33.279998779296875 kW
2017-09-09T00:00:00-06:00,23.455997467041016 kW
2017-09-10T00:00:00-06:00,23.775997161865234 kW
2017-09-11T00:00:00-06:00,36.2239990234375 kW
2017-09-12T00:00:00-06:00,33.08799743652344 kW
2017-09-13T00:00:00-06:00,33.24799346923828 kW
2017-09-14T00:00:00-06:00,35.42399597167969 kW
2017-09-15T00:00:00-06:00,33.66399383544922 kW
2017-09-16T00:00:00-06:00,23.871997833251953 kW
2017-09-17T00:00:00-06:00,23.359996795654297 kW
2017-09-18T00:00:00-06:00,34.91199493408203 kW
2017-09-19T00:00:00-06:00,36.79999542236328 kW
2017-09-20T00:00:00-06:00,38.623992919921875 kW
2017-09-21T00:00:00-06:00,31.583999633789062 kW
2017-09-22T00:00:00-06:00,36.063995361328125 kW
2017-09-23T00:00:00-06:00,25.983997344970703 kW
2017-09-24T00:00:00-06:00,27.679996490478516 kW
2017-09-25T00:00:00-06:00,41.055999755859375 kW
2017-09-26T00:00:00-06:00,37.599998474121094 kW
2017-09-27T00:00:00-06:00,35.58399963378906 kW
2017-09-28T00:00:00-06:00,27.359996795654297 kW
2017-09-29T00:00:00-06:00,33.823997497558594 kW
2017-09-30T00:00:00-06:00,22.079998016357422 kW
2017-10-01T00:00:00-06:00,25.343997955322266 kW
2017-10-02T00:00:00-06:00,39.391998291015625 kW
2017-10-03T00:00:00-06:00,38.97599792480469 kW
2017-10-04T00:00:00-06:00,35.935997009277344 kW
2017-10-05T00:00:00-06:00,37.5679931640625 kW
2017-10-06T00:00:00-06:00,38.20799255371094 kW
2017-10-07T00:00:00-06:00,26.11199951171875 kW
2017-10-08T00:00:00-06:00,26.62399673461914 kW
2017-10-09T00:00:00-06:00,37.08799743652344 kW
2017-10-10T00:00:00-06:00,32.76799774169922 kW
2017-10-11T00:00:00-06:00,32.60799789428711 kW
2017-10-12T00:00:00-06:00,30.55999755859375 kW
2017-10-13T00:00:00-06:00,29.439998626708984 kW
2017-10-14T00:00:00-06:00,24.99199676513672 kW
2017-10-15T00:00:00-06:00,27.90399932861328 kW
2017-10-16T00:00:00-06:00,41.43999481201172 kW
2017-10-17T00:00:00-06:00,39.45599365234375 kW
2017-10-18T00:00:00-06:00,39.23199462890625 kW
2017-10-19T00:00:00-06:00,48.03199768066406 kW
2017-10-20T00:00:00-06:00,34.43199920654297 kW
2017-10-21T00:00:00-06:00,26.17599868774414 kW
2017-10-22T00:00:00-06:00,25.375999450683594 kW
2017-10-23T00:00:00-06:00,38.91199493408203 kW
2017-10-24T00:00:00-06:00,42.97599792480469 kW
2017-10-25T00:00:00-06:00,40.09599304199219 kW
2017-10-26T00:00:00-06:00,44.89599609375 kW
2017-10-27T00:00:00-06:00,42.495994567871094 kW
2017-10-28T00:00:00-06:00,27.679996490478516 kW
2017-10-29T00:00:00-06:00,29.407997131347656 kW
2017-10-30T00:00:00-06:00,40.25599670410156 kW
2017-10-31T00:00:00-06:00,33.727996826171875 kW
2017-11-01T00:00:00-06:00,41.055999755859375 kW
2017-11-02T00:00:00-06:00,38.36799621582031 kW
2017-11-03T00:00:00-06:00,36.959999084472656 kW
2017-11-04T00:00:00-06:00,27.295997619628906 kW
2017-11-05T00:00:00-06:00,27.935997009277344 kW
2017-11-06T00:00:00-07:00,37.98399353027344 kW
2017-11-07T00:00:00-07:00,46.65599822998047 kW
2017-11-08T00:00:00-07:00,37.66399383544922 kW
2017-11-09T00:00:00-07:00,41.375999450683594 kW
2017-11-10T00:00:00-07:00,38.81599426269531 kW
2017-11-11T00:00:00-07:00,29.183998107910156 kW
2017-11-12T00:00:00-07:00,29.151996612548828 kW
2017-11-13T00:00:00-07:00,44.31999969482422 kW
2017-11-14T00:00:00-07:00,40.76799774169922 kW
2017-11-15T00:00:00-07:00,40.09599304199219 kW
2017-11-16T00:00:00-07:00,36.63999938964844 kW
2017-11-17T00:00:00-07:00,42.047996520996094 kW
2017-11-18T00:00:00-07:00,28.255996704101562 kW
2017-11-19T00:00:00-07:00,27.615997314453125 kW
2017-11-20T00:00:00-07:00,41.15199279785156 kW
2017-11-21T00:00:00-07:00,36.57599639892578 kW
2017-11-22T00:00:00-07:00,36.063995361328125 kW
