Timestamp,['1fa62351-85d2da00 0003-GARDNER HALL Power Meter (300015) Current B']
2017-11-07T00:00:00-07:00,199.61239608128867 A
2017-11-08T00:00:00-07:00,198.95336739222208 A
2017-11-09T00:00:00-07:00,201.68035221099854 A
2017-11-10T00:00:00-07:00,200.12424087524414 A
2017-11-11T00:00:00-07:00,189.02792151769003 A
2017-11-12T00:00:00-07:00,168.31938314437866 A
2017-11-13T00:00:00-07:00,196.92835760116577 A
2017-11-14T00:00:00-07:00,185.19297790527344 A
2017-11-15T00:00:00-07:00,198.930623849233 A
2017-11-16T00:00:00-07:00,190.32851219177246 A
2017-11-17T00:00:00-07:00,200.64236879348755 A
2017-11-18T00:00:00-07:00,204.001699924469 A
2017-11-19T00:00:00-07:00,172.3282101949056 A
2017-11-20T00:00:00-07:00,196.08090353012085 A
2017-11-21T00:00:00-07:00,197.91547838846842 A
2017-11-22T00:00:00-07:00,181.36903858184814 A
2017-11-23T00:00:00-07:00,151.8045185407003 A
2017-11-24T00:00:00-07:00,160.2747360865275 A
2017-11-25T00:00:00-07:00,161.90541712443033 A
2017-11-26T00:00:00-07:00,151.29802306493124 A
2017-11-27T00:00:00-07:00,196.75321753819784 A
2017-11-28T00:00:00-07:00,199.5756861368815 A
2017-11-29T00:00:00-07:00,198.5884257952372 A
2017-11-30T00:00:00-07:00,209.5466243426005 A
2017-12-01T00:00:00-07:00,200.88040208816528 A
2017-12-02T00:00:00-07:00,173.91305430730185 A
2017-12-03T00:00:00-07:00,187.4009304046631 A
2017-12-04T00:00:00-07:00,216.79992532730103 A
2017-12-05T00:00:00-07:00,218.34139808019003 A
2017-12-06T00:00:00-07:00,201.74243132273355 A
2017-12-07T00:00:00-07:00,198.69905281066895 A
2017-12-08T00:00:00-07:00,203.31830151875815 A
2017-12-09T00:00:00-07:00,202.15984932581583 A
2017-12-10T00:00:00-07:00,183.20137119293213 A
2017-12-11T00:00:00-07:00,218.5854287147522 A
2017-12-12T00:00:00-07:00,209.50303554534912 A
2017-12-13T00:00:00-07:00,201.89076566696167 A
2017-12-14T00:00:00-07:00,192.83136653900146 A
2017-12-15T00:00:00-07:00,192.20631965001425 A
2017-12-16T00:00:00-07:00,174.80027405420938 A
2017-12-17T00:00:00-07:00,183.6887698173523 A
2017-12-18T00:00:00-07:00,184.55910352481308 A
2017-12-19T00:00:00-07:00,178.42944065729776 A
2017-12-20T00:00:00-07:00,198.7831137975057 A
2017-12-21T00:00:00-07:00,187.19303019841513 A
2017-12-22T00:00:00-07:00,183.03674475351968 A
2017-12-23T00:00:00-07:00,183.6916095415751 A
2017-12-24T00:00:00-07:00,163.85812711715698 A
2017-12-25T00:00:00-07:00,156.6619865099589 A
2017-12-26T00:00:00-07:00,161.9126230875651 A
2017-12-27T00:00:00-07:00,157.28341754277548 A
2017-12-28T00:00:00-07:00,158.07448212305704 A
2017-12-29T00:00:00-07:00,156.36784871419272 A
2017-12-30T00:00:00-07:00,152.15294138590494 A
2017-12-31T00:00:00-07:00,155.45899979273477 A
