Timestamp,['1fae082f-7c15e0b8 0062-WARNOCK ENGR BLDG Power Meter 316607 Real Energy In']
2017-09-13T00:00:00-06:00,9956 kWh
2017-09-14T00:00:00-06:00,9706 kWh
2017-09-15T00:00:00-06:00,9346 kWh
2017-09-16T00:00:00-06:00,8714 kWh
2017-09-17T00:00:00-06:00,8808 kWh
2017-09-18T00:00:00-06:00,9412 kWh
2017-09-19T00:00:00-06:00,9202 kWh
2017-09-20T00:00:00-06:00,9190 kWh
2017-09-21T00:00:00-06:00,8826 kWh
2017-09-22T00:00:00-06:00,8234 kWh
2017-09-23T00:00:00-06:00,7614 kWh
2017-09-24T00:00:00-06:00,7492 kWh
2017-09-25T00:00:00-06:00,8692 kWh
2017-09-26T00:00:00-06:00,9048 kWh
2017-09-27T00:00:00-06:00,9432 kWh
2017-09-28T00:00:00-06:00,9432 kWh
2017-09-29T00:00:00-06:00,9436 kWh
2017-09-30T00:00:00-06:00,8874 kWh
2017-10-01T00:00:00-06:00,8304 kWh
2017-10-02T00:00:00-06:00,8058 kWh
2017-10-03T00:00:00-06:00,8866 kWh
2017-10-04T00:00:00-06:00,9178 kWh
2017-10-05T00:00:00-06:00,8820 kWh
2017-10-06T00:00:00-06:00,8808 kWh
2017-10-07T00:00:00-06:00,8686 kWh
2017-10-08T00:00:00-06:00,7788 kWh
2017-10-09T00:00:00-06:00,7952 kWh
2017-10-10T00:00:00-06:00,8408 kWh
2017-10-11T00:00:00-06:00,8864 kWh
2017-10-12T00:00:00-06:00,8314 kWh
2017-10-13T00:00:00-06:00,8182 kWh
2017-10-14T00:00:00-06:00,7686 kWh
2017-10-15T00:00:00-06:00,7934 kWh
2017-10-16T00:00:00-06:00,8722 kWh
2017-10-17T00:00:00-06:00,9062 kWh
2017-10-18T00:00:00-06:00,9238 kWh
2017-10-19T00:00:00-06:00,9258 kWh
2017-10-20T00:00:00-06:00,8708 kWh
2017-10-21T00:00:00-06:00,7604 kWh
2017-10-22T00:00:00-06:00,8100 kWh
2017-10-23T00:00:00-06:00,8894 kWh
2017-10-24T00:00:00-06:00,8680 kWh
2017-10-25T00:00:00-06:00,8672 kWh
2017-10-26T00:00:00-06:00,8658 kWh
2017-10-27T00:00:00-06:00,8532 kWh
2017-10-28T00:00:00-06:00,8366 kWh
2017-10-29T00:00:00-06:00,8326 kWh
2017-10-30T00:00:00-06:00,8590 kWh
2017-10-31T00:00:00-06:00,8142 kWh
2017-11-01T00:00:00-06:00,8722 kWh
2017-11-02T00:00:00-06:00,9220 kWh
2017-11-03T00:00:00-06:00,9154 kWh
2017-11-04T00:00:00-06:00,8166 kWh
2017-11-05T00:00:00-06:00,7624 kWh
2017-11-06T00:00:00-07:00,8106 kWh
2017-11-07T00:00:00-07:00,8386 kWh
2017-11-08T00:00:00-07:00,8346 kWh
2017-11-09T00:00:00-07:00,8820 kWh
2017-11-10T00:00:00-07:00,8354 kWh
2017-11-11T00:00:00-07:00,8144 kWh
2017-11-12T00:00:00-07:00,7852 kWh
2017-11-13T00:00:00-07:00,8642 kWh
2017-11-14T00:00:00-07:00,8650 kWh
2017-11-15T00:00:00-07:00,8526 kWh
2017-11-16T00:00:00-07:00,9202 kWh
2017-11-17T00:00:00-07:00,8392 kWh
2017-11-18T00:00:00-07:00,8100 kWh
2017-11-19T00:00:00-07:00,7878 kWh
2017-11-20T00:00:00-07:00,8290 kWh
2017-11-21T00:00:00-07:00,8946 kWh
2017-11-22T00:00:00-07:00,8866 kWh
2017-11-23T00:00:00-07:00,8360 kWh
2017-11-24T00:00:00-07:00,8130 kWh
2017-11-25T00:00:00-07:00,7928 kWh
2017-11-26T00:00:00-07:00,8236 kWh
2017-11-27T00:00:00-07:00,8542 kWh
2017-11-28T00:00:00-07:00,8440 kWh
2017-11-29T00:00:00-07:00,8206 kWh
2017-11-30T00:00:00-07:00,8244 kWh
2017-12-01T00:00:00-07:00,8332 kWh
2017-12-02T00:00:00-07:00,7920 kWh
2017-12-03T00:00:00-07:00,7926 kWh
2017-12-04T00:00:00-07:00,8284 kWh
2017-12-05T00:00:00-07:00,8228 kWh
2017-12-06T00:00:00-07:00,8312 kWh
2017-12-07T00:00:00-07:00,8260 kWh
2017-12-08T00:00:00-07:00,8144 kWh
2017-12-09T00:00:00-07:00,8060 kWh
2017-12-10T00:00:00-07:00,8036 kWh
2017-12-11T00:00:00-07:00,8344 kWh
2017-12-12T00:00:00-07:00,8364 kWh
2017-12-13T00:00:00-07:00,8300 kWh
2017-12-14T00:00:00-07:00,8160 kWh
2017-12-15T00:00:00-07:00,8220 kWh
2017-12-16T00:00:00-07:00,7848 kWh
2017-12-17T00:00:00-07:00,7684 kWh
2017-12-18T00:00:00-07:00,7912 kWh
2017-12-19T00:00:00-07:00,8096 kWh
2017-12-20T00:00:00-07:00,8228 kWh
2017-12-21T00:00:00-07:00,8012 kWh
2017-12-22T00:00:00-07:00,7976 kWh
2017-12-23T00:00:00-07:00,7840 kWh
2017-12-24T00:00:00-07:00,7668 kWh
2017-12-25T00:00:00-07:00,7536 kWh
2017-12-26T00:00:00-07:00,7404 kWh
2017-12-27T00:00:00-07:00,8136 kWh
2017-12-28T00:00:00-07:00,8156 kWh
2017-12-29T00:00:00-07:00,8092 kWh
2017-12-30T00:00:00-07:00,7864 kWh
2017-12-31T00:00:00-07:00,7604 kWh
