Timestamp,"['1ef46843-e1743542 0070-QUINNEY COLLEGE OF LAW Power Meter E-1 313200 Watts, 3-Ph total']"
2017-11-09T00:00:00-07:00,50.81491470336914 kW
2017-11-10T00:00:00-07:00,53.6067008972168 kW
2017-11-11T00:00:00-07:00,30.609146118164062 kW
2017-11-12T00:00:00-07:00,29.971033096313477 kW
2017-11-13T00:00:00-07:00,51.58746337890625 kW
2017-11-14T00:00:00-07:00,53.14551544189453 kW
2017-11-15T00:00:00-07:00,41.528839111328125 kW
2017-11-16T00:00:00-07:00,61.41102600097656 kW
2017-11-17T00:00:00-07:00,50.1606559753418 kW
2017-11-18T00:00:00-07:00,32.46182632446289 kW
2017-11-19T00:00:00-07:00,33.70606231689453 kW
2017-11-20T00:00:00-07:00,51.20820617675781 kW
2017-11-21T00:00:00-07:00,43.5617561340332 kW
2017-11-22T00:00:00-07:00,38.960784912109375 kW
2017-11-23T00:00:00-07:00,24.542295455932617 kW
2017-11-24T00:00:00-07:00,30.263019561767578 kW
2017-11-25T00:00:00-07:00,33.55793762207031 kW
2017-11-26T00:00:00-07:00,35.420101165771484 kW
2017-11-27T00:00:00-07:00,46.364810943603516 kW
2017-11-28T00:00:00-07:00,50.38266372680664 kW
2017-11-29T00:00:00-07:00,44.06199645996094 kW
2017-11-30T00:00:00-07:00,50.995792388916016 kW
2017-12-01T00:00:00-07:00,56.514488220214844 kW
2017-12-02T00:00:00-07:00,40.03734588623047 kW
2017-12-03T00:00:00-07:00,27.651893615722656 kW
2017-12-04T00:00:00-07:00,55.856224060058594 kW
2017-12-05T00:00:00-07:00,48.730838775634766 kW
2017-12-06T00:00:00-07:00,50.263607025146484 kW
2017-12-07T00:00:00-07:00,50.53404998779297 kW
2017-12-08T00:00:00-07:00,44.5100212097168 kW
2017-12-09T00:00:00-07:00,31.87775993347168 kW
2017-12-10T00:00:00-07:00,30.40726089477539 kW
2017-12-11T00:00:00-07:00,58.51592254638672 kW
2017-12-12T00:00:00-07:00,55.26533889770508 kW
2017-12-13T00:00:00-07:00,47.071380615234375 kW
2017-12-14T00:00:00-07:00,51.554603576660156 kW
2017-12-15T00:00:00-07:00,45.2896842956543 kW
2017-12-16T00:00:00-07:00,34.09477996826172 kW
2017-12-17T00:00:00-07:00,29.435781478881836 kW
2017-12-18T00:00:00-07:00,51.60900115966797 kW
2017-12-19T00:00:00-07:00,43.94493103027344 kW
2017-12-20T00:00:00-07:00,43.44545364379883 kW
2017-12-21T00:00:00-07:00,43.69973373413086 kW
2017-12-22T00:00:00-07:00,38.076087951660156 kW
2017-12-23T00:00:00-07:00,25.18141746520996 kW
2017-12-24T00:00:00-07:00,26.038917541503906 kW
2017-12-25T00:00:00-07:00,26.544902801513672 kW
2017-12-26T00:00:00-07:00,29.968128204345703 kW
2017-12-27T00:00:00-07:00,39.954341888427734 kW
2017-12-28T00:00:00-07:00,29.480491638183594 kW
2017-12-29T00:00:00-07:00,26.619096755981445 kW
2017-12-30T00:00:00-07:00,25.306604385375977 kW
2017-12-31T00:00:00-07:00,28.1721248626709 kW
