Timestamp,['1cd269d6-4a5fc96b 0014-TALMAGE BLDG Power Meter KWH Received']
2017-11-11T00:00:00-07:00,770 kWh
2017-11-12T00:00:00-07:00,763 kWh
2017-11-13T00:00:00-07:00,904 kWh
2017-11-14T00:00:00-07:00,913 kWh
2017-11-15T00:00:00-07:00,963 kWh
2017-11-16T00:00:00-07:00,1070 kWh
2017-11-17T00:00:00-07:00,828 kWh
2017-11-18T00:00:00-07:00,761 kWh
2017-11-19T00:00:00-07:00,744 kWh
2017-11-20T00:00:00-07:00,843 kWh
2017-11-21T00:00:00-07:00,942 kWh
2017-11-22T00:00:00-07:00,917 kWh
2017-11-23T00:00:00-07:00,879 kWh
2017-11-24T00:00:00-07:00,845 kWh
2017-11-25T00:00:00-07:00,779 kWh
2017-11-26T00:00:00-07:00,839 kWh
2017-11-27T00:00:00-07:00,968 kWh
2017-11-28T00:00:00-07:00,915 kWh
2017-11-29T00:00:00-07:00,888 kWh
2017-11-30T00:00:00-07:00,895 kWh
2017-12-01T00:00:00-07:00,857 kWh
2017-12-02T00:00:00-07:00,749 kWh
2017-12-03T00:00:00-07:00,780 kWh
2017-12-04T00:00:00-07:00,815 kWh
2017-12-05T00:00:00-07:00,711 kWh
2017-12-06T00:00:00-07:00,710 kWh
2017-12-07T00:00:00-07:00,707 kWh
2017-12-08T00:00:00-07:00,660 kWh
2017-12-09T00:00:00-07:00,590 kWh
2017-12-10T00:00:00-07:00,588 kWh
2017-12-11T00:00:00-07:00,676 kWh
2017-12-12T00:00:00-07:00,712 kWh
2017-12-13T00:00:00-07:00,672 kWh
2017-12-14T00:00:00-07:00,668 kWh
2017-12-15T00:00:00-07:00,636 kWh
2017-12-16T00:00:00-07:00,592 kWh
2017-12-17T00:00:00-07:00,590 kWh
2017-12-18T00:00:00-07:00,627 kWh
2017-12-19T00:00:00-07:00,634 kWh
2017-12-20T00:00:00-07:00,648 kWh
2017-12-21T00:00:00-07:00,623 kWh
2017-12-22T00:00:00-07:00,612 kWh
2017-12-23T00:00:00-07:00,588 kWh
2017-12-24T00:00:00-07:00,589 kWh
2017-12-25T00:00:00-07:00,588 kWh
2017-12-26T00:00:00-07:00,584 kWh
2017-12-27T00:00:00-07:00,617 kWh
2017-12-28T00:00:00-07:00,610 kWh
2017-12-29T00:00:00-07:00,584 kWh
2017-12-30T00:00:00-07:00,585 kWh
2017-12-31T00:00:00-07:00,586 kWh
