Timestamp,['1cda76ef-3bfeeee7 0014-TALMAGE BLDG Power Meter Current C']
2017-11-02T00:00:00-06:00,133.93347439236112 A
2017-11-03T00:00:00-06:00,134.4609748204549 A
2017-11-04T00:00:00-06:00,100.17298757765028 A
2017-11-05T00:00:00-06:00,98.17866841634114 A
2017-11-06T00:00:00-07:00,109.94444648424785 A
2017-11-07T00:00:00-07:00,112.0937515894572 A
2017-11-08T00:00:00-07:00,114.58333529366388 A
2017-11-09T00:00:00-07:00,116.97326596577962 A
2017-11-10T00:00:00-07:00,102.80611257023281 A
2017-11-11T00:00:00-07:00,94.68375124401517 A
2017-11-12T00:00:00-07:00,93.0298627535502 A
2017-11-13T00:00:00-07:00,108.7513905843099 A
2017-11-14T00:00:00-07:00,110.22694636980692 A
2017-11-15T00:00:00-07:00,115.92715436617533 A
2017-11-16T00:00:00-07:00,133.37562793625725 A
2017-11-17T00:00:00-07:00,100.4081264866723 A
2017-11-18T00:00:00-07:00,95.655488008923 A
2017-11-19T00:00:00-07:00,93.75687663290236 A
2017-11-20T00:00:00-07:00,103.41111297607422 A
2017-11-21T00:00:00-07:00,115.5354186269972 A
2017-11-22T00:00:00-07:00,115.76819673114353 A
2017-11-23T00:00:00-07:00,114.0644468413459 A
2017-11-24T00:00:00-07:00,108.99770981470743 A
2017-11-25T00:00:00-07:00,98.9864603360494 A
2017-11-26T00:00:00-07:00,108.42125187979804 A
2017-11-27T00:00:00-07:00,122.3512524869707 A
2017-11-28T00:00:00-07:00,110.13132108582391 A
2017-11-29T00:00:00-07:00,106.22639057371352 A
2017-11-30T00:00:00-07:00,107.91532080359492 A
2017-12-01T00:00:00-07:00,104.71409914004184 A
2017-12-02T00:00:00-07:00,94.24666794670952 A
2017-12-03T00:00:00-07:00,98.76458509233262 A
2017-12-04T00:00:00-07:00,94.73826536602444 A
2017-12-05T00:00:00-07:00,79.05500167740716 A
2017-12-06T00:00:00-07:00,78.67208462291293 A
2017-12-07T00:00:00-07:00,77.59861270056831 A
2017-12-08T00:00:00-07:00,73.49625148773194 A
2017-12-09T00:00:00-07:00,68.5507653872172 A
2017-12-10T00:00:00-07:00,68.09062654707166 A
2017-12-11T00:00:00-07:00,75.46104301876493 A
2017-12-12T00:00:00-07:00,79.28729333347745 A
2017-12-13T00:00:00-07:00,72.41250131395128 A
2017-12-14T00:00:00-07:00,73.49444585906134 A
2017-12-15T00:00:00-07:00,72.02347390916613 A
2017-12-16T00:00:00-07:00,67.92000145382352 A
2017-12-17T00:00:00-07:00,68.0263905260298 A
2017-12-18T00:00:00-07:00,70.31592571517687 A
