Timestamp,['1fe6f7d5-b6032f45 Power Meter 085220 (300186) Current B']
2017-09-15T00:00:00-06:00,155.68333180745444 A
2017-09-16T00:00:00-06:00,144.67999877929688 A
2017-09-17T00:00:00-06:00,144.73636280406606 A
2017-09-18T00:00:00-06:00,154.3125 A
2017-09-19T00:00:00-06:00,145.54999542236328 A
2017-09-20T00:00:00-06:00,150.95714242117745 A
2017-09-21T00:00:00-06:00,150.25000381469727 A
2017-09-22T00:00:00-06:00,162.26000213623047 A
2017-09-23T00:00:00-06:00,163.61249923706055 A
2017-09-24T00:00:00-06:00,155.40000025431314 A
2017-09-25T00:00:00-06:00,166.33636474609375 A
2017-09-26T00:00:00-06:00,164.5 A
2017-09-27T00:00:00-06:00,175.39999389648438 A
2017-09-28T00:00:00-06:00,154.56000061035155 A
2017-09-29T00:00:00-06:00,163.58888922797308 A
2017-09-30T00:00:00-06:00,147.0000025431315 A
2017-10-01T00:00:00-06:00,108.6999994913737 A
2017-10-02T00:00:00-06:00,94.51111094156902 A
2017-10-03T00:00:00-06:00,97.82222154405382 A
2017-10-04T00:00:00-06:00,80.7999997820173 A
2017-10-05T00:00:00-06:00,95.56250095367432 A
2017-10-06T00:00:00-06:00,97.75882361916935 A
2017-10-07T00:00:00-06:00,84.12857164655414 A
2017-10-08T00:00:00-06:00,83.23333358764648 A
2017-10-09T00:00:00-06:00,94.29999923706055 A
2017-10-10T00:00:00-06:00,92.03513521761508 A
2017-10-11T00:00:00-06:00,97.5090903079871 A
2017-10-12T00:00:00-06:00,89.28750019073486 A
2017-10-13T00:00:00-06:00,95.31684200889185 A
2017-10-14T00:00:00-06:00,86.79583358764648 A
2017-10-15T00:00:00-06:00,85.57708326975505 A
2017-10-16T00:00:00-06:00,96.66041668256123 A
2017-10-17T00:00:00-06:00,100.98333342870076 A
2017-10-18T00:00:00-06:00,98.53541652361552 A
2017-10-19T00:00:00-06:00,96.97083330154419 A
2017-10-20T00:00:00-06:00,96.74361711867313 A
2017-10-21T00:00:00-06:00,87.64166680971782 A
2017-10-22T00:00:00-06:00,88.27916630109151 A
2017-10-23T00:00:00-06:00,95.76874987284343 A
2017-10-24T00:00:00-06:00,96.13124974568684 A
2017-10-25T00:00:00-06:00,92.44270849227905 A
2017-10-26T00:00:00-06:00,94.16736875835218 A
2017-10-27T00:00:00-06:00,93.43749984105428 A
2017-10-28T00:00:00-06:00,84.96842105263158 A
2017-10-29T00:00:00-06:00,87.06631550035979 A
2017-10-30T00:00:00-06:00,92.89895860354106 A
2017-10-31T00:00:00-06:00,93.0905258178711 A
2017-11-01T00:00:00-06:00,96.39789468865645 A
2017-11-02T00:00:00-06:00,96.53333339896254 A
2017-11-03T00:00:00-06:00,91.53655932026524 A
2017-11-04T00:00:00-06:00,85.76559144707136 A
2017-11-05T00:00:00-06:00,86.19099967956544 A
2017-11-06T00:00:00-07:00,94.59687503178914 A
2017-11-07T00:00:00-07:00,96.09479220708211 A
2017-11-08T00:00:00-07:00,94.21489325990068 A
2017-11-09T00:00:00-07:00,94.61770852406819 A
2017-11-10T00:00:00-07:00,100.03263172350432 A
2017-11-11T00:00:00-07:00,85.08333325386047 A
2017-11-12T00:00:00-07:00,83.6063162552683 A
2017-11-13T00:00:00-07:00,94.50210547196238 A
2017-11-14T00:00:00-07:00,94 A
2017-11-15T00:00:00-07:00,94.88541666666667 A
2017-11-16T00:00:00-07:00,94.45208358764648 A
2017-11-17T00:00:00-07:00,98.61770860354106 A
2017-11-18T00:00:00-07:00,88.3958334128062 A
2017-11-19T00:00:00-07:00,87.84270819028218 A
2017-11-20T00:00:00-07:00,96.34166638056438 A
2017-11-21T00:00:00-07:00,93.68541653951009 A
2017-11-22T00:00:00-07:00,90.96041679382324 A
2017-11-23T00:00:00-07:00,82.53541660308838 A
2017-11-24T00:00:00-07:00,83.31894691868833 A
2017-11-25T00:00:00-07:00,85.99479190508525 A
2017-11-26T00:00:00-07:00,85.29583358764648 A
2017-11-27T00:00:00-07:00,95.90729157129924 A
2017-11-28T00:00:00-07:00,97.21354166666667 A
2017-11-29T00:00:00-07:00,95.41157877068771 A
2017-11-30T00:00:00-07:00,95.45789513838919 A
2017-12-01T00:00:00-07:00,94.11979174613953 A
2017-12-02T00:00:00-07:00,87.03229180971782 A
2017-12-03T00:00:00-07:00,86.51052615517064 A
2017-12-04T00:00:00-07:00,96.67578944156044 A
2017-12-05T00:00:00-07:00,96.4135418732961 A
2017-12-06T00:00:00-07:00,95.14791695276897 A
2017-12-07T00:00:00-07:00,97.43541653951009 A
2017-12-08T00:00:00-07:00,95.56666684150696 A
2017-12-09T00:00:00-07:00,85.30104223887126 A
2017-12-10T00:00:00-07:00,85.46458315849304 A
2017-12-11T00:00:00-07:00,96.67812474568684 A
2017-12-12T00:00:00-07:00,94.53125015894572 A
2017-12-13T00:00:00-07:00,95.48125004768372 A
2017-12-14T00:00:00-07:00,92.89687450726827 A
2017-12-15T00:00:00-07:00,94.3333334128062 A
2017-12-16T00:00:00-07:00,86.41770839691162 A
2017-12-17T00:00:00-07:00,86.34062512715657 A
2017-12-18T00:00:00-07:00,94.05274728628305 A
2017-12-19T00:00:00-07:00,96.40312504768372 A
2017-12-20T00:00:00-07:00,90.46562512715657 A
2017-12-21T00:00:00-07:00,94.09062504768372 A
2017-12-22T00:00:00-07:00,92.63645831743877 A
2017-12-23T00:00:00-07:00,85.10729153951009 A
2017-12-24T00:00:00-07:00,85.5979167620341 A
2017-12-25T00:00:00-07:00,84.14166657129924 A
2017-12-26T00:00:00-07:00,84.28750030199687 A
2017-12-27T00:00:00-07:00,87.18020860354106 A
2017-12-28T00:00:00-07:00,89.09583338101704 A
2017-12-29T00:00:00-07:00,82.61354215939839 A
2017-12-30T00:00:00-07:00,82.01250012715657 A
2017-12-31T00:00:00-07:00,82.51562507947285 A
