Timestamp,['1cd68686-758d8597 Power Meter (4160V) 316611 Voltage B-C']
2017-10-13T00:00:00-06:00,4215.329787234043 V
2017-10-14T00:00:00-06:00,4228.208333333333 V
2017-10-15T00:00:00-06:00,4233.229166666667 V
2017-10-16T00:00:00-06:00,4215.041666666667 V
2017-10-17T00:00:00-06:00,4191.916666666667 V
2017-10-18T00:00:00-06:00,4190.21875 V
2017-10-19T00:00:00-06:00,4191.489583333333 V
2017-10-20T00:00:00-06:00,4193.595744680851 V
2017-10-21T00:00:00-06:00,4220.489583333333 V
2017-10-22T00:00:00-06:00,4215.894736842105 V
2017-10-23T00:00:00-06:00,4189.28125 V
2017-10-24T00:00:00-06:00,4183.229166666667 V
2017-10-25T00:00:00-06:00,4189.739583333333 V
2017-10-26T00:00:00-06:00,4195.03125 V
2017-10-27T00:00:00-06:00,4196.479166666667 V
2017-10-28T00:00:00-06:00,4187.926315789474 V
2017-10-29T00:00:00-06:00,4193.642105263158 V
2017-10-30T00:00:00-06:00,4231.28125 V
2017-10-31T00:00:00-06:00,4235.166666666667 V
2017-11-01T00:00:00-06:00,4214.521276595745 V
2017-11-02T00:00:00-06:00,4199.822916666667 V
2017-11-03T00:00:00-06:00,4191.25 V
2017-11-04T00:00:00-06:00,4227.074468085107 V
2017-11-05T00:00:00-06:00,4229.09 V
2017-11-06T00:00:00-07:00,4230.494736842105 V
2017-11-07T00:00:00-07:00,4231.072916666667 V
2017-11-08T00:00:00-07:00,4231.559139784947 V
2017-11-09T00:00:00-07:00,4227.666666666667 V
2017-11-10T00:00:00-07:00,4233.147368421052 V
2017-11-11T00:00:00-07:00,4228.520833333333 V
2017-11-12T00:00:00-07:00,4230.663157894737 V
2017-11-13T00:00:00-07:00,4230.739583333333 V
2017-11-14T00:00:00-07:00,4241.28125 V
2017-11-15T00:00:00-07:00,4230.729166666667 V
2017-11-16T00:00:00-07:00,4198.333333333333 V
2017-11-17T00:00:00-07:00,4229.677083333333 V
2017-11-18T00:00:00-07:00,4234.84375 V
2017-11-19T00:00:00-07:00,4237.354166666667 V
2017-11-20T00:00:00-07:00,4231.364583333333 V
2017-11-21T00:00:00-07:00,4226.791666666667 V
2017-11-22T00:00:00-07:00,4220.28125 V
2017-11-23T00:00:00-07:00,4238.166666666667 V
2017-11-24T00:00:00-07:00,4230.095744680851 V
2017-11-25T00:00:00-07:00,4233.25 V
2017-11-26T00:00:00-07:00,4225.354166666667 V
