Timestamp,['1cbae9c6-ec8d2780 0038-ART BLDG Power Meter 300086 Volts CN']
2017-12-17T00:00:00-07:00,122.3126441637675 V
2017-12-18T00:00:00-07:00,122.35893126456968 V
2017-12-19T00:00:00-07:00,122.20328418413798 V
2017-12-20T00:00:00-07:00,122.438458998998 V
2017-12-21T00:00:00-07:00,122.2345175743103 V
2017-12-22T00:00:00-07:00,122.31572159131368 V
2017-12-23T00:00:00-07:00,122.3982032140096 V
2017-12-24T00:00:00-07:00,122.47916094462077 V
2017-12-25T00:00:00-07:00,122.62067461013794 V
2017-12-26T00:00:00-07:00,122.59719292322795 V
2017-12-27T00:00:00-07:00,122.30459308624268 V
2017-12-28T00:00:00-07:00,122.5952980518341 V
2017-12-29T00:00:00-07:00,122.4663523832957 V
2017-12-30T00:00:00-07:00,122.340518395106 V
2017-12-31T00:00:00-07:00,122.26762747764587 V
