Timestamp,['1daaa8fa-b9ff00ad 0037-ARCHITECTURE BLDG Power Meter (301159) Current A']
2017-12-16T00:00:00-07:00,21.30715048313141 A
2017-12-17T00:00:00-07:00,21.71129145224889 A
2017-12-18T00:00:00-07:00,29.125453057496443 A
2017-12-19T00:00:00-07:00,26.765595455964405 A
2017-12-20T00:00:00-07:00,25.818235913912456 A
2017-12-21T00:00:00-07:00,23.931813100973766 A
2017-12-22T00:00:00-07:00,23.090435306231182 A
2017-12-23T00:00:00-07:00,21.973873615264893 A
2017-12-24T00:00:00-07:00,20.25848303238551 A
2017-12-25T00:00:00-07:00,19.49586759010951 A
2017-12-26T00:00:00-07:00,20.233655114968617 A
2017-12-27T00:00:00-07:00,21.437092125415802 A
2017-12-28T00:00:00-07:00,20.861671368281048 A
2017-12-29T00:00:00-07:00,21.529181718826294 A
2017-12-30T00:00:00-07:00,21.390471299489338 A
2017-12-31T00:00:00-07:00,21.858524084091187 A
