Timestamp,"['1cf8d75f-a178c1dc 0064-MERRILL ENGINEERING BLDG Power Meter (300154, 064-802) KW Total']"
2017-05-28T00:00:00-06:00,2.443999767303467 kW
2017-05-29T00:00:00-06:00,2.5799999237060547 kW
2017-05-30T00:00:00-06:00,3.007999897003174 kW
2017-05-31T00:00:00-06:00,3.1599998474121094 kW
2017-06-01T00:00:00-06:00,3.2239999771118164 kW
2017-06-02T00:00:00-06:00,3.003999710083008 kW
2017-06-03T00:00:00-06:00,2.491999626159668 kW
2017-06-04T00:00:00-06:00,2.4719996452331543 kW
2017-06-05T00:00:00-06:00,3.127999782562256 kW
2017-06-06T00:00:00-06:00,3.503999710083008 kW
2017-06-07T00:00:00-06:00,3.1439995765686035 kW
2017-06-08T00:00:00-06:00,3.1399998664855957 kW
2017-06-09T00:00:00-06:00,3.055999755859375 kW
2017-06-10T00:00:00-06:00,2.4759998321533203 kW
2017-06-11T00:00:00-06:00,2.507999897003174 kW
2017-06-12T00:00:00-06:00,3.2799997329711914 kW
2017-06-13T00:00:00-06:00,3.247999668121338 kW
2017-06-14T00:00:00-06:00,3.2239999771118164 kW
2017-06-15T00:00:00-06:00,3.2559995651245117 kW
2017-06-16T00:00:00-06:00,3.0119996070861816 kW
2017-06-17T00:00:00-06:00,2.443999767303467 kW
2017-06-18T00:00:00-06:00,2.5199999809265137 kW
2017-06-19T00:00:00-06:00,3.495999813079834 kW
2017-06-20T00:00:00-06:00,3.167999744415283 kW
2017-06-21T00:00:00-06:00,3.2599997520446777 kW
2017-06-22T00:00:00-06:00,3.1399998664855957 kW
2017-06-23T00:00:00-06:00,3.063999652862549 kW
2017-06-24T00:00:00-06:00,2.48799991607666 kW
2017-06-25T00:00:00-06:00,2.5239996910095215 kW
2017-06-26T00:00:00-06:00,3.5959997177124023 kW
2017-06-27T00:00:00-06:00,3.119999885559082 kW
2017-06-28T00:00:00-06:00,3.127999782562256 kW
2017-06-29T00:00:00-06:00,3.2159996032714844 kW
2017-06-30T00:00:00-06:00,2.979999542236328 kW
