Timestamp,['1cbae8d4-7c819ced 0038-ART BLDG Power Meter 300086 Current B']
2017-08-21T00:00:00-06:00,69.97603289286296 A
2017-08-22T00:00:00-06:00,66.25362388292949 A
2017-08-23T00:00:00-06:00,68.62129243214925 A
2017-08-24T00:00:00-06:00,69.56062523523967 A
2017-08-25T00:00:00-06:00,77.31452492872874 A
2017-08-26T00:00:00-06:00,58.37154301007589 A
2017-08-27T00:00:00-06:00,53.928929567337036 A
2017-08-28T00:00:00-06:00,72.58971556796823 A
2017-08-29T00:00:00-06:00,73.83631421160955 A
2017-08-30T00:00:00-06:00,73.73004579544067 A
2017-08-31T00:00:00-06:00,73.6872389542429 A
2017-09-01T00:00:00-06:00,72.57401462395985 A
2017-09-02T00:00:00-06:00,58.760885993639626 A
2017-09-03T00:00:00-06:00,60.38897021611532 A
2017-09-04T00:00:00-06:00,63.911866426467896 A
2017-09-05T00:00:00-06:00,79.7248528401057 A
2017-09-06T00:00:00-06:00,74.26492136905068 A
2017-09-07T00:00:00-06:00,80.31124285856883 A
2017-09-08T00:00:00-06:00,68.64260077476501 A
2017-09-09T00:00:00-06:00,79.39392026265462 A
2017-09-10T00:00:00-06:00,73.12211962540944 A
2017-09-11T00:00:00-06:00,81.78919605414073 A
2017-09-12T00:00:00-06:00,93.44317932923634 A
2017-09-13T00:00:00-06:00,93.69704075654347 A
2017-09-14T00:00:00-06:00,89.80986404418945 A
2017-09-15T00:00:00-06:00,87.59965467453003 A
2017-09-16T00:00:00-06:00,50.4309147198995 A
2017-09-17T00:00:00-06:00,53.60688475767771 A
2017-09-18T00:00:00-06:00,73.07165400187175 A
2017-09-19T00:00:00-06:00,84.94056395689647 A
2017-09-20T00:00:00-06:00,76.11751981576283 A
2017-09-21T00:00:00-06:00,82.86596115430196 A
2017-09-22T00:00:00-06:00,66.01979454442075 A
2017-09-23T00:00:00-06:00,53.20859710375468 A
2017-09-24T00:00:00-06:00,51.21671116352081 A
2017-09-25T00:00:00-06:00,73.09661666552226 A
2017-09-26T00:00:00-06:00,70.80157732963562 A
2017-09-27T00:00:00-06:00,60.331685066223145 A
2017-09-28T00:00:00-06:00,81.47224660714467 A
2017-09-29T00:00:00-06:00,62.65245274702708 A
2017-09-30T00:00:00-06:00,52.213529864947 A
2017-10-01T00:00:00-06:00,56.91580502192179 A
2017-10-02T00:00:00-06:00,76.77812488873799 A
2017-10-03T00:00:00-06:00,80.00266369183858 A
2017-10-04T00:00:00-06:00,81.67479372024536 A
2017-10-05T00:00:00-06:00,80.91013244787852 A
2017-10-06T00:00:00-06:00,72.07150047703793 A
2017-10-07T00:00:00-06:00,46.00416763623556 A
2017-10-08T00:00:00-06:00,50.121211449305214 A
2017-10-09T00:00:00-06:00,66.94932250181834 A
2017-10-10T00:00:00-06:00,58.610019524892174 A
2017-10-11T00:00:00-06:00,64.05410365263621 A
2017-10-12T00:00:00-06:00,61.903367360432945 A
2017-10-13T00:00:00-06:00,82.00358661015828 A
2017-10-14T00:00:00-06:00,51.103678027788796 A
2017-10-15T00:00:00-06:00,53.361401995023094 A
2017-10-16T00:00:00-06:00,88.82320054372151 A
2017-10-17T00:00:00-06:00,82.12264450391133 A
2017-10-18T00:00:00-06:00,87.11111613114674 A
2017-10-19T00:00:00-06:00,66.40949380397797 A
2017-10-20T00:00:00-06:00,71.97102220853169 A
2017-10-21T00:00:00-06:00,54.63845984141032 A
2017-10-22T00:00:00-06:00,57.41123195489248 A
2017-10-23T00:00:00-06:00,71.51306049029033 A
2017-10-24T00:00:00-06:00,78.12495549519856 A
2017-10-25T00:00:00-06:00,70.90281697114308 A
2017-10-26T00:00:00-06:00,77.22267123063405 A
2017-10-27T00:00:00-06:00,68.73349165916443 A
2017-10-28T00:00:00-06:00,58.36065316200256 A
2017-10-29T00:00:00-06:00,60.70123545328776 A
2017-10-30T00:00:00-06:00,72.39953299363454 A
2017-10-31T00:00:00-06:00,67.51025076707204 A
2017-11-01T00:00:00-06:00,71.07010630766551 A
2017-11-02T00:00:00-06:00,75.88436770439148 A
2017-11-03T00:00:00-06:00,92.29903888702393 A
2017-11-04T00:00:00-06:00,56.06272339820862 A
2017-11-05T00:00:00-06:00,54.60552379608154 A
2017-11-06T00:00:00-07:00,94.6426024834315 A
2017-11-07T00:00:00-07:00,89.57312635580699 A
2017-11-08T00:00:00-07:00,91.07295831044515 A
2017-11-09T00:00:00-07:00,74.5480701526006 A
2017-11-10T00:00:00-07:00,67.822154601415 A
2017-11-11T00:00:00-07:00,59.85354002316793 A
2017-11-12T00:00:00-07:00,52.329047520955406 A
2017-11-13T00:00:00-07:00,78.65585974852245 A
2017-11-14T00:00:00-07:00,103.49908196926117 A
2017-11-15T00:00:00-07:00,74.52233084042867 A
2017-11-16T00:00:00-07:00,69.38391455014546 A
2017-11-17T00:00:00-07:00,78.32545097668965 A
2017-11-18T00:00:00-07:00,69.2086033821106 A
2017-11-19T00:00:00-07:00,53.19698337713877 A
2017-11-20T00:00:00-07:00,79.78287450472514 A
2017-11-21T00:00:00-07:00,81.07956111431122 A
2017-11-22T00:00:00-07:00,75.88812895615895 A
2017-11-23T00:00:00-07:00,64.08100357055665 A
2017-11-24T00:00:00-07:00,50.483165423075356 A
