,game,shot,home/away,made/missed,period,shooter,shooter_name,distance,shot_type,assist,left,top,ThreePt
5999,73,35,0,0,2,3908809,Donovan Mitchell,25-foot,three point jumper,,68.88888888888889,38.0,1
6000,73,36,0,0,2,4011,Ricky Rubio,13-foot,pullup jump shot,,88.88888888888889,74.0,0
6001,73,37,0,1,2,4011,Ricky Rubio,,pullup jump shot,,82.22222222222223,50.0,0
6002,73,38,0,0,2,3908809,Donovan Mitchell,25-foot,three point jumper,,70.0,26.0,1
6003,73,39,0,1,2,4011,Ricky Rubio,,three pointer,,66.66666666666667,50.0,1
6004,73,40,0,1,2,3908809,Donovan Mitchell,,layup ,Ricky Rubio,94.44444444444444,50.0,0
6005,73,42,0,0,2,6581,Jae Crowder,13-foot,two point shot,,93.33333333333333,76.0,0
6006,73,43,0,1,2,3908809,Donovan Mitchell,7-foot,driving floating jump shot,,87.77777777777777,54.0,0
6007,73,44,0,0,2,3908809,Donovan Mitchell,16-foot,pullup jump shot,,81.11111111111111,32.0,0
6008,73,45,0,1,2,6581,Jae Crowder,,layup ,Joe Ingles,93.33333333333333,52.0,0
6009,73,46,0,1,2,4257,Derrick Favors,6-foot,two point shot,Joe Ingles,90.0,48.0,0
6010,73,47,0,0,2,3908809,Donovan Mitchell,2-foot,driving layup,,93.33333333333333,52.0,0
